$TagName,V4::DPU1005.HW.AI010106.PV,V4::DPU1005.HW.AI020106.PV
$Time,Data(Quality),Data(Quality)
@2026-03-26 20:00:00,-0.003241(GOOD),0.004282(GOOD)
@2026-03-26 20:01:00,-0.003641(GOOD),0.004282(GOOD)
@2026-03-26 20:02:00,-0.003241(GOOD),0.004282(GOOD)
@2026-03-26 20:03:00,-0.003641(GOOD),0.004282(GOOD)
@2026-03-26 20:04:00,-0.003241(GOOD),0.004282(GOOD)
@2026-03-26 20:05:00,-0.003241(GOOD),0.004282(GOOD)
@2026-03-26 20:06:00,-0.003241(GOOD),0.004282(GOOD)
@2026-03-26 20:07:00,-0.003241(GOOD),0.004282(GOOD)
@2026-03-26 20:08:00,-0.003241(GOOD),0.004282(GOOD)
@2026-03-26 20:09:00,-0.003641(GOOD),0.004282(GOOD)
@2026-03-26 20:10:00,-0.003241(GOOD),0.004382(GOOD)
@2026-03-26 20:11:00,-0.003241(GOOD),0.004282(GOOD)
@2026-03-26 20:12:00,-0.003241(GOOD),0.004282(GOOD)
@2026-03-26 20:13:00,-0.003241(GOOD),0.004282(GOOD)
@2026-03-26 20:14:00,-0.003641(GOOD),0.004282(GOOD)
@2026-03-26 20:15:00,-0.003241(GOOD),0.003935(GOOD)
@2026-03-26 20:16:00,-0.003241(GOOD),0.004335(GOOD)
@2026-03-26 20:17:00,-0.003241(GOOD),0.004335(GOOD)
@2026-03-26 20:18:00,-0.003241(GOOD),0.004335(GOOD)
@2026-03-26 20:19:00,-0.003241(GOOD),0.004435(GOOD)
@2026-03-26 20:20:00,-0.003241(GOOD),0.004735(GOOD)
@2026-03-26 20:21:00,-0.003241(GOOD),0.004335(GOOD)
@2026-03-26 20:22:00,-0.003241(GOOD),0.004335(GOOD)
@2026-03-26 20:23:00,-0.003241(GOOD),0.004435(GOOD)
@2026-03-26 20:24:00,-0.003241(GOOD),0.004335(GOOD)
@2026-03-26 20:25:00,-0.003741(GOOD),0.004435(GOOD)
