$TagName,V4::DPU1005.HW.AI010106.PV,V4::DPU1005.HW.AI020106.PV
$Time,Data(Quality),Data(Quality)
@2026-05-21 20:00:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-21 20:01:00,-0.009954(GOOD),0.004682(GOOD)
@2026-05-21 20:02:00,-0.010254(GOOD),0.004282(GOOD)
@2026-05-21 20:03:00,-0.009954(GOOD),0.004382(GOOD)
@2026-05-21 20:04:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-21 20:05:00,-0.009954(GOOD),0.004682(GOOD)
@2026-05-21 20:06:00,-0.010254(GOOD),0.004682(GOOD)
@2026-05-21 20:07:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-21 20:08:00,-0.009454(GOOD),0.004282(GOOD)
@2026-05-21 20:09:00,-0.009954(GOOD),0.004382(GOOD)
@2026-05-21 20:10:00,-0.009554(GOOD),0.004682(GOOD)
@2026-05-21 20:11:00,-0.009954(GOOD),0.004382(GOOD)
@2026-05-21 20:12:00,-0.009954(GOOD),0.003882(GOOD)
@2026-05-21 20:13:00,-0.009954(GOOD),0.004382(GOOD)
@2026-05-21 20:14:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-21 20:15:00,-0.009954(GOOD),0.004398(GOOD)
@2026-05-21 20:16:00,-0.009954(GOOD),0.004398(GOOD)
@2026-05-21 20:17:00,-0.009954(GOOD),0.004398(GOOD)
@2026-05-21 20:18:00,-0.010254(GOOD),0.004298(GOOD)
@2026-05-21 20:19:00,-0.009954(GOOD),0.004698(GOOD)
@2026-05-21 20:20:00,-0.009954(GOOD),0.004298(GOOD)
@2026-05-21 20:21:00,-0.009554(GOOD),0.004298(GOOD)
@2026-05-21 20:22:00,-0.009954(GOOD),0.004298(GOOD)
@2026-05-21 20:23:00,-0.009954(GOOD),0.004298(GOOD)
@2026-05-21 20:24:00,-0.009954(GOOD),0.004298(GOOD)
@2026-05-21 20:25:00,-0.009954(GOOD),0.004398(GOOD)
@2026-05-21 20:26:00,-0.009954(GOOD),0.004298(GOOD)
@2026-05-21 20:27:00,-0.009954(GOOD),0.003898(GOOD)
@2026-05-21 20:28:00,-0.009554(GOOD),0.004298(GOOD)
@2026-05-21 20:29:00,-0.009954(GOOD),0.004398(GOOD)
@2026-05-21 20:30:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-21 20:31:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-21 20:32:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-21 20:33:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-21 20:34:00,-0.009954(GOOD),0.004682(GOOD)
@2026-05-21 20:35:00,-0.009554(GOOD),0.004282(GOOD)
@2026-05-21 20:36:00,-0.009554(GOOD),0.004682(GOOD)
@2026-05-21 20:37:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-21 20:38:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-21 20:39:00,-0.009954(GOOD),0.004682(GOOD)
@2026-05-21 20:40:00,-0.009954(GOOD),0.004682(GOOD)
@2026-05-21 20:41:00,-0.009954(GOOD),0.004382(GOOD)
