$TagName,V4::DPU1005.HW.AI010106.PV,V4::DPU1005.HW.AI020106.PV
$Time,Data(Quality),Data(Quality)
@2026-04-21 20:00:00,-0.007639(GOOD),0.003935(GOOD)
@2026-04-21 20:01:00,-0.007639(GOOD),0.003935(GOOD)
@2026-04-21 20:02:00,-0.007639(GOOD),0.004335(GOOD)
@2026-04-21 20:03:00,-0.007539(GOOD),0.003935(GOOD)
@2026-04-21 20:04:00,-0.007639(GOOD),0.003935(GOOD)
@2026-04-21 20:05:00,-0.008039(GOOD),0.003635(GOOD)
@2026-04-21 20:06:00,-0.007639(GOOD),0.004335(GOOD)
@2026-04-21 20:07:00,-0.008039(GOOD),0.004335(GOOD)
@2026-04-21 20:08:00,-0.008339(GOOD),0.003935(GOOD)
@2026-04-21 20:09:00,-0.008039(GOOD),0.003935(GOOD)
@2026-04-21 20:10:00,-0.008039(GOOD),0.004335(GOOD)
@2026-04-21 20:11:00,-0.008339(GOOD),0.004335(GOOD)
@2026-04-21 20:12:00,-0.008339(GOOD),0.003935(GOOD)
@2026-04-21 20:13:00,-0.008339(GOOD),0.003935(GOOD)
@2026-04-21 20:14:00,-0.007639(GOOD),0.003935(GOOD)
@2026-04-21 20:15:00,-0.008796(GOOD),0.003935(GOOD)
@2026-04-21 20:16:00,-0.007196(GOOD),0.003935(GOOD)
@2026-04-21 20:17:00,-0.007496(GOOD),0.003935(GOOD)
@2026-04-21 20:18:00,-0.007496(GOOD),0.004335(GOOD)
@2026-04-21 20:19:00,-0.007496(GOOD),0.004335(GOOD)
@2026-04-21 20:20:00,-0.007496(GOOD),0.004335(GOOD)
@2026-04-21 20:21:00,-0.007196(GOOD),0.003935(GOOD)
@2026-04-21 20:22:00,-0.007496(GOOD),0.003935(GOOD)
@2026-04-21 20:23:00,-0.007196(GOOD),0.003935(GOOD)
@2026-04-21 20:24:00,-0.007496(GOOD),0.004335(GOOD)
@2026-04-21 20:25:00,-0.007496(GOOD),0.004335(GOOD)
@2026-04-21 20:26:00,-0.007196(GOOD),0.003935(GOOD)
@2026-04-21 20:27:00,-0.007196(GOOD),0.003935(GOOD)
@2026-04-21 20:28:00,-0.007196(GOOD),0.004335(GOOD)
@2026-04-21 20:29:00,-0.007196(GOOD),0.004335(GOOD)
@2026-04-21 20:30:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 20:31:00,-0.007476(GOOD),0.003935(GOOD)
@2026-04-21 20:32:00,-0.007176(GOOD),0.004335(GOOD)
@2026-04-21 20:33:00,-0.007176(GOOD),0.004335(GOOD)
@2026-04-21 20:34:00,-0.007476(GOOD),0.003935(GOOD)
@2026-04-21 20:35:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 20:36:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 20:37:00,-0.007476(GOOD),0.003935(GOOD)
@2026-04-21 20:38:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 20:39:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 20:40:00,-0.006776(GOOD),0.004335(GOOD)
@2026-04-21 20:41:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 20:42:00,-0.007176(GOOD),0.004335(GOOD)
@2026-04-21 20:43:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 20:44:00,-0.007176(GOOD),0.004335(GOOD)
@2026-04-21 20:45:00,-0.006829(GOOD),0.004282(GOOD)
@2026-04-21 20:46:00,-0.007229(GOOD),0.003882(GOOD)
@2026-04-21 20:47:00,-0.007229(GOOD),0.003882(GOOD)
@2026-04-21 20:48:00,-0.007229(GOOD),0.003882(GOOD)
@2026-04-21 20:49:00,-0.007229(GOOD),0.003882(GOOD)
@2026-04-21 20:50:00,-0.006829(GOOD),0.003882(GOOD)
@2026-04-21 20:51:00,-0.007229(GOOD),0.003882(GOOD)
@2026-04-21 20:52:00,-0.007229(GOOD),0.003882(GOOD)
@2026-04-21 20:53:00,-0.007229(GOOD),0.003882(GOOD)
@2026-04-21 20:54:00,-0.007229(GOOD),0.004282(GOOD)
@2026-04-21 20:55:00,-0.006829(GOOD),0.003882(GOOD)
@2026-04-21 20:56:00,-0.007229(GOOD),0.003882(GOOD)
@2026-04-21 20:57:00,-0.007229(GOOD),0.003882(GOOD)
@2026-04-21 20:58:00,-0.007229(GOOD),0.003882(GOOD)
@2026-04-21 20:59:00,-0.007229(GOOD),0.003882(GOOD)
@2026-04-21 21:00:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 21:01:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 21:02:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 21:03:00,-0.006776(GOOD),0.003935(GOOD)
@2026-04-21 21:04:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 21:05:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 21:06:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 21:07:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 21:08:00,-0.007176(GOOD),0.004335(GOOD)
@2026-04-21 21:09:00,-0.006776(GOOD),0.003935(GOOD)
@2026-04-21 21:10:00,-0.007476(GOOD),0.003935(GOOD)
@2026-04-21 21:11:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 21:12:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 21:13:00,-0.007476(GOOD),0.003935(GOOD)
@2026-04-21 21:14:00,-0.007176(GOOD),0.003935(GOOD)
@2026-04-21 21:15:00,-0.006829(GOOD),0.003935(GOOD)
@2026-04-21 21:16:00,-0.007229(GOOD),0.003935(GOOD)
@2026-04-21 21:17:00,-0.007229(GOOD),0.003935(GOOD)
@2026-04-21 21:18:00,-0.007229(GOOD),0.003935(GOOD)
@2026-04-21 21:19:00,-0.007229(GOOD),0.003935(GOOD)
@2026-04-21 21:20:00,-0.007229(GOOD),0.003935(GOOD)
@2026-04-21 21:21:00,-0.007229(GOOD),0.003935(GOOD)
@2026-04-21 21:22:00,-0.007229(GOOD),0.003935(GOOD)
@2026-04-21 21:23:00,-0.007229(GOOD),0.003935(GOOD)
@2026-04-21 21:24:00,-0.007229(GOOD),0.003935(GOOD)
@2026-04-21 21:25:00,-0.007229(GOOD),0.003935(GOOD)
@2026-04-21 21:26:00,-0.007229(GOOD),0.004335(GOOD)
@2026-04-21 21:27:00,-0.007529(GOOD),0.003935(GOOD)
@2026-04-21 21:28:00,-0.007229(GOOD),0.003935(GOOD)
@2026-04-21 21:29:00,-0.007529(GOOD),0.003935(GOOD)
@2026-04-21 21:30:00,-0.007523(GOOD),0.003935(GOOD)
@2026-04-21 21:31:00,-0.007223(GOOD),0.003935(GOOD)
@2026-04-21 21:32:00,-0.007223(GOOD),0.003935(GOOD)
@2026-04-21 21:33:00,-0.008723(GOOD),0.003935(GOOD)
@2026-04-21 21:34:00,-0.006823(GOOD),0.003935(GOOD)
@2026-04-21 21:35:00,-0.007223(GOOD),0.003935(GOOD)
@2026-04-21 21:36:00,-0.006823(GOOD),0.003935(GOOD)
@2026-04-21 21:37:00,-0.007523(GOOD),0.003935(GOOD)
@2026-04-21 21:38:00,-0.006423(GOOD),0.003935(GOOD)
@2026-04-21 21:39:00,-0.007223(GOOD),0.003935(GOOD)
