$TagName,V4::DPU1005.HW.AI010106.PV,V4::DPU1005.HW.AI020106.PV
$Time,Data(Quality),Data(Quality)
@2026-04-15 00:00:00,-0.009144(GOOD),0.004398(GOOD)
@2026-04-15 00:01:00,-0.009144(GOOD),0.004298(GOOD)
@2026-04-15 00:02:00,-0.009644(GOOD),0.004298(GOOD)
@2026-04-15 00:03:00,-0.009544(GOOD),0.004698(GOOD)
@2026-04-15 00:04:00,-0.010044(GOOD),0.004398(GOOD)
@2026-04-15 00:05:00,-0.009644(GOOD),0.004398(GOOD)
@2026-04-15 00:06:00,-0.009544(GOOD),0.004698(GOOD)
@2026-04-15 00:07:00,-0.009544(GOOD),0.004398(GOOD)
@2026-04-15 00:08:00,-0.010344(GOOD),0.004298(GOOD)
@2026-04-15 00:09:00,-0.010344(GOOD),0.004298(GOOD)
@2026-04-15 00:10:00,-0.010344(GOOD),0.004698(GOOD)
@2026-04-15 00:11:00,-0.010344(GOOD),0.004698(GOOD)
@2026-04-15 00:12:00,-0.010044(GOOD),0.004398(GOOD)
@2026-04-15 00:13:00,-0.009144(GOOD),0.004298(GOOD)
@2026-04-15 00:14:00,-0.009544(GOOD),0.004298(GOOD)
@2026-04-15 00:15:00,-0.009144(GOOD),0.004745(GOOD)
@2026-04-15 00:16:00,-0.010044(GOOD),0.004745(GOOD)
@2026-04-15 00:17:00,-0.009644(GOOD),0.004345(GOOD)
@2026-04-15 00:18:00,-0.010044(GOOD),0.004445(GOOD)
@2026-04-15 00:19:00,-0.008844(GOOD),0.004745(GOOD)
@2026-04-15 00:20:00,-0.009144(GOOD),0.004745(GOOD)
@2026-04-15 00:21:00,-0.008844(GOOD),0.004345(GOOD)
@2026-04-15 00:22:00,-0.008844(GOOD),0.004745(GOOD)
@2026-04-15 00:23:00,-0.009144(GOOD),0.004345(GOOD)
@2026-04-15 00:24:00,-0.008844(GOOD),0.004345(GOOD)
@2026-04-15 00:25:00,-0.008844(GOOD),0.004445(GOOD)
@2026-04-15 00:26:00,-0.009144(GOOD),0.004345(GOOD)
@2026-04-15 00:27:00,-0.008844(GOOD),0.004745(GOOD)
@2026-04-15 00:28:00,-0.008344(GOOD),0.004745(GOOD)
@2026-04-15 00:29:00,-0.008844(GOOD),0.004445(GOOD)
@2026-04-15 00:30:00,-0.008796(GOOD),0.004398(GOOD)
@2026-04-15 00:31:00,-0.008796(GOOD),0.004398(GOOD)
@2026-04-15 00:32:00,-0.008696(GOOD),0.004698(GOOD)
@2026-04-15 00:33:00,-0.008796(GOOD),0.004298(GOOD)
@2026-04-15 00:34:00,-0.010296(GOOD),0.004698(GOOD)
@2026-04-15 00:35:00,-0.009996(GOOD),0.004698(GOOD)
@2026-04-15 00:36:00,-0.010296(GOOD),0.004298(GOOD)
@2026-04-15 00:37:00,-0.011096(GOOD),0.004298(GOOD)
@2026-04-15 00:38:00,-0.011096(GOOD),0.004698(GOOD)
@2026-04-15 00:39:00,-0.013396(GOOD),0.004298(GOOD)
@2026-04-15 00:40:00,-0.009996(GOOD),0.004298(GOOD)
@2026-04-15 00:41:00,-0.011496(GOOD),0.004298(GOOD)
@2026-04-15 00:42:00,-0.011896(GOOD),0.004298(GOOD)
