$TagName,V4::DPU1005.HW.AI010106.PV,V4::DPU1005.HW.AI020106.PV
$Time,Data(Quality),Data(Quality)
@2026-05-09 20:00:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-09 20:01:00,-0.009454(GOOD),0.003882(GOOD)
@2026-05-09 20:02:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-09 20:03:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-09 20:04:00,-0.010754(GOOD),0.004282(GOOD)
@2026-05-09 20:05:00,-0.009554(GOOD),0.004282(GOOD)
@2026-05-09 20:06:00,-0.009454(GOOD),0.004282(GOOD)
@2026-05-09 20:07:00,-0.010254(GOOD),0.003882(GOOD)
@2026-05-09 20:08:00,-0.009954(GOOD),0.004282(GOOD)
@2026-05-09 20:09:00,-0.012254(GOOD),0.004282(GOOD)
@2026-05-09 20:10:00,-0.009454(GOOD),0.003882(GOOD)
@2026-05-09 20:11:00,-0.007554(GOOD),0.004282(GOOD)
@2026-05-09 20:12:00,-0.007954(GOOD),0.004282(GOOD)
@2026-05-09 20:13:00,-0.008754(GOOD),0.004282(GOOD)
@2026-05-09 20:14:00,-0.009054(GOOD),0.003882(GOOD)
@2026-05-09 20:15:00,-0.009606(GOOD),0.004282(GOOD)
@2026-05-09 20:16:00,-0.008806(GOOD),0.004282(GOOD)
@2026-05-09 20:17:00,-0.010006(GOOD),0.004282(GOOD)
@2026-05-09 20:18:00,-0.009606(GOOD),0.004682(GOOD)
@2026-05-09 20:19:00,-0.009606(GOOD),0.003882(GOOD)
@2026-05-09 20:20:00,-0.010006(GOOD),0.004282(GOOD)
@2026-05-09 20:21:00,-0.010006(GOOD),0.004282(GOOD)
@2026-05-09 20:22:00,-0.010006(GOOD),0.004282(GOOD)
@2026-05-09 20:23:00,-0.010306(GOOD),0.003882(GOOD)
@2026-05-09 20:24:00,-0.010306(GOOD),0.004282(GOOD)
@2026-05-09 20:25:00,-0.010006(GOOD),0.004282(GOOD)
@2026-05-09 20:26:00,-0.010306(GOOD),0.003882(GOOD)
@2026-05-09 20:27:00,-0.010006(GOOD),0.003882(GOOD)
@2026-05-09 20:28:00,-0.010806(GOOD),0.003882(GOOD)
@2026-05-09 20:29:00,-0.010306(GOOD),0.004282(GOOD)
@2026-05-09 20:30:00,-0.009144(GOOD),0.004282(GOOD)
@2026-05-09 20:31:00,-0.009644(GOOD),0.003882(GOOD)
@2026-05-09 20:32:00,-0.009644(GOOD),0.004282(GOOD)
@2026-05-09 20:33:00,-0.009644(GOOD),0.004282(GOOD)
@2026-05-09 20:34:00,-0.010044(GOOD),0.004682(GOOD)
@2026-05-09 20:35:00,-0.010344(GOOD),0.003882(GOOD)
@2026-05-09 20:36:00,-0.010344(GOOD),0.004282(GOOD)
@2026-05-09 20:37:00,-0.010344(GOOD),0.004282(GOOD)
@2026-05-09 20:38:00,-0.010344(GOOD),0.004282(GOOD)
@2026-05-09 20:39:00,-0.010044(GOOD),0.004282(GOOD)
@2026-05-09 20:40:00,-0.010044(GOOD),0.004282(GOOD)
@2026-05-09 20:41:00,-0.010344(GOOD),0.004282(GOOD)
@2026-05-09 20:42:00,-0.009644(GOOD),0.004282(GOOD)
@2026-05-09 20:43:00,-0.010044(GOOD),0.004282(GOOD)
@2026-05-09 20:44:00,-0.009644(GOOD),0.004282(GOOD)
@2026-05-09 20:45:00,-0.009954(GOOD),0.003935(GOOD)
@2026-05-09 20:46:00,-0.010254(GOOD),0.004335(GOOD)
@2026-05-09 20:47:00,-0.009954(GOOD),0.004335(GOOD)
@2026-05-09 20:48:00,-0.009454(GOOD),0.004335(GOOD)
@2026-05-09 20:49:00,-0.009954(GOOD),0.004335(GOOD)
@2026-05-09 20:50:00,-0.009454(GOOD),0.004335(GOOD)
@2026-05-09 20:51:00,-0.010254(GOOD),0.004335(GOOD)
@2026-05-09 20:52:00,-0.009054(GOOD),0.004335(GOOD)
@2026-05-09 20:53:00,-0.010254(GOOD),0.003935(GOOD)
@2026-05-09 20:54:00,-0.008654(GOOD),0.003935(GOOD)
@2026-05-09 20:55:00,-0.008254(GOOD),0.004735(GOOD)
@2026-05-09 20:56:00,-0.008254(GOOD),0.004335(GOOD)
@2026-05-09 20:57:00,-0.009054(GOOD),0.003935(GOOD)
@2026-05-09 20:58:00,-0.009054(GOOD),0.004335(GOOD)
@2026-05-09 20:59:00,-0.008654(GOOD),0.004335(GOOD)
@2026-05-09 21:00:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:01:00,-0.008733(GOOD),0.004282(GOOD)
@2026-05-09 21:02:00,-0.007233(GOOD),0.004282(GOOD)
@2026-05-09 21:03:00,-0.007633(GOOD),0.004282(GOOD)
@2026-05-09 21:04:00,-0.007233(GOOD),0.004282(GOOD)
@2026-05-09 21:05:00,-0.008033(GOOD),0.004282(GOOD)
@2026-05-09 21:06:00,-0.008033(GOOD),0.004282(GOOD)
@2026-05-09 21:07:00,-0.008033(GOOD),0.004282(GOOD)
@2026-05-09 21:08:00,-0.008033(GOOD),0.004282(GOOD)
@2026-05-09 21:09:00,-0.008333(GOOD),0.003882(GOOD)
@2026-05-09 21:10:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:11:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:12:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:13:00,-0.008833(GOOD),0.004282(GOOD)
@2026-05-09 21:14:00,-0.008833(GOOD),0.004282(GOOD)
@2026-05-09 21:15:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:16:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:17:00,-0.008033(GOOD),0.004282(GOOD)
@2026-05-09 21:18:00,-0.008333(GOOD),0.003882(GOOD)
@2026-05-09 21:19:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:20:00,-0.008333(GOOD),0.003882(GOOD)
@2026-05-09 21:21:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:22:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:23:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:24:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:25:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:26:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:27:00,-0.008333(GOOD),0.004282(GOOD)
@2026-05-09 21:28:00,-0.008833(GOOD),0.003882(GOOD)
@2026-05-09 21:29:00,-0.008833(GOOD),0.004282(GOOD)
@2026-05-09 21:30:00,-0.009144(GOOD),0.004282(GOOD)
@2026-05-09 21:31:00,-0.008744(GOOD),0.004282(GOOD)
@2026-05-09 21:32:00,-0.008844(GOOD),0.004282(GOOD)
@2026-05-09 21:33:00,-0.008844(GOOD),0.004282(GOOD)
@2026-05-09 21:34:00,-0.008844(GOOD),0.004282(GOOD)
@2026-05-09 21:35:00,-0.008844(GOOD),0.004282(GOOD)
@2026-05-09 21:36:00,-0.008844(GOOD),0.004282(GOOD)
@2026-05-09 21:37:00,-0.008844(GOOD),0.003882(GOOD)
@2026-05-09 21:38:00,-0.009144(GOOD),0.004282(GOOD)
@2026-05-09 21:39:00,-0.008844(GOOD),0.004282(GOOD)
@2026-05-09 21:40:00,-0.009144(GOOD),0.003882(GOOD)
@2026-05-09 21:41:00,-0.009144(GOOD),0.004282(GOOD)
@2026-05-09 21:42:00,-0.009544(GOOD),0.004282(GOOD)
