$TagName,V4::DPU1005.HW.AI010106.PV,V4::DPU1005.HW.AI020106.PV
$Time,Data(Quality),Data(Quality)
@2026-04-27 10:00:00,0.070833(GOOD),0.003125(GOOD)
@2026-04-27 10:01:00,0.061833(GOOD),0.003125(GOOD)
@2026-04-27 10:02:00,0.064933(GOOD),0.003125(GOOD)
@2026-04-27 10:03:00,0.058233(GOOD),0.003125(GOOD)
@2026-04-27 10:04:00,0.055633(GOOD),0.003125(GOOD)
@2026-04-27 10:05:00,0.058233(GOOD),0.003125(GOOD)
@2026-04-27 10:06:00,0.067633(GOOD),0.003125(GOOD)
@2026-04-27 10:07:00,0.066933(GOOD),0.003125(GOOD)
@2026-04-27 10:08:00,0.064133(GOOD),0.003125(GOOD)
@2026-04-27 10:09:00,0.064933(GOOD),0.003125(GOOD)
@2026-04-27 10:10:00,0.063033(GOOD),0.003625(GOOD)
@2026-04-27 10:11:00,0.047733(GOOD),0.003125(GOOD)
@2026-04-27 10:12:00,0.079433(GOOD),0.003125(GOOD)
@2026-04-27 10:13:00,0.073133(GOOD),0.003125(GOOD)
@2026-04-27 10:14:00,0.070833(GOOD),0.003125(GOOD)
@2026-04-27 10:15:00,0.067593(GOOD),0.002778(GOOD)
@2026-04-27 10:16:00,0.055893(GOOD),0.003078(GOOD)
@2026-04-27 10:17:00,0.067593(GOOD),0.003078(GOOD)
@2026-04-27 10:18:00,0.055593(GOOD),0.003078(GOOD)
@2026-04-27 10:19:00,0.069593(GOOD),0.002778(GOOD)
@2026-04-27 10:20:00,0.067193(GOOD),0.003078(GOOD)
@2026-04-27 10:21:00,0.071193(GOOD),0.002778(GOOD)
@2026-04-27 10:22:00,0.071993(GOOD),0.003078(GOOD)
@2026-04-27 10:23:00,0.053093(GOOD),0.002778(GOOD)
@2026-04-27 10:24:00,0.074293(GOOD),0.002778(GOOD)
@2026-04-27 10:25:00,0.064493(GOOD),0.003078(GOOD)
@2026-04-27 10:26:00,0.060993(GOOD),0.003078(GOOD)
@2026-04-27 10:27:00,0.074693(GOOD),0.003078(GOOD)
@2026-04-27 10:28:00,0.061793(GOOD),0.002778(GOOD)
@2026-04-27 10:29:00,0.075793(GOOD),0.002778(GOOD)
@2026-04-27 10:30:00,0.062963(GOOD),0.003125(GOOD)
