$TagName,V4::DPU1005.SH0190.AALM2.PV,V4::DPU1005.SH0190.AALM4.PV,V4::DPU1015.SH0013.AALM4.PV
$Time,Data(Quality),Data(Quality),Data(Quality)
@2026-04-30 00:00:00,2977.297852(GOOD),308.281128(GOOD),66.293335(GOOD)
@2026-04-30 00:01:00,2992.317871(GOOD),308.818878(GOOD),66.423126(GOOD)
@2026-04-30 00:02:00,2958.105713(GOOD),309.625610(GOOD),66.319458(GOOD)
@2026-04-30 00:03:00,3054.066650(GOOD),309.625610(GOOD),66.364853(GOOD)
@2026-04-30 00:04:00,3037.377686(GOOD),309.625610(GOOD),66.468658(GOOD)
@2026-04-30 00:05:00,3025.695801(GOOD),309.625610(GOOD),66.429764(GOOD)
@2026-04-30 00:06:00,2972.291016(GOOD),309.625610(GOOD),66.358360(GOOD)
@2026-04-30 00:07:00,2957.271240(GOOD),309.625610(GOOD),66.293343(GOOD)
@2026-04-30 00:08:00,2940.582520(GOOD),309.625610(GOOD),66.312836(GOOD)
@2026-04-30 00:09:00,3009.006836(GOOD),309.625610(GOOD),66.234940(GOOD)
@2026-04-30 00:10:00,3014.847900(GOOD),309.625610(GOOD),66.319328(GOOD)
@2026-04-30 00:11:00,2983.973145(GOOD),309.625610(GOOD),66.377716(GOOD)
@2026-04-30 00:12:00,2895.522461(GOOD),309.760010(GOOD),66.332314(GOOD)
@2026-04-30 00:13:00,3054.066650(GOOD),309.625610(GOOD),66.299797(GOOD)
@2026-04-30 00:14:00,2972.291016(GOOD),309.625610(GOOD),66.254410(GOOD)
@2026-04-30 00:15:00,3006.503418(GOOD),309.625580(GOOD),66.293335(GOOD)
@2026-04-30 00:16:00,2966.450195(GOOD),309.625580(GOOD),66.150635(GOOD)
@2026-04-30 00:17:00,2980.635742(GOOD),309.759979(GOOD),66.150635(GOOD)
@2026-04-30 00:18:00,3090.782227(GOOD),309.625580(GOOD),66.241432(GOOD)
@2026-04-30 00:19:00,3019.854492(GOOD),309.759857(GOOD),66.423126(GOOD)
@2026-04-30 00:20:00,3074.093750(GOOD),310.163147(GOOD),66.384239(GOOD)
@2026-04-30 00:21:00,2999.827881(GOOD),310.163147(GOOD),66.092232(GOOD)
@2026-04-30 00:22:00,2986.477051(GOOD),310.163147(GOOD),66.351738(GOOD)
@2026-04-30 00:23:00,3003.165771(GOOD),310.163147(GOOD),66.098854(GOOD)
@2026-04-30 00:24:00,3054.066650(GOOD),310.163147(GOOD),66.286850(GOOD)
@2026-04-30 00:25:00,3017.351074(GOOD),310.163147(GOOD),66.150757(GOOD)
@2026-04-30 00:26:00,3031.536621(GOOD),310.163147(GOOD),66.163765(GOOD)
@2026-04-30 00:27:00,2921.390137(GOOD),310.163147(GOOD),66.209160(GOOD)
