$TagName,V4::DPU1005.SH0190.AALM2.PV,V4::DPU1005.SH0190.AALM4.PV,V4::DPU1015.SH0013.AALM4.PV
$Time,Data(Quality),Data(Quality),Data(Quality)
@2026-05-24 20:00:00,2943.919922(GOOD),97.606674(GOOD),63.736805(GOOD)
@2026-05-24 20:01:00,2929.734375(GOOD),98.009972(GOOD),63.775707(GOOD)
@2026-05-24 20:02:00,2921.390137(GOOD),98.009972(GOOD),63.827610(GOOD)
@2026-05-24 20:03:00,2923.893311(GOOD),98.009972(GOOD),63.899006(GOOD)
@2026-05-24 20:04:00,2958.105713(GOOD),98.009964(GOOD),63.730309(GOOD)
@2026-05-24 20:05:00,2929.734375(GOOD),97.606667(GOOD),63.684902(GOOD)
@2026-05-24 20:06:00,2898.860107(GOOD),97.606667(GOOD),63.801720(GOOD)
@2026-05-24 20:07:00,2988.980225(GOOD),97.606667(GOOD),63.646008(GOOD)
@2026-05-24 20:08:00,2955.602539(GOOD),98.009964(GOOD),63.937996(GOOD)
@2026-05-24 20:09:00,2963.112305(GOOD),97.606667(GOOD),63.814693(GOOD)
@2026-05-24 20:10:00,2958.105713(GOOD),97.606667(GOOD),63.821194(GOOD)
@2026-05-24 20:11:00,2907.204346(GOOD),98.009964(GOOD),63.873085(GOOD)
@2026-05-24 20:12:00,2932.237793(GOOD),97.606667(GOOD),63.756290(GOOD)
@2026-05-24 20:13:00,2927.231201(GOOD),97.606667(GOOD),63.931488(GOOD)
@2026-05-24 20:14:00,2952.264404(GOOD),97.606667(GOOD),63.762794(GOOD)
@2026-05-24 20:15:00,2983.138672(GOOD),98.010010(GOOD),63.717339(GOOD)
@2026-05-24 20:16:00,2901.363281(GOOD),97.606712(GOOD),63.658939(GOOD)
@2026-05-24 20:17:00,2923.893311(GOOD),98.010010(GOOD),63.788727(GOOD)
@2026-05-24 20:18:00,2994.821289(GOOD),97.606712(GOOD),63.775730(GOOD)
@2026-05-24 20:19:00,2895.522461(GOOD),97.606712(GOOD),63.775738(GOOD)
@2026-05-24 20:20:00,2969.787842(GOOD),98.010010(GOOD),63.743320(GOOD)
@2026-05-24 20:21:00,2935.575928(GOOD),97.606712(GOOD),63.710815(GOOD)
@2026-05-24 20:22:00,2915.549072(GOOD),97.606712(GOOD),63.652527(GOOD)
@2026-05-24 20:23:00,2887.177979(GOOD),97.606712(GOOD),63.697929(GOOD)
@2026-05-24 20:24:00,2946.423340(GOOD),98.010010(GOOD),63.658932(GOOD)
@2026-05-24 20:25:00,2963.112305(GOOD),97.606712(GOOD),63.710842(GOOD)
@2026-05-24 20:26:00,2909.708008(GOOD),97.606712(GOOD),63.639542(GOOD)
@2026-05-24 20:27:00,2955.602539(GOOD),98.010010(GOOD),63.678440(GOOD)
