$TagName,V4::DPU1005.SH0190.AALM2.PV,V4::DPU1005.SH0190.AALM4.PV,V4::DPU1015.SH0013.AALM4.PV
$Time,Data(Quality),Data(Quality),Data(Quality)
@2026-04-11 10:00:00,2167.052246(GOOD),202.742233(GOOD),69.193771(GOOD)
@2026-04-11 10:01:00,2195.423584(GOOD),202.742233(GOOD),69.148148(GOOD)
@2026-04-11 10:02:00,2164.549072(GOOD),202.742233(GOOD),69.232651(GOOD)
@2026-04-11 10:03:00,2175.396973(GOOD),203.145630(GOOD),69.161263(GOOD)
@2026-04-11 10:04:00,2167.052246(GOOD),202.742233(GOOD),69.122368(GOOD)
@2026-04-11 10:05:00,2192.085449(GOOD),203.145630(GOOD),69.245689(GOOD)
@2026-04-11 10:06:00,2172.893311(GOOD),198.171127(GOOD),69.070480(GOOD)
@2026-04-11 10:07:00,2150.363525(GOOD),197.767807(GOOD),69.174301(GOOD)
@2026-04-11 10:08:00,2195.423584(GOOD),197.767807(GOOD),69.141899(GOOD)
@2026-04-11 10:09:00,2167.052246(GOOD),197.767807(GOOD),69.167793(GOOD)
@2026-04-11 10:10:00,2101.965576(GOOD),197.767807(GOOD),69.193794(GOOD)
@2026-04-11 10:11:00,2141.184570(GOOD),202.742218(GOOD),69.193794(GOOD)
@2026-04-11 10:12:00,2121.992188(GOOD),197.767960(GOOD),69.161301(GOOD)
@2026-04-11 10:13:00,2144.522217(GOOD),197.767990(GOOD),69.109390(GOOD)
@2026-04-11 10:14:00,2237.979980(GOOD),202.742401(GOOD),69.148285(GOOD)
@2026-04-11 10:15:00,2093.621094(GOOD),202.742233(GOOD),69.089951(GOOD)
@2026-04-11 10:16:00,2220.456543(GOOD),202.742233(GOOD),69.180649(GOOD)
@2026-04-11 10:17:00,2099.462402(GOOD),202.338928(GOOD),69.148254(GOOD)
@2026-04-11 10:18:00,2175.396973(GOOD),202.742233(GOOD),69.193764(GOOD)
@2026-04-11 10:19:00,2124.495605(GOOD),202.742233(GOOD),69.044472(GOOD)
@2026-04-11 10:20:00,2147.859863(GOOD),202.338928(GOOD),69.083473(GOOD)
@2026-04-11 10:21:00,2107.806641(GOOD),202.338928(GOOD),69.154778(GOOD)
@2026-04-11 10:22:00,2206.271240(GOOD),201.801132(GOOD),69.200264(GOOD)
@2026-04-11 10:23:00,2195.423584(GOOD),202.204529(GOOD),69.258652(GOOD)
@2026-04-11 10:24:00,2215.450195(GOOD),202.204514(GOOD),69.044350(GOOD)
@2026-04-11 10:25:00,2155.369873(GOOD),202.204514(GOOD),69.096352(GOOD)
@2026-04-11 10:26:00,2215.450195(GOOD),201.801117(GOOD),69.076950(GOOD)
@2026-04-11 10:27:00,2217.953369(GOOD),202.338913(GOOD),69.122353(GOOD)
@2026-04-11 10:28:00,2187.078857(GOOD),202.338913(GOOD),69.109352(GOOD)
@2026-04-11 10:29:00,2158.707764(GOOD),202.338913(GOOD),69.096245(GOOD)
@2026-04-11 10:30:00,2164.549072(GOOD),204.086685(GOOD),69.070480(GOOD)
