$TagName,V4::DPU1005.SH0190.AALM2.PV,V4::DPU1005.SH0190.AALM4.PV,V4::DPU1015.SH0013.AALM4.PV
$Time,Data(Quality),Data(Quality),Data(Quality)
@2026-03-31 00:00:00,1943.421265(GOOD),260.015564(GOOD),65.235687(GOOD)
@2026-03-31 00:01:00,1932.573364(GOOD),259.612152(GOOD),65.190269(GOOD)
@2026-03-31 00:02:00,1971.792358(GOOD),259.612152(GOOD),65.125359(GOOD)
@2026-03-31 00:03:00,2040.216919(GOOD),259.612152(GOOD),65.066841(GOOD)
@2026-03-31 00:04:00,1989.315918(GOOD),259.612152(GOOD),65.287560(GOOD)
@2026-03-31 00:05:00,2022.692993(GOOD),259.612152(GOOD),65.118851(GOOD)
@2026-03-31 00:06:00,1989.315430(GOOD),259.612152(GOOD),65.060455(GOOD)
@2026-03-31 00:07:00,2046.057861(GOOD),260.015564(GOOD),65.164253(GOOD)
@2026-03-31 00:08:00,1980.971191(GOOD),260.015564(GOOD),65.190262(GOOD)
@2026-03-31 00:09:00,2009.342041(GOOD),259.612152(GOOD),65.099358(GOOD)
@2026-03-31 00:10:00,1997.659912(GOOD),259.612152(GOOD),65.151260(GOOD)
@2026-03-31 00:11:00,1969.288940(GOOD),259.612152(GOOD),65.138374(GOOD)
@2026-03-31 00:12:00,1985.978638(GOOD),259.612152(GOOD),65.313576(GOOD)
@2026-03-31 00:13:00,1963.448975(GOOD),260.015564(GOOD),65.034477(GOOD)
@2026-03-31 00:14:00,1955.105225(GOOD),260.015564(GOOD),65.105881(GOOD)
@2026-03-31 00:15:00,1955.103394(GOOD),259.612213(GOOD),65.138359(GOOD)
@2026-03-31 00:16:00,1944.254761(GOOD),259.612213(GOOD),65.105858(GOOD)
@2026-03-31 00:17:00,1997.659912(GOOD),260.015625(GOOD),65.203163(GOOD)
@2026-03-31 00:18:00,2003.501099(GOOD),260.015625(GOOD),65.105858(GOOD)
@2026-03-31 00:19:00,2011.845581(GOOD),259.612213(GOOD),65.352470(GOOD)
@2026-03-31 00:20:00,2037.713501(GOOD),260.015625(GOOD),65.222664(GOOD)
@2026-03-31 00:21:00,1985.977661(GOOD),260.015625(GOOD),64.982445(GOOD)
@2026-03-31 00:22:00,1997.659302(GOOD),260.015625(GOOD),65.339470(GOOD)
@2026-03-31 00:23:00,1940.916626(GOOD),260.015625(GOOD),65.371864(GOOD)
@2026-03-31 00:24:00,1969.288208(GOOD),259.612213(GOOD),65.034470(GOOD)
@2026-03-31 00:25:00,2011.845947(GOOD),260.015625(GOOD),65.183777(GOOD)
@2026-03-31 00:26:00,1950.097046(GOOD),259.612213(GOOD),65.345993(GOOD)
@2026-03-31 00:27:00,1977.633545(GOOD),259.612213(GOOD),65.138382(GOOD)
@2026-03-31 00:28:00,2026.031372(GOOD),260.015625(GOOD),65.164276(GOOD)
@2026-03-31 00:29:00,1980.971191(GOOD),259.612213(GOOD),65.255066(GOOD)
@2026-03-31 00:30:00,2051.898926(GOOD),259.612213(GOOD),65.066978(GOOD)
@2026-03-31 00:31:00,2048.561035(GOOD),259.612213(GOOD),65.053978(GOOD)
@2026-03-31 00:32:00,1924.229614(GOOD),260.015625(GOOD),65.015083(GOOD)
@2026-03-31 00:33:00,2045.223755(GOOD),259.612213(GOOD),65.047493(GOOD)
@2026-03-31 00:34:00,2040.217407(GOOD),259.612213(GOOD),65.229218(GOOD)
@2026-03-31 00:35:00,1977.633301(GOOD),260.015625(GOOD),65.086426(GOOD)
@2026-03-31 00:36:00,2051.064453(GOOD),260.015625(GOOD),65.151329(GOOD)
@2026-03-31 00:37:00,2000.998169(GOOD),259.612213(GOOD),65.131920(GOOD)
@2026-03-31 00:38:00,1980.137085(GOOD),259.612213(GOOD),64.976120(GOOD)
@2026-03-31 00:39:00,2022.694336(GOOD),259.612213(GOOD),65.028008(GOOD)
@2026-03-31 00:40:00,2014.350342(GOOD),260.015625(GOOD),65.170815(GOOD)
@2026-03-31 00:41:00,1955.104126(GOOD),260.015625(GOOD),65.138405(GOOD)
@2026-03-31 00:42:00,1985.978882(GOOD),259.612213(GOOD),65.080002(GOOD)
@2026-03-31 00:43:00,1958.442749(GOOD),259.612213(GOOD),65.216217(GOOD)
@2026-03-31 00:44:00,1955.105103(GOOD),260.015625(GOOD),65.190315(GOOD)
@2026-03-31 00:45:00,1972.626831(GOOD),260.015564(GOOD),65.131866(GOOD)
@2026-03-31 00:46:00,1969.288696(GOOD),259.612152(GOOD),65.086372(GOOD)
@2026-03-31 00:47:00,1963.447144(GOOD),260.015564(GOOD),65.034470(GOOD)
@2026-03-31 00:48:00,1935.910278(GOOD),259.612152(GOOD),65.203171(GOOD)
