$TagName,V4::DPU1005.SH0190.AALM2.PV,V4::DPU1005.SH0190.AALM4.PV,V4::DPU1015.SH0013.AALM4.PV
$Time,Data(Quality),Data(Quality),Data(Quality)
@2026-03-16 20:00:00,-19.192223(GOOD),6.991111(GOOD),0.000000(GOOD)
@2026-03-16 20:01:00,-19.192223(GOOD),7.394411(GOOD),-0.000000(GOOD)
@2026-03-16 20:02:00,-16.688923(GOOD),5.646710(GOOD),-0.000000(GOOD)
@2026-03-16 20:03:00,-19.192223(GOOD),6.184411(GOOD),-0.000000(GOOD)
@2026-03-16 20:04:00,-15.854423(GOOD),4.302210(GOOD),-0.000000(GOOD)
@2026-03-16 20:05:00,-19.192223(GOOD),4.705611(GOOD),-0.000000(GOOD)
@2026-03-16 20:06:00,-16.688923(GOOD),4.705611(GOOD),-0.000000(GOOD)
@2026-03-16 20:07:00,-19.192223(GOOD),3.764411(GOOD),-0.000000(GOOD)
@2026-03-16 20:08:00,-19.192223(GOOD),3.361112(GOOD),-0.000000(GOOD)
@2026-03-16 20:09:00,-16.688923(GOOD),3.361112(GOOD),-0.000000(GOOD)
@2026-03-16 20:10:00,-19.192223(GOOD),3.764412(GOOD),-0.000000(GOOD)
@2026-03-16 20:11:00,-19.192223(GOOD),3.361112(GOOD),-0.000000(GOOD)
@2026-03-16 20:12:00,-19.192223(GOOD),3.361112(GOOD),-0.000000(GOOD)
@2026-03-16 20:13:00,-19.192223(GOOD),3.764412(GOOD),-0.000000(GOOD)
@2026-03-16 20:14:00,-16.688923(GOOD),3.361112(GOOD),-0.000000(GOOD)
@2026-03-16 20:15:00,-16.688889(GOOD),3.361111(GOOD),2.496832(GOOD)
@2026-03-16 20:16:00,-15.854388(GOOD),3.361112(GOOD),24.856831(GOOD)
@2026-03-16 20:17:00,-19.192188(GOOD),3.361112(GOOD),69.407928(GOOD)
@2026-03-16 20:18:00,-19.192198(GOOD),3.361112(GOOD),39.041023(GOOD)
@2026-03-16 20:19:00,-15.854398(GOOD),3.361112(GOOD),16.849731(GOOD)
@2026-03-16 20:20:00,-19.192198(GOOD),3.764412(GOOD),0.000032(GOOD)
@2026-03-16 20:21:00,-21.695599(GOOD),3.361112(GOOD),0.000032(GOOD)
@2026-03-16 20:22:00,-19.192198(GOOD),3.764412(GOOD),0.000032(GOOD)
@2026-03-16 20:23:00,-15.854398(GOOD),3.764412(GOOD),0.000032(GOOD)
@2026-03-16 20:24:00,-19.192198(GOOD),2.957812(GOOD),0.000032(GOOD)
@2026-03-16 20:25:00,-13.351098(GOOD),2.957812(GOOD),0.000032(GOOD)
@2026-03-16 20:26:00,-16.688898(GOOD),2.957812(GOOD),0.000032(GOOD)
@2026-03-16 20:27:00,-16.688898(GOOD),3.361112(GOOD),0.000032(GOOD)
@2026-03-16 20:28:00,-19.192198(GOOD),3.361112(GOOD),0.000032(GOOD)
@2026-03-16 20:29:00,1647.193237(GOOD),3.361112(GOOD),0.000032(GOOD)
@2026-03-16 20:30:00,1647.193359(GOOD),3.361111(GOOD),0.000000(GOOD)
@2026-03-16 20:31:00,1663.881958(GOOD),292.820038(GOOD),0.000000(GOOD)
@2026-03-16 20:32:00,1599.630371(GOOD),241.462357(GOOD),-0.000000(GOOD)
@2026-03-16 20:33:00,1622.160400(GOOD),217.800018(GOOD),0.000000(GOOD)
@2026-03-16 20:34:00,1528.702881(GOOD),206.910019(GOOD),0.000000(GOOD)
@2026-03-16 20:35:00,1486.145630(GOOD),207.313324(GOOD),0.000000(GOOD)
@2026-03-16 20:36:00,1461.112061(GOOD),212.287827(GOOD),0.000000(GOOD)
@2026-03-16 20:37:00,1475.297241(GOOD),218.606873(GOOD),0.000000(GOOD)
@2026-03-16 20:38:00,1471.958618(GOOD),223.715775(GOOD),0.000000(GOOD)
@2026-03-16 20:39:00,1461.109863(GOOD),229.631149(GOOD),0.000000(GOOD)
@2026-03-16 20:40:00,1436.075684(GOOD),235.009079(GOOD),0.000000(GOOD)
@2026-03-16 20:41:00,1486.141968(GOOD),240.117996(GOOD),0.000000(GOOD)
@2026-03-16 20:42:00,1426.896484(GOOD),246.436890(GOOD),0.000000(GOOD)
@2026-03-16 20:43:00,1435.241211(GOOD),251.949097(GOOD),0.000000(GOOD)
@2026-03-16 20:44:00,1495.320801(GOOD),257.864594(GOOD),0.000000(GOOD)
@2026-03-16 20:45:00,1446.926636(GOOD),257.864441(GOOD),0.000000(GOOD)
@2026-03-16 20:46:00,1450.263916(GOOD),258.267944(GOOD),0.000000(GOOD)
