$TagName,V4::DPU1005.SH0190.AALM2.PV,V4::DPU1005.SH0190.AALM4.PV,V4::DPU1015.SH0013.AALM4.PV
$Time,Data(Quality),Data(Quality),Data(Quality)
@2026-05-29 10:00:00,2963.112305(GOOD),100.833344(GOOD),62.529915(GOOD)
@2026-05-29 10:01:00,2946.423340(GOOD),100.295753(GOOD),62.549416(GOOD)
@2026-05-29 10:02:00,3051.563721(GOOD),100.833458(GOOD),62.594807(GOOD)
@2026-05-29 10:03:00,2980.635742(GOOD),100.833481(GOOD),62.549412(GOOD)
@2026-05-29 10:04:00,2968.953369(GOOD),100.833481(GOOD),62.484524(GOOD)
@2026-05-29 10:05:00,2963.946777(GOOD),100.430176(GOOD),62.555920(GOOD)
@2026-05-29 10:06:00,2915.549072(GOOD),100.833488(GOOD),62.523422(GOOD)
@2026-05-29 10:07:00,2968.953369(GOOD),100.833496(GOOD),62.555916(GOOD)
@2026-05-29 10:08:00,2904.701416(GOOD),100.699104(GOOD),62.588314(GOOD)
@2026-05-29 10:09:00,2999.827881(GOOD),100.833504(GOOD),62.575310(GOOD)
@2026-05-29 10:10:00,2968.953369(GOOD),100.833496(GOOD),62.588310(GOOD)
@2026-05-29 10:11:00,2988.980225(GOOD),100.833511(GOOD),62.484505(GOOD)
@2026-05-29 10:12:00,2947.258057(GOOD),100.430222(GOOD),62.516903(GOOD)
@2026-05-29 10:13:00,2946.423340(GOOD),100.833519(GOOD),62.477997(GOOD)
@2026-05-29 10:14:00,2963.946777(GOOD),100.833527(GOOD),62.529888(GOOD)
@2026-05-29 10:15:00,3009.006836(GOOD),100.833344(GOOD),62.374187(GOOD)
@2026-05-29 10:16:00,2988.980225(GOOD),100.833344(GOOD),62.555882(GOOD)
@2026-05-29 10:17:00,3011.510010(GOOD),100.833344(GOOD),62.601292(GOOD)
@2026-05-29 10:18:00,2994.821289(GOOD),101.236732(GOOD),62.653194(GOOD)
@2026-05-29 10:19:00,2972.291016(GOOD),100.833344(GOOD),62.698597(GOOD)
@2026-05-29 10:20:00,2966.450195(GOOD),100.833450(GOOD),62.568806(GOOD)
@2026-05-29 10:21:00,2997.324707(GOOD),100.833450(GOOD),62.490993(GOOD)
@2026-05-29 10:22:00,2966.450195(GOOD),100.833450(GOOD),62.594784(GOOD)
@2026-05-29 10:23:00,3029.033203(GOOD),100.833450(GOOD),62.432590(GOOD)
@2026-05-29 10:24:00,2952.264404(GOOD),100.833450(GOOD),62.432594(GOOD)
@2026-05-29 10:25:00,2980.635742(GOOD),100.833458(GOOD),62.471481(GOOD)
@2026-05-29 10:26:00,2988.980225(GOOD),100.833458(GOOD),62.588276(GOOD)
@2026-05-29 10:27:00,3014.847900(GOOD),101.236855(GOOD),62.659676(GOOD)
