$TagName,V4::DPU1005.SH0190.AALM2.PV,V4::DPU1005.SH0190.AALM4.PV,V4::DPU1015.SH0013.AALM4.PV
$Time,Data(Quality),Data(Quality),Data(Quality)
@2026-04-15 10:00:00,2266.351318(GOOD),260.956665(GOOD),65.015068(GOOD)
@2026-04-15 10:01:00,2240.483643(GOOD),266.468872(GOOD),65.151283(GOOD)
@2026-04-15 10:02:00,2265.516602(GOOD),263.242218(GOOD),65.222679(GOOD)
@2026-04-15 10:03:00,2232.138672(GOOD),261.897797(GOOD),65.196793(GOOD)
@2026-04-15 10:04:00,2291.384277(GOOD),261.897766(GOOD),65.281097(GOOD)
@2026-04-15 10:05:00,2303.066895(GOOD),261.897614(GOOD),65.229202(GOOD)
@2026-04-15 10:06:00,2254.669189(GOOD),265.930878(GOOD),65.144791(GOOD)
@2026-04-15 10:07:00,2242.986816(GOOD),264.182922(GOOD),65.131882(GOOD)
@2026-04-15 10:08:00,2258.006592(GOOD),266.871918(GOOD),65.203178(GOOD)
@2026-04-15 10:09:00,2257.172363(GOOD),266.871735(GOOD),65.216194(GOOD)
@2026-04-15 10:10:00,2291.384277(GOOD),262.838318(GOOD),65.131897(GOOD)
@2026-04-15 10:11:00,2260.510010(GOOD),267.275024(GOOD),65.066994(GOOD)
@2026-04-15 10:12:00,2232.138672(GOOD),266.871735(GOOD),65.099396(GOOD)
@2026-04-15 10:13:00,2263.013428(GOOD),265.930511(GOOD),65.047493(GOOD)
@2026-04-15 10:14:00,2268.854492(GOOD),265.123901(GOOD),65.073502(GOOD)
@2026-04-15 10:15:00,2242.986816(GOOD),263.242218(GOOD),65.164314(GOOD)
@2026-04-15 10:16:00,2251.331055(GOOD),266.468872(GOOD),65.151306(GOOD)
@2026-04-15 10:17:00,2288.046631(GOOD),267.409851(GOOD),65.008598(GOOD)
@2026-04-15 10:18:00,2203.767822(GOOD),259.074402(GOOD),65.015091(GOOD)
@2026-04-15 10:19:00,2229.635742(GOOD),257.326660(GOOD),65.196800(GOOD)
@2026-04-15 10:20:00,2293.888184(GOOD),262.838867(GOOD),65.040993(GOOD)
@2026-04-15 10:21:00,2328.100098(GOOD),265.931244(GOOD),65.183792(GOOD)
@2026-04-15 10:22:00,2299.729004(GOOD),267.813599(GOOD),65.047478(GOOD)
@2026-04-15 10:23:00,2251.331055(GOOD),264.183502(GOOD),65.112396(GOOD)
@2026-04-15 10:24:00,2257.172363(GOOD),265.528137(GOOD),65.060493(GOOD)
@2026-04-15 10:25:00,2228.801270(GOOD),264.721466(GOOD),65.008583(GOOD)
@2026-04-15 10:26:00,2266.351318(GOOD),265.124878(GOOD),65.151291(GOOD)
@2026-04-15 10:27:00,2277.198975(GOOD),264.183533(GOOD),65.125389(GOOD)
@2026-04-15 10:28:00,2222.960205(GOOD),264.183533(GOOD),65.261597(GOOD)
