$TagName,V4::DPU1005.SH0190.AALM2.PV,V4::DPU1005.SH0190.AALM4.PV,V4::DPU1015.SH0013.AALM4.PV
$Time,Data(Quality),Data(Quality),Data(Quality)
@2026-04-28 20:00:00,2983.138672(GOOD),313.390015(GOOD),64.768501(GOOD)
@2026-04-28 20:01:00,2972.291016(GOOD),313.255615(GOOD),64.839905(GOOD)
@2026-04-28 20:02:00,3003.165771(GOOD),312.852203(GOOD),64.781517(GOOD)
@2026-04-28 20:03:00,3000.662354(GOOD),313.390015(GOOD),64.788010(GOOD)
@2026-04-28 20:04:00,3019.854492(GOOD),314.196686(GOOD),64.788017(GOOD)
@2026-04-28 20:05:00,2952.264404(GOOD),315.541077(GOOD),64.800919(GOOD)
@2026-04-28 20:06:00,2955.602539(GOOD),307.474487(GOOD),64.846428(GOOD)
@2026-04-28 20:07:00,2946.423340(GOOD),314.734375(GOOD),64.775040(GOOD)
@2026-04-28 20:08:00,2972.291016(GOOD),313.793152(GOOD),64.865952(GOOD)
@2026-04-28 20:09:00,2974.794434(GOOD),313.793152(GOOD),64.807442(GOOD)
@2026-04-28 20:10:00,2966.450195(GOOD),313.793152(GOOD),64.989136(GOOD)
@2026-04-28 20:11:00,2992.317871(GOOD),313.793121(GOOD),64.865952(GOOD)
@2026-04-28 20:12:00,2986.477051(GOOD),315.540863(GOOD),64.891953(GOOD)
@2026-04-28 20:13:00,3031.536621(GOOD),314.599762(GOOD),64.749046(GOOD)
@2026-04-28 20:14:00,3048.225586(GOOD),313.793060(GOOD),64.813942(GOOD)
@2026-04-28 20:15:00,3017.351074(GOOD),310.163330(GOOD),64.813927(GOOD)
@2026-04-28 20:16:00,3017.351074(GOOD),314.196747(GOOD),64.911324(GOOD)
@2026-04-28 20:17:00,2992.317871(GOOD),314.331146(GOOD),64.911324(GOOD)
@2026-04-28 20:18:00,2935.575928(GOOD),313.390045(GOOD),64.813934(GOOD)
@2026-04-28 20:19:00,2972.291016(GOOD),313.390045(GOOD),64.781525(GOOD)
@2026-04-28 20:20:00,3011.510010(GOOD),313.255646(GOOD),64.807442(GOOD)
@2026-04-28 20:21:00,2988.980225(GOOD),313.255646(GOOD),64.814056(GOOD)
@2026-04-28 20:22:00,2997.324707(GOOD),313.255646(GOOD),64.814056(GOOD)
@2026-04-28 20:23:00,2994.821289(GOOD),312.852234(GOOD),64.891960(GOOD)
@2026-04-28 20:24:00,2941.416748(GOOD),313.390045(GOOD),64.872467(GOOD)
@2026-04-28 20:25:00,2887.177979(GOOD),313.793335(GOOD),64.768669(GOOD)
@2026-04-28 20:26:00,2978.132080(GOOD),310.566711(GOOD),64.853088(GOOD)
@2026-04-28 20:27:00,2997.324707(GOOD),310.163300(GOOD),64.742683(GOOD)
@2026-04-28 20:28:00,3084.941162(GOOD),310.566711(GOOD),64.859474(GOOD)
@2026-04-28 20:29:00,3025.695801(GOOD),311.507813(GOOD),64.937370(GOOD)
@2026-04-28 20:30:00,3084.941162(GOOD),311.507813(GOOD),64.982628(GOOD)
@2026-04-28 20:31:00,2943.919922(GOOD),311.104401(GOOD),64.846420(GOOD)
@2026-04-28 20:32:00,3029.033203(GOOD),311.507813(GOOD),64.911346(GOOD)
@2026-04-28 20:33:00,2974.794434(GOOD),311.104401(GOOD),64.768539(GOOD)
