$TagName,V4::DPU1005.SH0190.AALM2.PV,V4::DPU1005.SH0190.AALM4.PV,V4::DPU1015.SH0013.AALM4.PV
$Time,Data(Quality),Data(Quality),Data(Quality)
@2026-05-05 00:00:00,3059.907715(GOOD),309.625580(GOOD),65.047516(GOOD)
@2026-05-05 00:01:00,3045.722412(GOOD),309.222198(GOOD),65.060524(GOOD)
@2026-05-05 00:02:00,3088.279053(GOOD),314.331116(GOOD),64.930733(GOOD)
@2026-05-05 00:03:00,3054.066650(GOOD),315.137787(GOOD),64.904846(GOOD)
@2026-05-05 00:04:00,3031.536621(GOOD),316.078857(GOOD),65.002258(GOOD)
@2026-05-05 00:05:00,3005.668945(GOOD),316.885620(GOOD),65.268265(GOOD)
@2026-05-05 00:06:00,3012.344727(GOOD),312.448883(GOOD),65.047539(GOOD)
@2026-05-05 00:07:00,3070.755615(GOOD),316.078888(GOOD),65.021629(GOOD)
@2026-05-05 00:08:00,3025.695801(GOOD),308.281067(GOOD),65.080017(GOOD)
@2026-05-05 00:09:00,3124.160156(GOOD),307.877838(GOOD),64.956726(GOOD)
@2026-05-05 00:10:00,3057.404785(GOOD),314.734436(GOOD),64.891808(GOOD)
@2026-05-05 00:11:00,2968.953369(GOOD),315.137970(GOOD),64.943710(GOOD)
@2026-05-05 00:12:00,3006.503418(GOOD),316.079071(GOOD),65.008614(GOOD)
@2026-05-05 00:13:00,3054.066650(GOOD),314.600342(GOOD),64.911308(GOOD)
@2026-05-05 00:14:00,3102.464600(GOOD),314.600342(GOOD),65.060509(GOOD)
@2026-05-05 00:15:00,3020.688965(GOOD),314.196686(GOOD),64.969650(GOOD)
@2026-05-05 00:16:00,3093.285645(GOOD),314.734375(GOOD),64.969528(GOOD)
@2026-05-05 00:17:00,3135.842529(GOOD),315.137787(GOOD),64.950027(GOOD)
@2026-05-05 00:18:00,3051.563721(GOOD),314.734375(GOOD),64.956528(GOOD)
@2026-05-05 00:19:00,3014.847900(GOOD),315.137787(GOOD),64.975914(GOOD)
