$TagName,V4::DPU1005.HW.AI010201.PV,V4::DPU1005.HW.AI020105.PV,V4::DPU1005.HW.AI060108.PV,V4::DPU1005.HW.AI020104.PV,V4::DPU1005.HW.AI020202.PV,V4::DPU1005.HW.RT060203.PV,V4::DPU1005.HW.AI050103.PV,V4::DPU1014.SH0321.AALM21.PV,V4::DPU1005.HW.AI010205.PV
$Time,Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality)
@2026-05-22 20:00:00,-0.025926(GOOD),3.657408(GOOD),28.437502(GOOD),1.159722(GOOD),119.680557(GOOD),37.226784(GOOD),13.997407(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:01:00,-0.024126(GOOD),3.644408(GOOD),28.460602(GOOD),1.166722(GOOD),119.995377(GOOD),37.226784(GOOD),13.997705(GOOD),0.000000(GOOD),-0.013933(GOOD)
@2026-05-22 20:02:00,-0.024126(GOOD),3.644408(GOOD),28.439802(GOOD),1.136622(GOOD),120.036964(GOOD),37.226784(GOOD),13.996403(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:03:00,-0.024126(GOOD),3.607408(GOOD),28.430603(GOOD),1.143522(GOOD),120.120361(GOOD),37.226784(GOOD),13.997698(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:04:00,-0.025926(GOOD),3.613007(GOOD),28.430601(GOOD),1.143521(GOOD),119.726875(GOOD),37.226784(GOOD),13.998696(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:05:00,-0.031526(GOOD),3.638907(GOOD),28.453703(GOOD),1.136622(GOOD),119.740685(GOOD),37.239685(GOOD),13.996397(GOOD),0.000000(GOOD),-0.013933(GOOD)
@2026-05-22 20:06:00,-0.024126(GOOD),3.655607(GOOD),28.430607(GOOD),1.143522(GOOD),119.851883(GOOD),37.239685(GOOD),13.996399(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:07:00,-0.024126(GOOD),3.563006(GOOD),28.435207(GOOD),1.159722(GOOD),120.023056(GOOD),37.239685(GOOD),13.997698(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:08:00,-0.024126(GOOD),3.657407(GOOD),28.451403(GOOD),1.159722(GOOD),120.115677(GOOD),37.239685(GOOD),13.998699(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:09:00,-0.031526(GOOD),3.657406(GOOD),28.467607(GOOD),1.143522(GOOD),119.661987(GOOD),37.239685(GOOD),13.996798(GOOD),0.000000(GOOD),-0.013933(GOOD)
@2026-05-22 20:10:00,-0.024126(GOOD),3.663007(GOOD),28.430609(GOOD),1.136621(GOOD),119.944366(GOOD),37.239685(GOOD),13.997700(GOOD),0.000000(GOOD),-0.013933(GOOD)
@2026-05-22 20:11:00,-0.024126(GOOD),3.518506(GOOD),28.451405(GOOD),1.136622(GOOD),119.944397(GOOD),37.239685(GOOD),13.996799(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:12:00,-0.024126(GOOD),3.631506(GOOD),28.451406(GOOD),1.129622(GOOD),119.819481(GOOD),37.239685(GOOD),13.996796(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:13:00,-0.024126(GOOD),3.657407(GOOD),28.460609(GOOD),1.120422(GOOD),119.865700(GOOD),37.239685(GOOD),13.996798(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:14:00,-0.024126(GOOD),3.607406(GOOD),28.458307(GOOD),1.169022(GOOD),120.023125(GOOD),37.239685(GOOD),13.998696(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:15:00,-0.024074(GOOD),3.612963(GOOD),28.467592(GOOD),1.152778(GOOD),120.194450(GOOD),37.239700(GOOD),13.997731(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:16:00,-0.025874(GOOD),3.592563(GOOD),28.437494(GOOD),1.166678(GOOD),119.930450(GOOD),37.239700(GOOD),13.995533(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:17:00,-0.024074(GOOD),3.675863(GOOD),28.451391(GOOD),1.192078(GOOD),119.944237(GOOD),37.239700(GOOD),13.996830(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:18:00,-0.025874(GOOD),3.581463(GOOD),28.430592(GOOD),1.182878(GOOD),119.458122(GOOD),37.265602(GOOD),13.997726(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:19:00,-0.024074(GOOD),3.581463(GOOD),28.437492(GOOD),1.182878(GOOD),120.240509(GOOD),37.239700(GOOD),13.997725(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-05-22 20:20:00,-0.024074(GOOD),3.594364(GOOD),28.423592(GOOD),1.222178(GOOD),119.786781(GOOD),37.265602(GOOD),13.998724(GOOD),0.000000(GOOD),-0.013933(GOOD)
