$TagName,V4::DPU1005.HW.AI010201.PV,V4::DPU1005.HW.AI020105.PV,V4::DPU1005.HW.AI060108.PV,V4::DPU1005.HW.AI020104.PV,V4::DPU1005.HW.AI020202.PV,V4::DPU1005.HW.RT060203.PV,V4::DPU1005.HW.AI050103.PV,V4::DPU1014.SH0321.AALM21.PV,V4::DPU1005.HW.AI010205.PV
$Time,Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality)
@2026-05-20 10:00:00,-0.018519(GOOD),4.438889(GOOD),28.523148(GOOD),1.018518(GOOD),120.509254(GOOD),36.089088(GOOD),13.999676(GOOD),0.000000(GOOD),71.150467(GOOD)
@2026-05-20 10:01:00,-0.018519(GOOD),4.459290(GOOD),28.546450(GOOD),0.972219(GOOD),120.680428(GOOD),36.089088(GOOD),13.997677(GOOD),0.000000(GOOD),71.055565(GOOD)
@2026-05-20 10:02:00,-0.024119(GOOD),4.414790(GOOD),28.523149(GOOD),1.027818(GOOD),120.398155(GOOD),36.089088(GOOD),13.998678(GOOD),0.000000(GOOD),70.993073(GOOD)
@2026-05-20 10:03:00,-0.024119(GOOD),4.414791(GOOD),28.523252(GOOD),0.995418(GOOD),120.384270(GOOD),36.089088(GOOD),13.996783(GOOD),0.000000(GOOD),71.009140(GOOD)
@2026-05-20 10:04:00,-0.018519(GOOD),4.377791(GOOD),28.509348(GOOD),0.979219(GOOD),120.444366(GOOD),36.089088(GOOD),13.995784(GOOD),0.000000(GOOD),70.976746(GOOD)
@2026-05-20 10:05:00,-0.024119(GOOD),4.396292(GOOD),28.516350(GOOD),1.009319(GOOD),120.319489(GOOD),36.101990(GOOD),13.996383(GOOD),0.000000(GOOD),71.469742(GOOD)
@2026-05-20 10:06:00,-0.024119(GOOD),4.333292(GOOD),28.516247(GOOD),0.956019(GOOD),120.370392(GOOD),36.101990(GOOD),13.997680(GOOD),0.000000(GOOD),71.377144(GOOD)
@2026-05-20 10:07:00,-0.024119(GOOD),4.409292(GOOD),28.516247(GOOD),0.972219(GOOD),120.338013(GOOD),36.101990(GOOD),13.998679(GOOD),0.000000(GOOD),71.305443(GOOD)
@2026-05-20 10:08:00,-0.024119(GOOD),4.409292(GOOD),28.509350(GOOD),1.025519(GOOD),120.634331(GOOD),36.101990(GOOD),13.999680(GOOD),0.000000(GOOD),71.291527(GOOD)
@2026-05-20 10:09:00,-0.024119(GOOD),4.301892(GOOD),28.502346(GOOD),0.972219(GOOD),120.588150(GOOD),36.101990(GOOD),13.997677(GOOD),0.000000(GOOD),71.110909(GOOD)
@2026-05-20 10:10:00,-0.024119(GOOD),4.314792(GOOD),28.506945(GOOD),1.027819(GOOD),120.305656(GOOD),36.127892(GOOD),13.996776(GOOD),0.000000(GOOD),71.164223(GOOD)
@2026-05-20 10:11:00,-0.024119(GOOD),4.407392(GOOD),28.502350(GOOD),1.018519(GOOD),120.083450(GOOD),36.127892(GOOD),13.996777(GOOD),0.000000(GOOD),71.330811(GOOD)
@2026-05-20 10:12:00,-0.024119(GOOD),4.320392(GOOD),28.500044(GOOD),0.949119(GOOD),120.319542(GOOD),36.127892(GOOD),13.997673(GOOD),0.000000(GOOD),71.344719(GOOD)
@2026-05-20 10:13:00,-0.025919(GOOD),4.359292(GOOD),28.502342(GOOD),1.009318(GOOD),120.444550(GOOD),36.127892(GOOD),13.996775(GOOD),0.000000(GOOD),71.203529(GOOD)
@2026-05-20 10:14:00,-0.018519(GOOD),4.364792(GOOD),28.486250(GOOD),0.995418(GOOD),120.523254(GOOD),36.127892(GOOD),13.997676(GOOD),0.000000(GOOD),71.173416(GOOD)
@2026-05-20 10:15:00,-0.024074(GOOD),4.333333(GOOD),28.509258(GOOD),0.923611(GOOD),120.412041(GOOD),36.166641(GOOD),13.999676(GOOD),0.000000(GOOD),70.914352(GOOD)
@2026-05-20 10:16:00,-0.024074(GOOD),4.333335(GOOD),28.502262(GOOD),0.995411(GOOD),120.148140(GOOD),36.166641(GOOD),13.999676(GOOD),0.000000(GOOD),70.907379(GOOD)
@2026-05-20 10:17:00,-0.024074(GOOD),4.333337(GOOD),28.506861(GOOD),0.956011(GOOD),120.680641(GOOD),36.166641(GOOD),13.999679(GOOD),0.000000(GOOD),70.743080(GOOD)
@2026-05-20 10:18:00,-0.024074(GOOD),4.364836(GOOD),28.506863(GOOD),1.027811(GOOD),120.365730(GOOD),36.166641(GOOD),13.999676(GOOD),0.000000(GOOD),70.523079(GOOD)
@2026-05-20 10:19:00,-0.031474(GOOD),4.314836(GOOD),28.497671(GOOD),0.995411(GOOD),120.555649(GOOD),36.166641(GOOD),13.999677(GOOD),0.000000(GOOD),70.161980(GOOD)
@2026-05-20 10:20:00,-0.031474(GOOD),4.396335(GOOD),28.490675(GOOD),0.958311(GOOD),120.273125(GOOD),36.166641(GOOD),13.998676(GOOD),0.000000(GOOD),70.374962(GOOD)
@2026-05-20 10:21:00,-0.025874(GOOD),4.301936(GOOD),28.490683(GOOD),1.034711(GOOD),120.041718(GOOD),36.166641(GOOD),13.999679(GOOD),0.000000(GOOD),70.224480(GOOD)
@2026-05-20 10:22:00,-0.024074(GOOD),4.320436(GOOD),28.490679(GOOD),1.025511(GOOD),120.444389(GOOD),36.166641(GOOD),13.996777(GOOD),0.000000(GOOD),70.178162(GOOD)
@2026-05-20 10:23:00,-0.025874(GOOD),4.409336(GOOD),28.490683(GOOD),0.995411(GOOD),120.449104(GOOD),36.179642(GOOD),14.000581(GOOD),0.000000(GOOD),65.455849(GOOD)
@2026-05-20 10:24:00,-0.025874(GOOD),4.301936(GOOD),28.490685(GOOD),0.995411(GOOD),120.384308(GOOD),36.166641(GOOD),13.996780(GOOD),0.000000(GOOD),71.659653(GOOD)
@2026-05-20 10:25:00,-0.031474(GOOD),4.333335(GOOD),28.462980(GOOD),1.002311(GOOD),120.115738(GOOD),36.179642(GOOD),13.997680(GOOD),0.000000(GOOD),71.719749(GOOD)
@2026-05-20 10:26:00,-0.024074(GOOD),4.225936(GOOD),28.469883(GOOD),1.090311(GOOD),120.101944(GOOD),36.179642(GOOD),13.999678(GOOD),0.000000(GOOD),71.682854(GOOD)
@2026-05-20 10:27:00,-0.024074(GOOD),4.264835(GOOD),28.493078(GOOD),1.097211(GOOD),120.384453(GOOD),36.179642(GOOD),13.998677(GOOD),0.000000(GOOD),71.666664(GOOD)
@2026-05-20 10:28:00,-0.025874(GOOD),4.238935(GOOD),28.476879(GOOD),1.090311(GOOD),120.384315(GOOD),36.179642(GOOD),13.997675(GOOD),0.000000(GOOD),71.587967(GOOD)
@2026-05-20 10:29:00,-0.031474(GOOD),4.314835(GOOD),28.481482(GOOD),1.090311(GOOD),120.194511(GOOD),36.179642(GOOD),13.997675(GOOD),0.000000(GOOD),71.495247(GOOD)
