$TagName,V4::DPU1005.HW.AI010201.PV,V4::DPU1005.HW.AI020105.PV,V4::DPU1005.HW.AI060108.PV,V4::DPU1005.HW.AI020104.PV,V4::DPU1005.HW.AI020202.PV,V4::DPU1005.HW.RT060203.PV,V4::DPU1005.HW.AI050103.PV,V4::DPU1014.SH0321.AALM21.PV,V4::DPU1005.HW.AI010205.PV
$Time,Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality)
@2026-05-17 00:00:00,-0.024074(GOOD),3.887037(GOOD),28.027779(GOOD),1.152778(GOOD),120.902779(GOOD),35.326477(GOOD),13.997731(GOOD),0.000000(GOOD),72.872688(GOOD)
@2026-05-17 00:01:00,-0.024074(GOOD),3.775936(GOOD),28.027786(GOOD),1.143478(GOOD),121.388870(GOOD),35.326477(GOOD),14.001931(GOOD),0.000000(GOOD),72.763893(GOOD)
@2026-05-17 00:02:00,-0.031474(GOOD),3.818537(GOOD),27.999987(GOOD),1.145778(GOOD),121.259140(GOOD),35.326477(GOOD),13.999036(GOOD),0.000000(GOOD),72.661987(GOOD)
@2026-05-17 00:03:00,-0.031474(GOOD),3.775937(GOOD),28.011589(GOOD),1.168978(GOOD),120.791656(GOOD),35.287678(GOOD),13.999740(GOOD),0.000000(GOOD),70.328667(GOOD)
@2026-05-17 00:04:00,-0.031474(GOOD),3.857437(GOOD),28.020790(GOOD),1.143478(GOOD),120.902641(GOOD),35.287678(GOOD),13.997744(GOOD),0.000000(GOOD),73.020775(GOOD)
@2026-05-17 00:05:00,-0.031474(GOOD),3.837037(GOOD),28.027790(GOOD),1.136577(GOOD),121.231453(GOOD),35.287678(GOOD),14.001043(GOOD),0.000000(GOOD),72.754585(GOOD)
@2026-05-17 00:06:00,-0.025874(GOOD),3.794437(GOOD),28.004585(GOOD),1.168977(GOOD),121.087837(GOOD),35.274776(GOOD),13.998745(GOOD),0.000000(GOOD),72.928169(GOOD)
@2026-05-17 00:07:00,-0.025874(GOOD),3.813037(GOOD),28.027788(GOOD),1.168978(GOOD),121.199051(GOOD),35.274776(GOOD),14.001047(GOOD),0.000000(GOOD),72.763901(GOOD)
@2026-05-17 00:08:00,-0.031474(GOOD),3.825937(GOOD),28.006886(GOOD),1.129578(GOOD),121.277649(GOOD),35.274776(GOOD),14.000751(GOOD),0.000000(GOOD),72.794006(GOOD)
@2026-05-17 00:09:00,-0.031474(GOOD),3.794437(GOOD),28.027788(GOOD),1.136578(GOOD),121.087959(GOOD),35.274776(GOOD),14.001152(GOOD),0.000000(GOOD),72.911995(GOOD)
@2026-05-17 00:10:00,-0.031474(GOOD),3.850037(GOOD),28.006884(GOOD),1.168978(GOOD),120.819473(GOOD),35.248875(GOOD),13.998852(GOOD),0.000000(GOOD),72.803207(GOOD)
@2026-05-17 00:11:00,-0.031474(GOOD),3.857437(GOOD),28.027786(GOOD),1.166678(GOOD),121.217583(GOOD),35.248875(GOOD),13.999851(GOOD),0.000000(GOOD),72.740685(GOOD)
@2026-05-17 00:12:00,-0.031474(GOOD),3.838937(GOOD),28.006887(GOOD),1.152778(GOOD),121.217567(GOOD),35.248875(GOOD),13.999750(GOOD),0.000000(GOOD),72.770775(GOOD)
@2026-05-17 00:13:00,-0.031474(GOOD),3.857436(GOOD),28.027794(GOOD),1.136578(GOOD),120.666664(GOOD),35.248875(GOOD),13.998750(GOOD),0.000000(GOOD),72.833252(GOOD)
@2026-05-17 00:14:00,-0.025874(GOOD),3.788936(GOOD),28.020794(GOOD),1.152778(GOOD),121.087845(GOOD),35.223076(GOOD),14.000650(GOOD),0.000000(GOOD),72.740669(GOOD)
@2026-05-17 00:15:00,-0.031481(GOOD),3.794445(GOOD),28.027779(GOOD),1.143519(GOOD),121.152786(GOOD),35.223091(GOOD),13.999676(GOOD),0.000000(GOOD),72.685188(GOOD)
@2026-05-17 00:16:00,-0.031481(GOOD),3.807445(GOOD),28.013876(GOOD),1.182919(GOOD),121.199066(GOOD),35.223091(GOOD),13.997671(GOOD),0.000000(GOOD),72.888878(GOOD)
@2026-05-17 00:17:00,-0.031481(GOOD),3.900044(GOOD),28.011570(GOOD),1.129619(GOOD),121.199059(GOOD),35.223091(GOOD),13.998974(GOOD),0.000000(GOOD),72.865677(GOOD)
@2026-05-17 00:18:00,-0.025881(GOOD),3.825944(GOOD),28.013868(GOOD),1.104219(GOOD),121.587967(GOOD),35.223091(GOOD),13.998978(GOOD),0.000000(GOOD),72.629562(GOOD)
@2026-05-17 00:19:00,-0.031481(GOOD),3.881544(GOOD),28.020771(GOOD),1.097219(GOOD),120.823944(GOOD),35.197189(GOOD),14.000979(GOOD),0.000000(GOOD),72.583260(GOOD)
@2026-05-17 00:20:00,-0.031481(GOOD),3.807445(GOOD),27.999968(GOOD),1.081019(GOOD),121.259117(GOOD),35.197189(GOOD),13.999982(GOOD),0.000000(GOOD),72.717552(GOOD)
@2026-05-17 00:21:00,-0.031481(GOOD),3.857446(GOOD),28.020769(GOOD),1.088019(GOOD),121.620232(GOOD),35.197189(GOOD),14.000984(GOOD),0.000000(GOOD),72.550858(GOOD)
@2026-05-17 00:22:00,-0.025881(GOOD),3.807446(GOOD),27.993069(GOOD),1.113420(GOOD),121.073929(GOOD),35.197189(GOOD),13.998982(GOOD),0.000000(GOOD),72.645638(GOOD)
@2026-05-17 00:23:00,-0.031481(GOOD),3.850046(GOOD),28.013868(GOOD),1.067120(GOOD),121.259109(GOOD),35.171391(GOOD),14.000582(GOOD),0.000000(GOOD),72.458115(GOOD)
@2026-05-17 00:24:00,-0.031481(GOOD),3.950046(GOOD),27.999971(GOOD),1.067120(GOOD),121.217407(GOOD),35.171391(GOOD),13.998982(GOOD),0.000000(GOOD),72.497520(GOOD)
@2026-05-17 00:25:00,-0.024081(GOOD),3.820446(GOOD),27.990665(GOOD),1.097220(GOOD),121.166496(GOOD),35.171391(GOOD),13.999983(GOOD),0.000000(GOOD),72.395607(GOOD)
@2026-05-17 00:26:00,-0.031481(GOOD),3.794446(GOOD),27.993059(GOOD),1.097220(GOOD),121.277580(GOOD),35.171391(GOOD),13.999681(GOOD),0.000000(GOOD),72.363197(GOOD)
@2026-05-17 00:27:00,-0.025881(GOOD),3.857447(GOOD),27.999962(GOOD),1.081020(GOOD),121.027557(GOOD),35.158489(GOOD),13.999682(GOOD),0.000000(GOOD),72.395584(GOOD)
@2026-05-17 00:28:00,-0.025881(GOOD),3.825947(GOOD),27.993067(GOOD),1.088019(GOOD),120.995049(GOOD),35.158489(GOOD),13.999982(GOOD),0.000000(GOOD),72.363167(GOOD)
@2026-05-17 00:29:00,-0.031481(GOOD),3.820446(GOOD),27.999966(GOOD),1.074119(GOOD),121.027428(GOOD),35.158489(GOOD),13.998681(GOOD),0.000000(GOOD),72.356277(GOOD)
@2026-05-17 00:30:00,-0.025926(GOOD),3.775926(GOOD),28.013887(GOOD),1.074074(GOOD),121.106483(GOOD),35.158470(GOOD),14.000648(GOOD),0.000000(GOOD),72.245369(GOOD)
@2026-05-17 00:31:00,-0.031526(GOOD),3.870426(GOOD),27.999981(GOOD),1.087974(GOOD),120.726761(GOOD),35.158470(GOOD),13.997750(GOOD),0.000000(GOOD),72.018478(GOOD)
@2026-05-17 00:32:00,-0.031526(GOOD),3.900026(GOOD),28.013880(GOOD),1.113374(GOOD),121.069351(GOOD),35.119671(GOOD),13.998747(GOOD),0.000000(GOOD),72.247696(GOOD)
@2026-05-17 00:33:00,-0.024126(GOOD),3.838925(GOOD),27.999979(GOOD),1.050874(GOOD),121.370369(GOOD),35.119671(GOOD),13.997746(GOOD),0.000000(GOOD),71.830994(GOOD)
@2026-05-17 00:34:00,-0.031526(GOOD),3.838925(GOOD),28.020782(GOOD),1.034674(GOOD),120.976868(GOOD),35.119671(GOOD),14.001049(GOOD),0.000000(GOOD),65.500015(GOOD)
@2026-05-17 00:35:00,-0.031526(GOOD),3.838925(GOOD),28.006886(GOOD),1.041674(GOOD),121.087959(GOOD),35.119671(GOOD),13.997747(GOOD),0.000000(GOOD),72.756935(GOOD)
@2026-05-17 00:36:00,-0.031526(GOOD),3.807425(GOOD),28.013887(GOOD),1.127275(GOOD),120.870361(GOOD),35.093872(GOOD),13.999745(GOOD),0.000000(GOOD),72.685226(GOOD)
@2026-05-17 00:37:00,-0.025926(GOOD),3.850025(GOOD),27.999990(GOOD),1.136575(GOOD),121.185188(GOOD),35.093872(GOOD),14.000649(GOOD),0.000000(GOOD),72.662041(GOOD)
@2026-05-17 00:38:00,-0.031526(GOOD),3.838925(GOOD),28.011591(GOOD),1.136574(GOOD),120.824097(GOOD),35.093872(GOOD),14.001151(GOOD),0.000000(GOOD),72.747742(GOOD)
@2026-05-17 00:39:00,-0.025926(GOOD),3.900025(GOOD),28.006891(GOOD),1.152775(GOOD),120.949089(GOOD),35.093872(GOOD),13.999748(GOOD),0.000000(GOOD),72.780113(GOOD)
@2026-05-17 00:40:00,-0.031526(GOOD),3.807425(GOOD),28.011587(GOOD),1.120375(GOOD),121.134270(GOOD),35.093872(GOOD),13.998748(GOOD),0.000000(GOOD),72.638939(GOOD)
@2026-05-17 00:41:00,-0.025926(GOOD),3.857424(GOOD),28.027790(GOOD),1.175875(GOOD),120.791664(GOOD),35.080872(GOOD),14.001048(GOOD),0.000000(GOOD),72.567123(GOOD)
@2026-05-17 00:42:00,-0.025926(GOOD),3.838924(GOOD),28.011593(GOOD),1.159675(GOOD),121.342422(GOOD),35.080872(GOOD),13.997750(GOOD),0.000000(GOOD),72.613419(GOOD)
@2026-05-17 00:43:00,-0.031526(GOOD),3.838923(GOOD),28.011589(GOOD),1.199075(GOOD),120.884117(GOOD),35.080872(GOOD),13.998749(GOOD),0.000000(GOOD),72.622719(GOOD)
@2026-05-17 00:44:00,-0.025926(GOOD),3.931524(GOOD),27.997696(GOOD),1.166676(GOOD),121.370209(GOOD),35.080872(GOOD),13.997749(GOOD),0.000000(GOOD),72.511635(GOOD)
@2026-05-17 00:45:00,-0.031481(GOOD),3.850000(GOOD),27.983797(GOOD),1.168981(GOOD),121.277771(GOOD),35.080925(GOOD),14.000000(GOOD),0.000000(GOOD),72.675926(GOOD)
@2026-05-17 00:46:00,-0.031481(GOOD),3.857400(GOOD),28.013899(GOOD),1.168982(GOOD),121.231468(GOOD),35.042225(GOOD),13.999001(GOOD),0.000000(GOOD),72.511627(GOOD)
@2026-05-17 00:47:00,-0.031481(GOOD),3.818500(GOOD),27.999998(GOOD),1.182882(GOOD),121.185165(GOOD),35.042225(GOOD),13.998701(GOOD),0.000000(GOOD),72.567123(GOOD)
@2026-05-17 00:48:00,-0.031481(GOOD),3.775900(GOOD),28.027802(GOOD),1.175882(GOOD),120.837975(GOOD),35.042225(GOOD),13.998703(GOOD),0.000000(GOOD),72.669014(GOOD)
@2026-05-17 00:49:00,-0.031481(GOOD),3.794400(GOOD),27.993099(GOOD),1.189782(GOOD),120.916672(GOOD),35.042225(GOOD),13.998700(GOOD),0.000000(GOOD),72.669029(GOOD)
@2026-05-17 00:50:00,-0.024081(GOOD),3.838900(GOOD),27.990705(GOOD),1.159682(GOOD),121.199089(GOOD),35.042225(GOOD),14.000597(GOOD),0.000000(GOOD),72.576439(GOOD)
@2026-05-17 00:51:00,-0.031481(GOOD),3.887000(GOOD),28.006908(GOOD),1.152782(GOOD),120.837982(GOOD),35.029224(GOOD),14.000597(GOOD),0.000000(GOOD),72.590324(GOOD)
@2026-05-17 00:52:00,-0.031481(GOOD),3.820399(GOOD),28.013914(GOOD),1.182882(GOOD),121.055580(GOOD),35.029224(GOOD),13.998998(GOOD),0.000000(GOOD),72.331009(GOOD)
@2026-05-17 00:53:00,-0.031481(GOOD),3.849999(GOOD),28.013918(GOOD),1.159682(GOOD),121.166672(GOOD),35.029224(GOOD),13.999696(GOOD),0.000000(GOOD),72.495422(GOOD)
@2026-05-17 00:54:00,-0.031481(GOOD),3.794399(GOOD),27.993114(GOOD),1.104182(GOOD),120.731468(GOOD),35.029224(GOOD),13.999697(GOOD),0.000000(GOOD),72.458313(GOOD)
@2026-05-17 00:55:00,-0.031481(GOOD),3.807399(GOOD),28.013910(GOOD),1.143482(GOOD),121.337990(GOOD),35.029224(GOOD),14.000598(GOOD),0.000000(GOOD),72.511635(GOOD)
@2026-05-17 00:56:00,-0.024081(GOOD),3.838899(GOOD),28.000010(GOOD),1.143482(GOOD),120.949066(GOOD),35.003426(GOOD),13.997700(GOOD),0.000000(GOOD),72.340332(GOOD)
@2026-05-17 00:57:00,-0.031481(GOOD),3.788899(GOOD),28.013914(GOOD),1.136582(GOOD),121.171127(GOOD),35.003426(GOOD),13.998703(GOOD),0.000000(GOOD),72.458458(GOOD)
@2026-05-17 00:58:00,-0.031481(GOOD),3.757399(GOOD),28.013914(GOOD),1.120382(GOOD),120.995239(GOOD),35.003426(GOOD),13.999002(GOOD),0.000000(GOOD),72.192261(GOOD)
@2026-05-17 00:59:00,-0.031481(GOOD),3.825900(GOOD),28.011614(GOOD),1.127283(GOOD),120.884254(GOOD),35.003426(GOOD),14.000598(GOOD),0.000000(GOOD),72.324265(GOOD)
@2026-05-17 01:00:00,-0.031481(GOOD),3.838889(GOOD),28.013887(GOOD),1.129630(GOOD),120.995369(GOOD),35.003399(GOOD),13.997731(GOOD),0.000000(GOOD),72.245369(GOOD)
@2026-05-17 01:01:00,-0.031481(GOOD),3.825889(GOOD),28.011583(GOOD),1.113430(GOOD),121.120377(GOOD),34.964600(GOOD),14.000032(GOOD),0.000000(GOOD),72.057869(GOOD)
@2026-05-17 01:02:00,-0.031481(GOOD),3.825889(GOOD),28.020784(GOOD),1.097230(GOOD),121.087982(GOOD),34.964600(GOOD),13.999735(GOOD),0.000000(GOOD),72.074074(GOOD)
@2026-05-17 01:03:00,-0.031481(GOOD),3.844389(GOOD),28.011595(GOOD),1.122730(GOOD),120.976875(GOOD),34.964600(GOOD),13.998736(GOOD),0.000000(GOOD),71.909668(GOOD)
@2026-05-17 01:04:00,-0.031481(GOOD),3.825889(GOOD),28.013897(GOOD),1.113430(GOOD),121.087959(GOOD),34.964600(GOOD),14.000637(GOOD),0.000000(GOOD),68.914360(GOOD)
@2026-05-17 01:05:00,-0.031481(GOOD),3.807389(GOOD),27.999996(GOOD),1.120430(GOOD),121.231339(GOOD),34.964600(GOOD),13.999736(GOOD),0.000000(GOOD),72.661957(GOOD)
@2026-05-17 01:06:00,-0.031481(GOOD),3.851889(GOOD),28.027798(GOOD),1.129630(GOOD),120.791542(GOOD),34.951698(GOOD),13.999734(GOOD),0.000000(GOOD),72.668846(GOOD)
@2026-05-17 01:07:00,-0.031481(GOOD),3.794389(GOOD),27.993101(GOOD),1.090330(GOOD),120.902641(GOOD),34.951698(GOOD),13.998735(GOOD),0.000000(GOOD),72.817055(GOOD)
@2026-05-17 01:08:00,-0.025881(GOOD),3.870389(GOOD),28.020800(GOOD),1.120429(GOOD),121.231339(GOOD),34.951698(GOOD),14.000635(GOOD),0.000000(GOOD),72.645645(GOOD)
@2026-05-17 01:09:00,-0.025881(GOOD),3.881488(GOOD),28.006897(GOOD),1.090329(GOOD),120.995224(GOOD),34.951698(GOOD),13.999731(GOOD),0.000000(GOOD),72.733643(GOOD)
@2026-05-17 01:10:00,-0.031481(GOOD),3.838887(GOOD),28.027796(GOOD),1.120429(GOOD),121.092407(GOOD),34.951698(GOOD),13.998730(GOOD),0.000000(GOOD),72.724457(GOOD)
@2026-05-17 01:11:00,-0.031481(GOOD),3.825887(GOOD),28.006884(GOOD),1.074129(GOOD),120.930321(GOOD),34.925900(GOOD),13.998730(GOOD),0.000000(GOOD),72.717560(GOOD)
@2026-05-17 01:12:00,-0.031481(GOOD),3.899987(GOOD),28.027784(GOOD),1.057930(GOOD),120.851723(GOOD),34.925900(GOOD),14.000634(GOOD),0.000000(GOOD),72.826363(GOOD)
@2026-05-17 01:13:00,-0.031481(GOOD),3.851887(GOOD),27.990685(GOOD),1.120430(GOOD),120.837807(GOOD),34.925900(GOOD),13.997732(GOOD),0.000000(GOOD),72.849457(GOOD)
@2026-05-17 01:14:00,-0.031481(GOOD),3.825887(GOOD),28.006886(GOOD),1.081030(GOOD),121.073883(GOOD),34.925900(GOOD),13.997731(GOOD),0.000000(GOOD),72.740662(GOOD)
@2026-05-17 01:15:00,-0.031481(GOOD),3.900000(GOOD),28.020832(GOOD),1.090278(GOOD),120.949081(GOOD),34.925858(GOOD),13.998704(GOOD),0.000000(GOOD),72.717598(GOOD)
@2026-05-17 01:16:00,-0.031481(GOOD),3.825900(GOOD),28.011631(GOOD),1.074078(GOOD),120.712990(GOOD),34.912857(GOOD),13.997706(GOOD),0.000000(GOOD),72.685204(GOOD)
@2026-05-17 01:17:00,-0.031481(GOOD),3.831500(GOOD),28.020834(GOOD),1.090278(GOOD),121.462967(GOOD),34.912857(GOOD),14.000607(GOOD),0.000000(GOOD),72.740707(GOOD)
@2026-05-17 01:18:00,-0.031481(GOOD),3.907400(GOOD),28.006931(GOOD),1.113378(GOOD),121.023064(GOOD),34.912857(GOOD),13.999004(GOOD),0.000000(GOOD),72.701408(GOOD)
@2026-05-17 01:19:00,-0.031481(GOOD),3.788900(GOOD),28.027832(GOOD),1.057878(GOOD),120.851883(GOOD),34.912857(GOOD),13.998706(GOOD),0.000000(GOOD),72.833305(GOOD)
@2026-05-17 01:20:00,-0.031481(GOOD),3.807401(GOOD),28.000036(GOOD),1.074078(GOOD),121.277786(GOOD),34.912857(GOOD),14.000604(GOOD),0.000000(GOOD),72.740707(GOOD)
@2026-05-17 01:21:00,-0.036981(GOOD),3.838901(GOOD),28.013931(GOOD),1.074078(GOOD),120.606483(GOOD),34.912857(GOOD),14.000604(GOOD),0.000000(GOOD),72.756897(GOOD)
@2026-05-17 01:22:00,-0.031481(GOOD),3.807400(GOOD),28.006929(GOOD),1.104178(GOOD),120.699089(GOOD),34.874157(GOOD),14.000602(GOOD),0.000000(GOOD),72.622688(GOOD)
@2026-05-17 01:23:00,-0.031481(GOOD),3.901900(GOOD),28.020830(GOOD),1.106478(GOOD),121.138893(GOOD),34.874157(GOOD),13.997703(GOOD),0.000000(GOOD),72.708290(GOOD)
@2026-05-17 01:24:00,-0.025881(GOOD),3.857400(GOOD),28.006931(GOOD),1.127278(GOOD),120.870415(GOOD),34.874157(GOOD),14.000601(GOOD),0.000000(GOOD),72.724495(GOOD)
@2026-05-17 01:25:00,-0.031481(GOOD),3.794400(GOOD),28.030130(GOOD),1.067079(GOOD),121.120415(GOOD),34.874157(GOOD),14.000602(GOOD),0.000000(GOOD),72.708298(GOOD)
@2026-05-17 01:26:00,-0.031481(GOOD),3.807400(GOOD),28.000031(GOOD),1.074079(GOOD),121.166695(GOOD),34.874157(GOOD),13.997699(GOOD),0.000000(GOOD),72.622704(GOOD)
@2026-05-17 01:27:00,-0.024081(GOOD),3.825900(GOOD),28.013931(GOOD),1.104179(GOOD),120.962982(GOOD),34.848255(GOOD),14.000997(GOOD),0.000000(GOOD),72.661987(GOOD)
@2026-05-17 01:28:00,-0.031481(GOOD),3.825900(GOOD),28.013933(GOOD),1.120379(GOOD),120.773094(GOOD),34.848255(GOOD),13.999698(GOOD),0.000000(GOOD),72.701385(GOOD)
