$TagName,V4::DPU1005.HW.AI010201.PV,V4::DPU1005.HW.AI020105.PV,V4::DPU1005.HW.AI060108.PV,V4::DPU1005.HW.AI020104.PV,V4::DPU1005.HW.AI020202.PV,V4::DPU1005.HW.RT060203.PV,V4::DPU1005.HW.AI050103.PV,V4::DPU1014.SH0321.AALM21.PV,V4::DPU1005.HW.AI010205.PV
$Time,Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality)
@2026-04-21 20:00:00,-0.024074(GOOD),5.166667(GOOD),29.344908(GOOD),1.057870(GOOD),112.986115(GOOD),38.571732(GOOD),13.998704(GOOD),221.867355(GOOD),64.437500(GOOD)
@2026-04-21 20:01:00,-0.025874(GOOD),5.216666(GOOD),29.317104(GOOD),1.027771(GOOD),112.847191(GOOD),38.597633(GOOD),13.998703(GOOD),221.626785(GOOD),64.312508(GOOD)
@2026-04-21 20:02:00,-0.025874(GOOD),5.192565(GOOD),29.331003(GOOD),1.050871(GOOD),112.657394(GOOD),38.597633(GOOD),14.001001(GOOD),221.656876(GOOD),64.037003(GOOD)
@2026-04-21 20:03:00,-0.025874(GOOD),5.203664(GOOD),29.331003(GOOD),1.057871(GOOD),113.268486(GOOD),38.597633(GOOD),13.997701(GOOD),222.077835(GOOD),63.794010(GOOD)
@2026-04-21 20:04:00,-0.024074(GOOD),5.229564(GOOD),29.351906(GOOD),1.025471(GOOD),112.907387(GOOD),38.597633(GOOD),13.999001(GOOD),222.047867(GOOD),63.261608(GOOD)
@2026-04-21 20:05:00,-0.025874(GOOD),5.161064(GOOD),29.340313(GOOD),1.097170(GOOD),112.925896(GOOD),38.597633(GOOD),13.999993(GOOD),221.957764(GOOD),62.939816(GOOD)
@2026-04-21 20:06:00,-0.024074(GOOD),5.268463(GOOD),29.335617(GOOD),1.074070(GOOD),113.143501(GOOD),38.597633(GOOD),14.001597(GOOD),221.657043(GOOD),62.597218(GOOD)
@2026-04-21 20:07:00,-0.031474(GOOD),5.211063(GOOD),29.344921(GOOD),1.074071(GOOD),112.675926(GOOD),38.597633(GOOD),13.998699(GOOD),221.356216(GOOD),62.055611(GOOD)
@2026-04-21 20:08:00,-0.031474(GOOD),5.222162(GOOD),29.338022(GOOD),1.080971(GOOD),112.592621(GOOD),38.610535(GOOD),13.998697(GOOD),221.566650(GOOD),61.500008(GOOD)
@2026-04-21 20:09:00,-0.025874(GOOD),5.222162(GOOD),29.324120(GOOD),1.034671(GOOD),112.893509(GOOD),38.610535(GOOD),13.998694(GOOD),221.235992(GOOD),61.069397(GOOD)
@2026-04-21 20:10:00,-0.024074(GOOD),5.242562(GOOD),29.338020(GOOD),1.034671(GOOD),112.550888(GOOD),38.610535(GOOD),13.998995(GOOD),220.995407(GOOD),60.442097(GOOD)
@2026-04-21 20:11:00,-0.025874(GOOD),5.166662(GOOD),29.340317(GOOD),1.050871(GOOD),112.814796(GOOD),38.610535(GOOD),13.997693(GOOD),222.077835(GOOD),59.877304(GOOD)
@2026-04-21 20:12:00,-0.031474(GOOD),5.190662(GOOD),29.351913(GOOD),1.074071(GOOD),112.685211(GOOD),38.610535(GOOD),13.998990(GOOD),220.754944(GOOD),59.361092(GOOD)
@2026-04-21 20:13:00,-0.024074(GOOD),5.172164(GOOD),29.351915(GOOD),1.080971(GOOD),112.796288(GOOD),38.610535(GOOD),13.998691(GOOD),221.777267(GOOD),58.828682(GOOD)
@2026-04-21 20:14:00,-0.024074(GOOD),5.174065(GOOD),29.331015(GOOD),1.002272(GOOD),112.564766(GOOD),38.610535(GOOD),13.998986(GOOD),221.085754(GOOD),58.201374(GOOD)
@2026-04-21 20:15:00,-0.024074(GOOD),5.285185(GOOD),29.328705(GOOD),1.027778(GOOD),112.629631(GOOD),38.610546(GOOD),13.998704(GOOD),219.882996(GOOD),57.590275(GOOD)
@2026-04-21 20:16:00,-0.031474(GOOD),5.216685(GOOD),29.331007(GOOD),1.034678(GOOD),113.032433(GOOD),38.649445(GOOD),13.997705(GOOD),221.596771(GOOD),56.995373(GOOD)
