$TagName,V4::DPU1005.HW.AI010201.PV,V4::DPU1005.HW.AI020105.PV,V4::DPU1005.HW.AI060108.PV,V4::DPU1005.HW.AI020104.PV,V4::DPU1005.HW.AI020202.PV,V4::DPU1005.HW.RT060203.PV,V4::DPU1005.HW.AI050103.PV,V4::DPU1014.SH0321.AALM21.PV,V4::DPU1005.HW.AI010205.PV
$Time,Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality)
@2026-03-29 10:00:00,-0.037037(GOOD),0.009259(GOOD),35.224537(GOOD),0.775463(GOOD),109.726845(GOOD),31.141277(GOOD),13.999028(GOOD),197.213226(GOOD),64.131943(GOOD)
@2026-03-29 10:01:00,-0.037037(GOOD),0.020359(GOOD),35.238438(GOOD),0.775463(GOOD),109.620415(GOOD),31.141277(GOOD),13.997732(GOOD),195.920410(GOOD),63.222237(GOOD)
@2026-03-29 10:02:00,-0.037037(GOOD),-0.001741(GOOD),35.245438(GOOD),0.729163(GOOD),109.713013(GOOD),31.141277(GOOD),14.000634(GOOD),196.040558(GOOD),62.722233(GOOD)
@2026-03-29 10:03:00,-0.037037(GOOD),0.033259(GOOD),35.245438(GOOD),0.752263(GOOD),109.745430(GOOD),31.141277(GOOD),14.000040(GOOD),196.010620(GOOD),62.509331(GOOD)
@2026-03-29 10:04:00,-0.037037(GOOD),0.020359(GOOD),35.217636(GOOD),0.798563(GOOD),109.726822(GOOD),31.141277(GOOD),13.998740(GOOD),196.281342(GOOD),62.062515(GOOD)
@2026-03-29 10:05:00,-0.037037(GOOD),0.020359(GOOD),35.224533(GOOD),0.752263(GOOD),109.930511(GOOD),31.141277(GOOD),13.998746(GOOD),196.792465(GOOD),61.493118(GOOD)
@2026-03-29 10:06:00,-0.037037(GOOD),0.001859(GOOD),35.238434(GOOD),0.745363(GOOD),109.680603(GOOD),31.141277(GOOD),14.001047(GOOD),196.702271(GOOD),62.893513(GOOD)
@2026-03-29 10:07:00,-0.037037(GOOD),0.001859(GOOD),35.254631(GOOD),0.782363(GOOD),109.458305(GOOD),31.141277(GOOD),13.999747(GOOD),196.912781(GOOD),63.583302(GOOD)
@2026-03-29 10:08:00,-0.037037(GOOD),-0.003541(GOOD),35.243126(GOOD),0.736063(GOOD),109.680618(GOOD),31.141277(GOOD),13.997850(GOOD),195.800262(GOOD),63.560196(GOOD)
@2026-03-29 10:09:00,-0.037037(GOOD),0.003659(GOOD),35.261627(GOOD),0.768463(GOOD),109.838028(GOOD),31.141277(GOOD),13.999855(GOOD),195.800232(GOOD),63.333302(GOOD)
@2026-03-29 10:10:00,-0.037037(GOOD),0.003659(GOOD),35.224522(GOOD),0.752263(GOOD),110.041702(GOOD),31.141277(GOOD),14.000758(GOOD),196.732208(GOOD),63.333294(GOOD)
@2026-03-29 10:11:00,-0.037037(GOOD),0.016659(GOOD),35.259319(GOOD),0.738363(GOOD),110.087997(GOOD),31.141277(GOOD),14.001159(GOOD),195.890305(GOOD),62.909687(GOOD)
@2026-03-29 10:12:00,-0.037037(GOOD),0.009259(GOOD),35.254616(GOOD),0.752263(GOOD),109.509315(GOOD),31.141277(GOOD),13.999161(GOOD),196.521698(GOOD),62.798592(GOOD)
@2026-03-29 10:13:00,-0.037037(GOOD),0.003659(GOOD),35.231514(GOOD),0.784663(GOOD),109.726814(GOOD),31.141277(GOOD),14.000764(GOOD),196.521683(GOOD),62.337994(GOOD)
