$TagName,V4::DPU1005.HW.AI010201.PV,V4::DPU1005.HW.AI020105.PV,V4::DPU1005.HW.AI060108.PV,V4::DPU1005.HW.AI020104.PV,V4::DPU1005.HW.AI020202.PV,V4::DPU1005.HW.RT060203.PV,V4::DPU1005.HW.AI050103.PV,V4::DPU1014.SH0321.AALM21.PV,V4::DPU1005.HW.AI010205.PV
$Time,Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality)
@2026-03-12 20:00:00,-0.042593(GOOD),2.083333(GOOD),21.650463(GOOD),0.791667(GOOD),111.305557(GOOD),24.639845(GOOD),14.000000(GOOD),227.339355(GOOD),67.680557(GOOD)
@2026-03-12 20:01:00,-0.036993(GOOD),2.146334(GOOD),21.613358(GOOD),0.768467(GOOD),111.064644(GOOD),24.639845(GOOD),14.000000(GOOD),227.008438(GOOD),67.710426(GOOD)
@2026-03-12 20:02:00,-0.031493(GOOD),2.070434(GOOD),21.641153(GOOD),0.835567(GOOD),111.231339(GOOD),24.639845(GOOD),14.000001(GOOD),228.211258(GOOD),67.490654(GOOD)
@2026-03-12 20:03:00,-0.042593(GOOD),2.135234(GOOD),21.622652(GOOD),0.835567(GOOD),111.527618(GOOD),24.639845(GOOD),14.001001(GOOD),227.459610(GOOD),67.312340(GOOD)
@2026-03-12 20:04:00,-0.042593(GOOD),2.063035(GOOD),21.622547(GOOD),0.814767(GOOD),111.310005(GOOD),24.639845(GOOD),13.999701(GOOD),227.159012(GOOD),66.935013(GOOD)
@2026-03-12 20:05:00,-0.031493(GOOD),2.059335(GOOD),21.606344(GOOD),0.814768(GOOD),111.166496(GOOD),24.639845(GOOD),14.001001(GOOD),226.497528(GOOD),66.590118(GOOD)
@2026-03-12 20:06:00,-0.031493(GOOD),2.014835(GOOD),21.613247(GOOD),0.810168(GOOD),111.115494(GOOD),24.639845(GOOD),14.000999(GOOD),227.399658(GOOD),66.441910(GOOD)
@2026-03-12 20:07:00,-0.042593(GOOD),2.070435(GOOD),21.622543(GOOD),0.858768(GOOD),111.578476(GOOD),24.639845(GOOD),13.999998(GOOD),227.219254(GOOD),66.291496(GOOD)
@2026-03-12 20:08:00,-0.036993(GOOD),2.063035(GOOD),21.634144(GOOD),0.837967(GOOD),111.022995(GOOD),24.639845(GOOD),14.000999(GOOD),226.918564(GOOD),65.965103(GOOD)
@2026-03-12 20:09:00,-0.042593(GOOD),2.046335(GOOD),21.641045(GOOD),0.782368(GOOD),111.319214(GOOD),24.639845(GOOD),14.001000(GOOD),226.106888(GOOD),65.597008(GOOD)
@2026-03-12 20:10:00,-0.042593(GOOD),2.122236(GOOD),21.622549(GOOD),0.786968(GOOD),111.356300(GOOD),24.639845(GOOD),13.999998(GOOD),227.219299(GOOD),65.393295(GOOD)
@2026-03-12 20:11:00,-0.031493(GOOD),2.120436(GOOD),21.627144(GOOD),0.812468(GOOD),111.240509(GOOD),24.639845(GOOD),14.000998(GOOD),227.429764(GOOD),65.164192(GOOD)
@2026-03-12 20:12:00,-0.042593(GOOD),2.196335(GOOD),21.622650(GOOD),0.798568(GOOD),111.384109(GOOD),24.639845(GOOD),14.001001(GOOD),227.970886(GOOD),64.444199(GOOD)
@2026-03-12 20:13:00,-0.036993(GOOD),2.083336(GOOD),21.620249(GOOD),0.798568(GOOD),111.115540(GOOD),24.639845(GOOD),14.000001(GOOD),227.489883(GOOD),62.541500(GOOD)
@2026-03-12 20:14:00,-0.036993(GOOD),2.138936(GOOD),21.627146(GOOD),0.814767(GOOD),111.203537(GOOD),24.639845(GOOD),14.000002(GOOD),226.166977(GOOD),68.798409(GOOD)
@2026-03-12 20:15:00,-0.042593(GOOD),2.050000(GOOD),21.597221(GOOD),0.828704(GOOD),111.300919(GOOD),24.639845(GOOD),14.000000(GOOD),227.489685(GOOD),68.932877(GOOD)
@2026-03-12 20:16:00,-0.044393(GOOD),2.133301(GOOD),21.611116(GOOD),0.770804(GOOD),111.213036(GOOD),24.639845(GOOD),14.000000(GOOD),226.798203(GOOD),68.650497(GOOD)
@2026-03-12 20:17:00,-0.042593(GOOD),2.033302(GOOD),21.650509(GOOD),0.768504(GOOD),111.666725(GOOD),24.639845(GOOD),14.000999(GOOD),227.579895(GOOD),68.814796(GOOD)
@2026-03-12 20:18:00,-0.036993(GOOD),2.088902(GOOD),21.629612(GOOD),0.780103(GOOD),111.268501(GOOD),24.639845(GOOD),14.000999(GOOD),227.158997(GOOD),68.611099(GOOD)
@2026-03-12 20:19:00,-0.036993(GOOD),2.296302(GOOD),21.643507(GOOD),0.812503(GOOD),111.347206(GOOD),24.639845(GOOD),14.001000(GOOD),227.279007(GOOD),68.643494(GOOD)
@2026-03-12 20:20:00,-0.042593(GOOD),2.075902(GOOD),21.606508(GOOD),0.814803(GOOD),111.305595(GOOD),24.678545(GOOD),14.000000(GOOD),227.489517(GOOD),68.601883(GOOD)
@2026-03-12 20:21:00,-0.036993(GOOD),2.114802(GOOD),21.636608(GOOD),0.754603(GOOD),111.097198(GOOD),24.639845(GOOD),14.001000(GOOD),227.008438(GOOD),68.532402(GOOD)
@2026-03-12 20:22:00,-0.036993(GOOD),2.090703(GOOD),21.636608(GOOD),0.775503(GOOD),111.018517(GOOD),24.639845(GOOD),14.000000(GOOD),226.647659(GOOD),68.393509(GOOD)
@2026-03-12 20:23:00,-0.036993(GOOD),2.051902(GOOD),21.620413(GOOD),0.763903(GOOD),111.175926(GOOD),24.639845(GOOD),14.001000(GOOD),227.549667(GOOD),68.469925(GOOD)
@2026-03-12 20:24:00,-0.042593(GOOD),2.051902(GOOD),21.636618(GOOD),0.828703(GOOD),111.060211(GOOD),24.639845(GOOD),14.001000(GOOD),227.158813(GOOD),68.226921(GOOD)
@2026-03-12 20:25:00,-0.031493(GOOD),2.096302(GOOD),21.625015(GOOD),0.784703(GOOD),111.560196(GOOD),24.639845(GOOD),14.000000(GOOD),227.098587(GOOD),68.023125(GOOD)
@2026-03-12 20:26:00,-0.042593(GOOD),2.127802(GOOD),21.620424(GOOD),0.817103(GOOD),111.430496(GOOD),24.639845(GOOD),13.999999(GOOD),227.459412(GOOD),67.969910(GOOD)
@2026-03-12 20:27:00,-0.044393(GOOD),2.114801(GOOD),21.613424(GOOD),0.805603(GOOD),111.523109(GOOD),24.639845(GOOD),14.000998(GOOD),226.076431(GOOD),67.946815(GOOD)
@2026-03-12 20:28:00,-0.042593(GOOD),2.148100(GOOD),21.629629(GOOD),0.754603(GOOD),111.032372(GOOD),24.678545(GOOD),13.999997(GOOD),226.347046(GOOD),67.500038(GOOD)
@2026-03-12 20:29:00,-0.044393(GOOD),2.014800(GOOD),21.643534(GOOD),0.787003(GOOD),111.398094(GOOD),24.639845(GOOD),13.999997(GOOD),227.068649(GOOD),67.428238(GOOD)
@2026-03-12 20:30:00,-0.044444(GOOD),1.977778(GOOD),21.613426(GOOD),0.814815(GOOD),111.444450(GOOD),24.639845(GOOD),14.000000(GOOD),227.309296(GOOD),67.138885(GOOD)
@2026-03-12 20:31:00,-0.037044(GOOD),2.088878(GOOD),21.648130(GOOD),0.782415(GOOD),111.435036(GOOD),24.639845(GOOD),14.000002(GOOD),226.768051(GOOD),66.840309(GOOD)
@2026-03-12 20:32:00,-0.037044(GOOD),2.096278(GOOD),21.620432(GOOD),0.821815(GOOD),110.925713(GOOD),24.639845(GOOD),14.001003(GOOD),226.768082(GOOD),66.412033(GOOD)
@2026-03-12 20:33:00,-0.037045(GOOD),2.061077(GOOD),21.650534(GOOD),0.791715(GOOD),111.152618(GOOD),24.678545(GOOD),14.001004(GOOD),227.008759(GOOD),65.831032(GOOD)
@2026-03-12 20:34:00,-0.044445(GOOD),2.053677(GOOD),21.634336(GOOD),0.791715(GOOD),111.342407(GOOD),24.678545(GOOD),14.000004(GOOD),226.798431(GOOD),65.354355(GOOD)
@2026-03-12 20:35:00,-0.038945(GOOD),2.077777(GOOD),21.629629(GOOD),0.807915(GOOD),111.240494(GOOD),24.678545(GOOD),14.001004(GOOD),227.249405(GOOD),64.655266(GOOD)
@2026-03-12 20:36:00,-0.037045(GOOD),2.025877(GOOD),21.597231(GOOD),0.805615(GOOD),110.948883(GOOD),24.678545(GOOD),14.001005(GOOD),226.678101(GOOD),63.889069(GOOD)
@2026-03-12 20:37:00,-0.037045(GOOD),2.135177(GOOD),21.620432(GOOD),0.798615(GOOD),111.555275(GOOD),24.678545(GOOD),14.001004(GOOD),227.519989(GOOD),62.446960(GOOD)
@2026-03-12 20:38:00,-0.044445(GOOD),2.070377(GOOD),21.634333(GOOD),0.754615(GOOD),111.240463(GOOD),24.678545(GOOD),14.001004(GOOD),226.798248(GOOD),61.671474(GOOD)
@2026-03-12 20:39:00,-0.048145(GOOD),2.103678(GOOD),21.620436(GOOD),0.754615(GOOD),111.282166(GOOD),24.678545(GOOD),14.000004(GOOD),227.339569(GOOD),68.768654(GOOD)
@2026-03-12 20:40:00,-0.042645(GOOD),2.083277(GOOD),21.613430(GOOD),0.814815(GOOD),111.296089(GOOD),24.678545(GOOD),14.001004(GOOD),226.888565(GOOD),68.745560(GOOD)
@2026-03-12 20:41:00,-0.037045(GOOD),2.070378(GOOD),21.618130(GOOD),0.754615(GOOD),111.666481(GOOD),24.678545(GOOD),14.001003(GOOD),226.407349(GOOD),68.620567(GOOD)
@2026-03-12 20:42:00,-0.037045(GOOD),2.127777(GOOD),21.620422(GOOD),0.789415(GOOD),111.194191(GOOD),24.639845(GOOD),14.001003(GOOD),226.527618(GOOD),68.791748(GOOD)
@2026-03-12 20:43:00,-0.037045(GOOD),2.125878(GOOD),21.606520(GOOD),0.798615(GOOD),111.684982(GOOD),24.639845(GOOD),14.001003(GOOD),226.497528(GOOD),68.798630(GOOD)
@2026-03-12 20:44:00,-0.042645(GOOD),2.083278(GOOD),21.627321(GOOD),0.740715(GOOD),111.407166(GOOD),24.678545(GOOD),14.000002(GOOD),226.407349(GOOD),68.675941(GOOD)
