时间戳,自垃圾池渗滤液进水流量_平均值,自垃圾池渗滤液进水流量_变化值,自垃圾池渗滤液进水流量_变化率,厌氧进水泵出口1流量_平均值,厌氧进水泵出口1流量_变化值,厌氧进水泵出口1流量_变化率,厂区环境温度_平均值,厂区环境温度_变化值,厂区环境温度_变化率,厂区环境湿度_平均值,厂区环境湿度_变化值,厂区环境湿度_变化率,调节池PH值_实时值,调节池PH值_HRT平均值,调节池COD_实时值,调节池COD_HRT平均值,调节池氨氮_实时值,调节池氨氮_HRT平均值,调节池COD_输出_t+120min,调节池氨氮_输出_t+120min
2026-03-01 02:00:00,19.79702027358491,0.0,0.0,0.015689377358490558,0.005554999999999999,0.3749578130273371,13.662075471698113,0.09999999999999964,0.00729394602479939,97.99999999999997,0.9000000000000057,0.009278350515463977,5.9,5.9,40880.0,40880.0,1522.0,1522.0,40880.0,1522.0
2026-03-01 04:00:00,26.011172377358495,0.0,0.0,0.01640985849056604,0.005555,1.4997300215982723,14.087735849056596,0.7300000000000004,0.05270758122743686,98.28018867924534,-1.1000000000000085,-0.011201629327902326,5.9,5.899999999999987,40880.0,40880.0,1522.0,1522.0,40880.0,1522.0
2026-03-01 06:00:00,0.0,0.0,0.0,0.013055537735849058,-0.018518,-0.8333183331833318,14.551509433962265,0.379999999999999,0.0267229254571026,98.42452830188675,1.0999999999999943,0.011178861788617827,5.9,5.900000000000014,40880.0,40880.0,1522.0,1522.0,40880.0,1522.0
2026-03-01 08:00:00,21.072869933962263,-57.433334,-1.0,0.0168378396226415,-0.018519,-0.6666786665706674,15.035943396226413,0.8499999999999996,0.05798090040927692,98.31981132075471,-0.7000000000000028,-0.007142857142857172,5.9,5.900000000000039,40880.0,40880.0,1522.0,1522.0,40880.0,1522.0
2026-03-01 10:00:00,32.567149433962264,48.201851,0.0,0.016409660377358488,0.005556,0.6000648018144509,16.062641509433973,0.0,0.0,96.17641509433963,1.0,0.010460251046025106,5.9,5.900000000000052,40880.0,40880.0,1522.0,1522.0,40880.0,1522.0
2026-03-01 12:00:00,2.235536537735849,-48.840744,-1.0,0.015990122641509428,0.007408000000000001,0.8000864024192679,16.938584905660377,1.9800000000000004,0.12229771463866586,95.02924528301887,-3.700000000000003,-0.03838174273858924,5.9,5.90000000000006,40880.0,40880.0,1522.0,1522.0,40880.0,1522.0
2026-03-01 14:00:00,29.3405009245283,-61.264816,-1.0,0.018651528301886787,0.029629000000000003,7.999190064794817,17.368207547169806,0.019999999999999574,0.0011389521640090875,95.54433962264143,0.7999999999999972,0.00847457627118641,5.9,5.900000000000048,40880.0,40880.0,1522.0,1522.0,40880.0,1522.0
2026-03-01 16:00:00,0.0,0.0,0.0,0.01953035849056604,0.024074,6.499460043196545,17.814433962264157,0.5899999999999999,0.03329571106094808,95.25660377358481,-1.7000000000000028,-0.017857142857142887,5.9,5.89999999999999,40880.0,40880.0,1522.0,1522.0,40880.0,1522.0
2026-03-01 18:00:00,0.0,0.0,0.0,0.018228273584905665,-0.011111,-0.5,18.685660377358488,-0.4299999999999997,-0.02276336686077288,93.19622641509433,2.799999999999997,0.030467899891186038,5.9,5.899999999999945,40880.0,40880.0,1522.0,1522.0,40880.0,1522.0
2026-03-01 20:00:00,0.0,0.0,0.0,0.016488660377358483,0.0037040000000000007,0.3333633336333364,17.883867924528307,-0.03999999999999915,-0.002222222222222175,97.04622641509432,1.8999999999999915,0.0199161425576519,5.9,5.899999999999912,40880.0,40880.0,1522.0,1522.0,40880.0,1522.0
