$TagName,V4::DPU1005.HW.AI060106.PV,V4::DPU1005.HW.AI040201.PV
$Time,Data(Quality),Data(Quality)
@2026-05-13 00:00:00,19.921297(GOOD),7.552805(GOOD)
@2026-05-13 00:01:00,19.940695(GOOD),7.563106(GOOD)
@2026-05-13 00:02:00,19.937996(GOOD),7.563806(GOOD)
@2026-05-13 00:03:00,19.937990(GOOD),7.562307(GOOD)
@2026-05-13 00:04:00,19.922188(GOOD),7.567408(GOOD)
@2026-05-13 00:05:00,19.937992(GOOD),7.564408(GOOD)
@2026-05-13 00:06:00,19.953691(GOOD),7.563107(GOOD)
@2026-05-13 00:07:00,19.922192(GOOD),7.560107(GOOD)
@2026-05-13 00:08:00,19.954590(GOOD),7.571106(GOOD)
@2026-05-13 00:09:00,19.959291(GOOD),7.569607(GOOD)
@2026-05-13 00:10:00,19.959295(GOOD),7.572608(GOOD)
@2026-05-13 00:11:00,19.936094(GOOD),7.569609(GOOD)
@2026-05-13 00:12:00,19.947189(GOOD),7.560810(GOOD)
@2026-05-13 00:13:00,19.919388(GOOD),7.565910(GOOD)
@2026-05-13 00:14:00,19.919384(GOOD),7.565910(GOOD)
@2026-05-13 00:15:00,19.916666(GOOD),7.556465(GOOD)
@2026-05-13 00:16:00,19.958260(GOOD),7.569565(GOOD)
@2026-05-13 00:17:00,19.918459(GOOD),7.562266(GOOD)
@2026-05-13 00:18:00,19.921259(GOOD),7.554267(GOOD)
@2026-05-13 00:19:00,19.920357(GOOD),7.545667(GOOD)
@2026-05-13 00:20:00,19.941652(GOOD),7.561565(GOOD)
@2026-05-13 00:21:00,19.918350(GOOD),7.568965(GOOD)
@2026-05-13 00:22:00,19.916550(GOOD),7.573265(GOOD)
@2026-05-13 00:23:00,19.910151(GOOD),7.567365(GOOD)
@2026-05-13 00:24:00,19.937950(GOOD),7.570467(GOOD)
@2026-05-13 00:25:00,19.925852(GOOD),7.572567(GOOD)
@2026-05-13 00:26:00,19.922159(GOOD),7.564568(GOOD)
@2026-05-13 00:27:00,19.924963(GOOD),7.563067(GOOD)
@2026-05-13 00:28:00,19.944359(GOOD),7.568267(GOOD)
@2026-05-13 00:29:00,19.927759(GOOD),7.565267(GOOD)
@2026-05-13 00:30:00,19.912964(GOOD),7.568951(GOOD)
@2026-05-13 00:31:00,19.934267(GOOD),7.566751(GOOD)
@2026-05-13 00:32:00,19.938866(GOOD),7.576252(GOOD)
@2026-05-13 00:33:00,19.937971(GOOD),7.577553(GOOD)
@2026-05-13 00:34:00,19.930569(GOOD),7.587856(GOOD)
@2026-05-13 00:35:00,19.947166(GOOD),7.573256(GOOD)
@2026-05-13 00:36:00,19.926863(GOOD),7.577557(GOOD)
@2026-05-13 00:37:00,19.929562(GOOD),7.573256(GOOD)
@2026-05-13 00:38:00,19.919359(GOOD),7.571956(GOOD)
@2026-05-13 00:39:00,19.949959(GOOD),7.572555(GOOD)
@2026-05-13 00:40:00,19.942560(GOOD),7.571955(GOOD)
@2026-05-13 00:41:00,19.921268(GOOD),7.573255(GOOD)
@2026-05-13 00:42:00,19.943462(GOOD),7.586354(GOOD)
@2026-05-13 00:43:00,19.949961(GOOD),7.614155(GOOD)
@2026-05-13 00:44:00,19.948061(GOOD),7.572555(GOOD)
@2026-05-13 00:45:00,19.943520(GOOD),7.576917(GOOD)
@2026-05-13 00:46:00,19.933323(GOOD),7.565317(GOOD)
@2026-05-13 00:47:00,19.943529(GOOD),7.550018(GOOD)
@2026-05-13 00:48:00,19.933331(GOOD),7.559520(GOOD)
@2026-05-13 00:49:00,19.920427(GOOD),7.576320(GOOD)
@2026-05-13 00:50:00,19.928724(GOOD),7.554321(GOOD)
@2026-05-13 00:51:00,19.936129(GOOD),7.565921(GOOD)
@2026-05-13 00:52:00,19.912027(GOOD),7.569020(GOOD)
@2026-05-13 00:53:00,19.946325(GOOD),7.565321(GOOD)
@2026-05-13 00:54:00,19.934326(GOOD),7.562319(GOOD)
@2026-05-13 00:55:00,19.938927(GOOD),7.561019(GOOD)
@2026-05-13 00:56:00,19.925926(GOOD),7.559520(GOOD)
@2026-05-13 00:57:00,19.904631(GOOD),7.558021(GOOD)
@2026-05-13 00:58:00,19.941727(GOOD),7.553021(GOOD)
