$TagName,V4::DPU1005.HW.AI060106.PV,V4::DPU1005.HW.AI040201.PV
$Time,Data(Quality),Data(Quality)
@2026-03-03 00:00:00,17.370371(GOOD),4.034951(GOOD)
@2026-03-03 00:01:00,17.382370(GOOD),4.036150(GOOD)
@2026-03-03 00:02:00,17.385166(GOOD),4.035449(GOOD)
@2026-03-03 00:03:00,17.374966(GOOD),4.034849(GOOD)
@2026-03-03 00:04:00,17.374065(GOOD),4.035449(GOOD)
@2026-03-03 00:05:00,17.374971(GOOD),4.036050(GOOD)
@2026-03-03 00:06:00,17.361979(GOOD),4.035550(GOOD)
@2026-03-03 00:07:00,17.391678(GOOD),4.034951(GOOD)
@2026-03-03 00:08:00,17.373074(GOOD),4.034951(GOOD)
@2026-03-03 00:09:00,17.390673(GOOD),4.036050(GOOD)
@2026-03-03 00:10:00,17.381470(GOOD),4.036048(GOOD)
@2026-03-03 00:11:00,17.391672(GOOD),4.034847(GOOD)
@2026-03-03 00:12:00,17.399061(GOOD),4.035445(GOOD)
@2026-03-03 00:13:00,17.404564(GOOD),4.036046(GOOD)
@2026-03-03 00:14:00,17.375860(GOOD),4.034146(GOOD)
@2026-03-03 00:15:00,17.375000(GOOD),4.035597(GOOD)
@2026-03-03 00:16:00,17.344398(GOOD),4.035597(GOOD)
@2026-03-03 00:17:00,17.351898(GOOD),4.036196(GOOD)
@2026-03-03 00:18:00,17.393505(GOOD),4.036195(GOOD)
@2026-03-03 00:19:00,17.359310(GOOD),4.034995(GOOD)
@2026-03-03 00:20:00,17.372211(GOOD),4.035594(GOOD)
@2026-03-03 00:21:00,17.344416(GOOD),4.036195(GOOD)
@2026-03-03 00:22:00,17.364820(GOOD),4.036194(GOOD)
@2026-03-03 00:23:00,17.390720(GOOD),4.036494(GOOD)
@2026-03-03 00:24:00,17.364824(GOOD),4.036195(GOOD)
@2026-03-03 00:25:00,17.388918(GOOD),4.035594(GOOD)
@2026-03-03 00:26:00,17.395418(GOOD),4.035593(GOOD)
@2026-03-03 00:27:00,17.380619(GOOD),4.034993(GOOD)
@2026-03-03 00:28:00,17.392624(GOOD),4.036192(GOOD)
@2026-03-03 00:29:00,17.354626(GOOD),4.034992(GOOD)
@2026-03-03 00:30:00,17.375000(GOOD),4.034951(GOOD)
@2026-03-03 00:31:00,17.370399(GOOD),4.034951(GOOD)
@2026-03-03 00:32:00,17.356499(GOOD),4.036852(GOOD)
@2026-03-03 00:33:00,17.387999(GOOD),4.036151(GOOD)
@2026-03-03 00:34:00,17.394403(GOOD),4.035551(GOOD)
@2026-03-03 00:35:00,17.363903(GOOD),4.036851(GOOD)
@2026-03-03 00:36:00,17.396311(GOOD),4.034951(GOOD)
@2026-03-03 00:37:00,17.375008(GOOD),4.035551(GOOD)
@2026-03-03 00:38:00,17.380608(GOOD),4.035450(GOOD)
@2026-03-03 00:39:00,17.378712(GOOD),4.035449(GOOD)
@2026-03-03 00:40:00,17.394415(GOOD),4.036048(GOOD)
@2026-03-03 00:41:00,17.373114(GOOD),4.035447(GOOD)
@2026-03-03 00:42:00,17.400015(GOOD),4.035447(GOOD)
@2026-03-03 00:43:00,17.390718(GOOD),4.035446(GOOD)
@2026-03-03 00:44:00,17.385216(GOOD),4.036744(GOOD)
@2026-03-03 00:45:00,17.374075(GOOD),4.036889(GOOD)
@2026-03-03 00:46:00,17.387976(GOOD),4.036188(GOOD)
@2026-03-03 00:47:00,17.360176(GOOD),4.035588(GOOD)
@2026-03-03 00:48:00,17.383280(GOOD),4.036887(GOOD)
@2026-03-03 00:49:00,17.381481(GOOD),4.034986(GOOD)
@2026-03-03 00:50:00,17.360182(GOOD),4.035587(GOOD)
@2026-03-03 00:51:00,17.361082(GOOD),4.035587(GOOD)
@2026-03-03 00:52:00,17.359274(GOOD),4.034287(GOOD)
@2026-03-03 00:53:00,17.369375(GOOD),4.035587(GOOD)
@2026-03-03 00:54:00,17.383278(GOOD),4.036886(GOOD)
@2026-03-03 00:55:00,17.387966(GOOD),4.036186(GOOD)
@2026-03-03 00:56:00,17.373060(GOOD),4.034986(GOOD)
@2026-03-03 00:57:00,17.386967(GOOD),4.035585(GOOD)
@2026-03-03 00:58:00,17.401865(GOOD),4.036186(GOOD)
@2026-03-03 00:59:00,17.371265(GOOD),4.034984(GOOD)
@2026-03-03 01:00:00,17.375000(GOOD),4.036243(GOOD)
@2026-03-03 01:01:00,17.388010(GOOD),4.035043(GOOD)
@2026-03-03 01:02:00,17.359316(GOOD),4.035042(GOOD)
@2026-03-03 01:03:00,17.363018(GOOD),4.035642(GOOD)
@2026-03-03 01:04:00,17.375017(GOOD),4.035642(GOOD)
@2026-03-03 01:05:00,17.357412(GOOD),4.035642(GOOD)
@2026-03-03 01:06:00,17.366716(GOOD),4.036242(GOOD)
@2026-03-03 01:07:00,17.398117(GOOD),4.035643(GOOD)
@2026-03-03 01:08:00,17.356520(GOOD),4.035644(GOOD)
@2026-03-03 01:09:00,17.411125(GOOD),4.035643(GOOD)
@2026-03-03 01:10:00,17.381531(GOOD),4.035645(GOOD)
@2026-03-03 01:11:00,17.384338(GOOD),4.036246(GOOD)
@2026-03-03 01:12:00,17.374136(GOOD),4.036246(GOOD)
@2026-03-03 01:13:00,17.408344(GOOD),4.035046(GOOD)
@2026-03-03 01:14:00,17.374146(GOOD),4.034347(GOOD)
@2026-03-03 01:15:00,17.369444(GOOD),4.034951(GOOD)
@2026-03-03 01:16:00,17.363939(GOOD),4.033950(GOOD)
@2026-03-03 01:17:00,17.384342(GOOD),4.035551(GOOD)
@2026-03-03 01:18:00,17.355646(GOOD),4.034952(GOOD)
@2026-03-03 01:19:00,17.369450(GOOD),4.035553(GOOD)
@2026-03-03 01:20:00,17.365746(GOOD),4.036852(GOOD)
@2026-03-03 01:21:00,17.367645(GOOD),4.036152(GOOD)
@2026-03-03 01:22:00,17.379644(GOOD),4.036151(GOOD)
@2026-03-03 01:23:00,17.364950(GOOD),4.034950(GOOD)
@2026-03-03 01:24:00,17.387150(GOOD),4.034550(GOOD)
@2026-03-03 01:25:00,17.371344(GOOD),4.034950(GOOD)
@2026-03-03 01:26:00,17.368536(GOOD),4.034150(GOOD)
@2026-03-03 01:27:00,17.377842(GOOD),4.036150(GOOD)
@2026-03-03 01:28:00,17.405643(GOOD),4.035450(GOOD)
@2026-03-03 01:29:00,17.400946(GOOD),4.035551(GOOD)
@2026-03-03 01:30:00,17.359259(GOOD),4.035597(GOOD)
@2026-03-03 01:31:00,17.380562(GOOD),4.035597(GOOD)
@2026-03-03 01:32:00,17.389761(GOOD),4.034298(GOOD)
@2026-03-03 01:33:00,17.396265(GOOD),4.034998(GOOD)
@2026-03-03 01:34:00,17.397163(GOOD),4.034098(GOOD)
@2026-03-03 01:35:00,17.347162(GOOD),4.035598(GOOD)
@2026-03-03 01:36:00,17.352768(GOOD),4.035598(GOOD)
@2026-03-03 01:37:00,17.374069(GOOD),4.034998(GOOD)
@2026-03-03 01:38:00,17.367573(GOOD),4.035599(GOOD)
@2026-03-03 01:39:00,17.374979(GOOD),4.035599(GOOD)
@2026-03-03 01:40:00,17.384277(GOOD),4.034998(GOOD)
@2026-03-03 01:41:00,17.374081(GOOD),4.034099(GOOD)
@2026-03-03 01:42:00,17.359280(GOOD),4.034701(GOOD)
@2026-03-03 01:43:00,17.374979(GOOD),4.035600(GOOD)
@2026-03-03 01:44:00,17.378677(GOOD),4.034301(GOOD)
@2026-03-03 01:45:00,17.400000(GOOD),4.035597(GOOD)
@2026-03-03 01:46:00,17.355598(GOOD),4.034998(GOOD)
@2026-03-03 01:47:00,17.363901(GOOD),4.034999(GOOD)
@2026-03-03 01:48:00,17.373098(GOOD),4.034299(GOOD)
@2026-03-03 01:49:00,17.386999(GOOD),4.034698(GOOD)
@2026-03-03 01:50:00,17.409300(GOOD),4.035599(GOOD)
@2026-03-03 01:51:00,17.391705(GOOD),4.035598(GOOD)
@2026-03-03 01:52:00,17.379601(GOOD),4.035598(GOOD)
@2026-03-03 01:53:00,17.388004(GOOD),4.034998(GOOD)
@2026-03-03 01:54:00,17.370399(GOOD),4.034298(GOOD)
@2026-03-03 01:55:00,17.355591(GOOD),4.034698(GOOD)
@2026-03-03 01:56:00,17.344391(GOOD),4.035598(GOOD)
@2026-03-03 01:57:00,17.361095(GOOD),4.034099(GOOD)
@2026-03-03 01:58:00,17.375900(GOOD),4.034299(GOOD)
@2026-03-03 01:59:00,17.366701(GOOD),4.034999(GOOD)
@2026-03-03 02:00:00,17.349073(GOOD),4.034091(GOOD)
@2026-03-03 02:01:00,17.374071(GOOD),4.034091(GOOD)
@2026-03-03 02:02:00,17.390671(GOOD),4.034091(GOOD)
@2026-03-03 02:03:00,17.397165(GOOD),4.034091(GOOD)
@2026-03-03 02:04:00,17.367561(GOOD),4.035590(GOOD)
@2026-03-03 02:05:00,17.400860(GOOD),4.034992(GOOD)
@2026-03-03 02:06:00,17.363865(GOOD),4.034992(GOOD)
@2026-03-03 02:07:00,17.374964(GOOD),4.036192(GOOD)
@2026-03-03 02:08:00,17.380562(GOOD),4.034092(GOOD)
@2026-03-03 02:09:00,17.362961(GOOD),4.034092(GOOD)
@2026-03-03 02:10:00,17.380552(GOOD),4.035593(GOOD)
@2026-03-03 02:11:00,17.357351(GOOD),4.034692(GOOD)
@2026-03-03 02:12:00,17.374849(GOOD),4.034695(GOOD)
@2026-03-03 02:13:00,17.394247(GOOD),4.035596(GOOD)
@2026-03-03 02:14:00,17.356342(GOOD),4.034997(GOOD)
@2026-03-03 02:15:00,17.368519(GOOD),4.034951(GOOD)
@2026-03-03 02:16:00,17.388018(GOOD),4.034952(GOOD)
@2026-03-03 02:17:00,17.370420(GOOD),4.034250(GOOD)
@2026-03-03 02:18:00,17.376926(GOOD),4.035552(GOOD)
@2026-03-03 02:19:00,17.388021(GOOD),4.034952(GOOD)
@2026-03-03 02:20:00,17.359325(GOOD),4.034253(GOOD)
@2026-03-03 02:21:00,17.383324(GOOD),4.034654(GOOD)
@2026-03-03 02:22:00,17.377823(GOOD),4.034655(GOOD)
@2026-03-03 02:23:00,17.383329(GOOD),4.034056(GOOD)
@2026-03-03 02:24:00,17.401934(GOOD),4.034255(GOOD)
@2026-03-03 02:25:00,17.368534(GOOD),4.034655(GOOD)
@2026-03-03 02:26:00,17.369431(GOOD),4.034955(GOOD)
@2026-03-03 02:27:00,17.357433(GOOD),4.034255(GOOD)
@2026-03-03 02:28:00,17.371325(GOOD),4.034256(GOOD)
@2026-03-03 02:29:00,17.380625(GOOD),4.035556(GOOD)
@2026-03-03 02:30:00,17.376852(GOOD),4.035597(GOOD)
@2026-03-03 02:31:00,17.399954(GOOD),4.034699(GOOD)
@2026-03-03 02:32:00,17.395355(GOOD),4.034999(GOOD)
@2026-03-03 02:33:00,17.369366(GOOD),4.035600(GOOD)
@2026-03-03 02:34:00,17.358259(GOOD),4.033400(GOOD)
@2026-03-03 02:35:00,17.359262(GOOD),4.035600(GOOD)
@2026-03-03 02:36:00,17.367565(GOOD),4.034302(GOOD)
@2026-03-03 02:37:00,17.377760(GOOD),4.034102(GOOD)
@2026-03-03 02:38:00,17.349960(GOOD),4.034702(GOOD)
@2026-03-03 02:39:00,17.361067(GOOD),4.035002(GOOD)
@2026-03-03 02:40:00,17.357367(GOOD),4.035004(GOOD)
@2026-03-03 02:41:00,17.365660(GOOD),4.035605(GOOD)
@2026-03-03 02:42:00,17.362965(GOOD),4.035007(GOOD)
@2026-03-03 02:43:00,17.374065(GOOD),4.034110(GOOD)
@2026-03-03 02:44:00,17.366665(GOOD),4.034110(GOOD)
@2026-03-03 02:45:00,17.385185(GOOD),4.034736(GOOD)
@2026-03-03 02:46:00,17.374985(GOOD),4.035637(GOOD)
@2026-03-03 02:47:00,17.384285(GOOD),4.035038(GOOD)
@2026-03-03 02:48:00,17.360178(GOOD),4.035038(GOOD)
@2026-03-03 02:49:00,17.390686(GOOD),4.035639(GOOD)
@2026-03-03 02:50:00,17.376890(GOOD),4.034138(GOOD)
@2026-03-03 02:51:00,17.377787(GOOD),4.035637(GOOD)
@2026-03-03 02:52:00,17.368486(GOOD),4.035639(GOOD)
@2026-03-03 02:53:00,17.353680(GOOD),4.034139(GOOD)
@2026-03-03 02:54:00,17.388887(GOOD),4.034738(GOOD)
@2026-03-03 02:55:00,17.357391(GOOD),4.035639(GOOD)
@2026-03-03 02:56:00,17.381493(GOOD),4.034139(GOOD)
@2026-03-03 02:57:00,17.405588(GOOD),4.035640(GOOD)
@2026-03-03 02:58:00,17.374996(GOOD),4.035641(GOOD)
@2026-03-03 02:59:00,17.375896(GOOD),4.035641(GOOD)
@2026-03-03 03:00:00,17.380556(GOOD),4.035382(GOOD)
@2026-03-03 03:01:00,17.404560(GOOD),4.034983(GOOD)
@2026-03-03 03:02:00,17.378670(GOOD),4.034684(GOOD)
@2026-03-03 03:03:00,17.386974(GOOD),4.034685(GOOD)
@2026-03-03 03:04:00,17.379574(GOOD),4.034984(GOOD)
@2026-03-03 03:05:00,17.378677(GOOD),4.033384(GOOD)
@2026-03-03 03:06:00,17.353678(GOOD),4.035584(GOOD)
@2026-03-03 03:07:00,17.374981(GOOD),4.034286(GOOD)
@2026-03-03 03:08:00,17.384275(GOOD),4.034686(GOOD)
@2026-03-03 03:09:00,17.389782(GOOD),4.034086(GOOD)
@2026-03-03 03:10:00,17.397179(GOOD),4.034087(GOOD)
@2026-03-03 03:11:00,17.366684(GOOD),4.034987(GOOD)
@2026-03-03 03:12:00,17.373089(GOOD),4.034289(GOOD)
@2026-03-03 03:13:00,17.396294(GOOD),4.035590(GOOD)
@2026-03-03 03:14:00,17.386095(GOOD),4.034090(GOOD)
@2026-03-03 03:15:00,17.380556(GOOD),4.034951(GOOD)
@2026-03-03 03:16:00,17.355560(GOOD),4.034050(GOOD)
@2026-03-03 03:17:00,17.371256(GOOD),4.034650(GOOD)
@2026-03-03 03:18:00,17.404558(GOOD),4.035450(GOOD)
@2026-03-03 03:19:00,17.374060(GOOD),4.034849(GOOD)
@2026-03-03 03:20:00,17.385166(GOOD),4.035449(GOOD)
@2026-03-03 03:21:00,17.385172(GOOD),4.034149(GOOD)
@2026-03-03 03:22:00,17.363871(GOOD),4.034150(GOOD)
@2026-03-03 03:23:00,17.354568(GOOD),4.035552(GOOD)
