$TagName,V4::DPU1005.HW.AI060106.PV,V4::DPU1005.HW.AI040201.PV
$Time,Data(Quality),Data(Quality)
@2026-04-30 10:00:00,19.974998(GOOD),7.552805(GOOD)
@2026-04-30 10:01:00,19.983295(GOOD),7.547906(GOOD)
@2026-04-30 10:02:00,19.987989(GOOD),7.542007(GOOD)
@2026-04-30 10:03:00,19.980593(GOOD),7.545507(GOOD)
@2026-04-30 10:04:00,19.968493(GOOD),7.546306(GOOD)
@2026-04-30 10:05:00,20.005594(GOOD),7.544806(GOOD)
@2026-04-30 10:06:00,19.981487(GOOD),7.527407(GOOD)
@2026-04-30 10:07:00,19.969385(GOOD),7.523707(GOOD)
@2026-04-30 10:08:00,20.005583(GOOD),7.522510(GOOD)
@2026-04-30 10:09:00,19.978685(GOOD),7.515809(GOOD)
@2026-04-30 10:10:00,19.998083(GOOD),7.519409(GOOD)
@2026-04-30 10:11:00,20.006483(GOOD),7.516409(GOOD)
@2026-04-30 10:12:00,19.975885(GOOD),7.532609(GOOD)
@2026-04-30 10:13:00,19.996283(GOOD),7.524609(GOOD)
@2026-04-30 10:14:00,19.984293(GOOD),7.524409(GOOD)
@2026-04-30 10:15:00,19.970371(GOOD),7.520945(GOOD)
@2026-04-30 10:16:00,19.973068(GOOD),7.526545(GOOD)
@2026-04-30 10:17:00,19.969368(GOOD),7.524646(GOOD)
@2026-04-30 10:18:00,19.983261(GOOD),7.513647(GOOD)
@2026-04-30 10:19:00,19.998060(GOOD),7.514947(GOOD)
@2026-04-30 10:20:00,19.995363(GOOD),7.528047(GOOD)
@2026-04-30 10:21:00,19.969364(GOOD),7.522546(GOOD)
@2026-04-30 10:22:00,19.993467(GOOD),7.509148(GOOD)
@2026-04-30 10:23:00,19.954567(GOOD),7.502648(GOOD)
@2026-04-30 10:24:00,19.971272(GOOD),7.479249(GOOD)
@2026-04-30 10:25:00,19.993473(GOOD),7.504351(GOOD)
@2026-04-30 10:26:00,19.976868(GOOD),7.500651(GOOD)
@2026-04-30 10:27:00,19.971268(GOOD),7.504052(GOOD)
@2026-04-30 10:28:00,19.974966(GOOD),7.493352(GOOD)
@2026-04-30 10:29:00,19.984264(GOOD),7.504353(GOOD)
@2026-04-30 10:30:00,19.987963(GOOD),7.512118(GOOD)
@2026-04-30 10:31:00,19.962967(GOOD),7.483717(GOOD)
@2026-04-30 10:32:00,19.971262(GOOD),7.502016(GOOD)
@2026-04-30 10:33:00,19.985161(GOOD),7.491016(GOOD)
@2026-04-30 10:34:00,20.003658(GOOD),7.492517(GOOD)
@2026-04-30 10:35:00,19.997156(GOOD),7.497518(GOOD)
@2026-04-30 10:36:00,19.979555(GOOD),7.492519(GOOD)
@2026-04-30 10:37:00,19.966654(GOOD),7.493219(GOOD)
@2026-04-30 10:38:00,19.994350(GOOD),7.493819(GOOD)
@2026-04-30 10:39:00,19.991550(GOOD),7.494019(GOOD)
@2026-04-30 10:40:00,19.981451(GOOD),7.512820(GOOD)
@2026-04-30 10:41:00,19.974951(GOOD),7.472721(GOOD)
@2026-04-30 10:42:00,19.981346(GOOD),7.493820(GOOD)
@2026-04-30 10:43:00,19.962849(GOOD),7.491020(GOOD)
@2026-04-30 10:44:00,19.963850(GOOD),7.483119(GOOD)
@2026-04-30 10:45:00,19.985184(GOOD),7.483701(GOOD)
@2026-04-30 10:46:00,19.960184(GOOD),7.488900(GOOD)
@2026-04-30 10:47:00,19.999086(GOOD),7.489500(GOOD)
@2026-04-30 10:48:00,19.969391(GOOD),7.493201(GOOD)
@2026-04-30 10:49:00,19.986090(GOOD),7.507802(GOOD)
@2026-04-30 10:50:00,19.987989(GOOD),7.528003(GOOD)
@2026-04-30 10:51:00,20.006483(GOOD),7.528901(GOOD)
@2026-04-30 10:52:00,19.988880(GOOD),7.526802(GOOD)
@2026-04-30 10:53:00,19.994387(GOOD),7.527403(GOOD)
@2026-04-30 10:54:00,19.985188(GOOD),7.523704(GOOD)
@2026-04-30 10:55:00,20.002790(GOOD),7.525904(GOOD)
@2026-04-30 10:56:00,19.975895(GOOD),7.518604(GOOD)
@2026-04-30 10:57:00,19.972195(GOOD),7.526804(GOOD)
@2026-04-30 10:58:00,19.985197(GOOD),7.512105(GOOD)
@2026-04-30 10:59:00,19.975893(GOOD),7.520907(GOOD)
@2026-04-30 11:00:00,19.970371(GOOD),7.549146(GOOD)
@2026-04-30 11:01:00,19.994371(GOOD),7.542046(GOOD)
@2026-04-30 11:02:00,19.971272(GOOD),7.531147(GOOD)
@2026-04-30 11:03:00,19.968468(GOOD),7.549148(GOOD)
@2026-04-30 11:04:00,19.999969(GOOD),7.541249(GOOD)
@2026-04-30 11:05:00,19.991671(GOOD),7.542050(GOOD)
@2026-04-30 11:06:00,19.965670(GOOD),7.544849(GOOD)
@2026-04-30 11:07:00,19.980568(GOOD),7.548550(GOOD)
@2026-04-30 11:08:00,19.959267(GOOD),7.547050(GOOD)
@2026-04-30 11:09:00,19.966661(GOOD),7.537652(GOOD)
@2026-04-30 11:10:00,19.968464(GOOD),7.539152(GOOD)
@2026-04-30 11:11:00,19.966665(GOOD),7.548652(GOOD)
@2026-04-30 11:12:00,19.992563(GOOD),7.546452(GOOD)
@2026-04-30 11:13:00,19.966660(GOOD),7.540651(GOOD)
@2026-04-30 11:14:00,19.987968(GOOD),7.551651(GOOD)
@2026-04-30 11:15:00,19.987038(GOOD),7.539889(GOOD)
@2026-04-30 11:16:00,19.981544(GOOD),7.548490(GOOD)
@2026-04-30 11:17:00,19.982449(GOOD),7.552790(GOOD)
@2026-04-30 11:18:00,19.990850(GOOD),7.554990(GOOD)
@2026-04-30 11:19:00,20.010357(GOOD),7.557291(GOOD)
@2026-04-30 11:20:00,20.016857(GOOD),7.572589(GOOD)
@2026-04-30 11:21:00,20.018660(GOOD),7.567390(GOOD)
@2026-04-30 11:22:00,19.988153(GOOD),7.567390(GOOD)
@2026-04-30 11:23:00,19.985359(GOOD),7.579893(GOOD)
@2026-04-30 11:24:00,19.994562(GOOD),7.579093(GOOD)
@2026-04-30 11:25:00,20.010363(GOOD),7.576894(GOOD)
@2026-04-30 11:26:00,20.012167(GOOD),7.576294(GOOD)
@2026-04-30 11:27:00,19.998262(GOOD),7.577593(GOOD)
@2026-04-30 11:28:00,20.010370(GOOD),7.581394(GOOD)
@2026-04-30 11:29:00,19.990870(GOOD),7.571795(GOOD)
@2026-04-30 11:30:00,20.009260(GOOD),7.576271(GOOD)
@2026-04-30 11:31:00,19.999962(GOOD),7.572571(GOOD)
@2026-04-30 11:32:00,19.994371(GOOD),7.569571(GOOD)
@2026-04-30 11:33:00,19.987970(GOOD),7.564572(GOOD)
@2026-04-30 11:34:00,19.971264(GOOD),7.569571(GOOD)
@2026-04-30 11:35:00,19.991667(GOOD),7.570472(GOOD)
@2026-04-30 11:36:00,20.006472(GOOD),7.558773(GOOD)
@2026-04-30 11:37:00,20.005568(GOOD),7.565272(GOOD)
@2026-04-30 11:38:00,20.006466(GOOD),7.564573(GOOD)
@2026-04-30 11:39:00,20.002766(GOOD),7.565873(GOOD)
@2026-04-30 11:40:00,19.973063(GOOD),7.560974(GOOD)
@2026-04-30 11:41:00,19.976868(GOOD),7.559474(GOOD)
@2026-04-30 11:42:00,19.977764(GOOD),7.568975(GOOD)
@2026-04-30 11:43:00,19.977772(GOOD),7.554276(GOOD)
@2026-04-30 11:44:00,19.971273(GOOD),7.552777(GOOD)
@2026-04-30 11:45:00,19.975925(GOOD),7.558833(GOOD)
@2026-04-30 11:46:00,19.950922(GOOD),7.559534(GOOD)
@2026-04-30 11:47:00,19.973122(GOOD),7.557333(GOOD)
@2026-04-30 11:48:00,19.962025(GOOD),7.555234(GOOD)
@2026-04-30 11:49:00,19.948124(GOOD),7.563135(GOOD)
@2026-04-30 11:50:00,19.988028(GOOD),7.560135(GOOD)
@2026-04-30 11:51:00,19.950926(GOOD),7.562535(GOOD)
@2026-04-30 11:52:00,19.982426(GOOD),7.558037(GOOD)
@2026-04-30 11:53:00,19.954624(GOOD),7.549138(GOOD)
