$TagName,V4::DPU1005.HW.AI060106.PV,V4::DPU1005.HW.AI040201.PV
$Time,Data(Quality),Data(Quality)
@2026-04-02 20:00:00,19.739815(GOOD),8.114681(GOOD)
@2026-04-02 20:01:00,19.718517(GOOD),8.113181(GOOD)
@2026-04-02 20:02:00,19.746321(GOOD),8.104980(GOOD)
@2026-04-02 20:03:00,19.722221(GOOD),8.104280(GOOD)
@2026-04-02 20:04:00,19.715721(GOOD),8.085380(GOOD)
@2026-04-02 20:05:00,19.728720(GOOD),8.107981(GOOD)
@2026-04-02 20:06:00,19.721319(GOOD),8.110181(GOOD)
@2026-04-02 20:07:00,19.738918(GOOD),8.116781(GOOD)
@2026-04-02 20:08:00,19.750017(GOOD),8.124782(GOOD)
@2026-04-02 20:09:00,19.731510(GOOD),8.115281(GOOD)
@2026-04-02 20:10:00,19.718506(GOOD),8.115281(GOOD)
@2026-04-02 20:11:00,19.733307(GOOD),8.113182(GOOD)
@2026-04-02 20:12:00,19.750910(GOOD),8.108882(GOOD)
@2026-04-02 20:13:00,19.720411(GOOD),8.104281(GOOD)
@2026-04-02 20:14:00,19.725012(GOOD),8.108882(GOOD)
@2026-04-02 20:15:00,19.727777(GOOD),8.104993(GOOD)
@2026-04-02 20:16:00,19.721273(GOOD),8.104293(GOOD)
@2026-04-02 20:17:00,19.726875(GOOD),8.110193(GOOD)
@2026-04-02 20:18:00,19.724974(GOOD),8.107394(GOOD)
@2026-04-02 20:19:00,19.727779(GOOD),8.105894(GOOD)
@2026-04-02 20:20:00,19.728682(GOOD),8.107394(GOOD)
@2026-04-02 20:21:00,19.749987(GOOD),8.107394(GOOD)
@2026-04-02 20:22:00,19.763887(GOOD),8.107994(GOOD)
@2026-04-02 20:23:00,19.746292(GOOD),8.106494(GOOD)
@2026-04-02 20:24:00,19.722198(GOOD),8.113794(GOOD)
@2026-04-02 20:25:00,19.763004(GOOD),8.110994(GOOD)
@2026-04-02 20:26:00,19.776907(GOOD),8.100694(GOOD)
@2026-04-02 20:27:00,19.750010(GOOD),8.112494(GOOD)
@2026-04-02 20:28:00,19.725004(GOOD),8.107994(GOOD)
@2026-04-02 20:29:00,19.760206(GOOD),8.104994(GOOD)
@2026-04-02 20:30:00,19.763889(GOOD),8.106501(GOOD)
@2026-04-02 20:31:00,19.721289(GOOD),8.108901(GOOD)
@2026-04-02 20:32:00,19.752789(GOOD),8.108001(GOOD)
@2026-04-02 20:33:00,19.759281(GOOD),8.101501(GOOD)
@2026-04-02 20:34:00,19.724979(GOOD),8.102800(GOOD)
@2026-04-02 20:35:00,19.751879(GOOD),8.104300(GOOD)
@2026-04-02 20:36:00,19.758286(GOOD),8.101501(GOOD)
@2026-04-02 20:37:00,19.731487(GOOD),8.104300(GOOD)
@2026-04-02 20:38:00,19.734287(GOOD),8.102201(GOOD)
@2026-04-02 20:39:00,19.727785(GOOD),8.105201(GOOD)
@2026-04-02 20:40:00,19.727777(GOOD),8.105201(GOOD)
@2026-04-02 20:41:00,19.747173(GOOD),8.103701(GOOD)
@2026-04-02 20:42:00,19.742567(GOOD),8.101501(GOOD)
@2026-04-02 20:43:00,19.758268(GOOD),8.105000(GOOD)
@2026-04-02 20:44:00,19.746265(GOOD),8.103701(GOOD)
@2026-04-02 20:45:00,19.734261(GOOD),8.104993(GOOD)
@2026-04-02 20:46:00,19.741667(GOOD),8.051194(GOOD)
@2026-04-02 20:47:00,19.754568(GOOD),8.097897(GOOD)
@2026-04-02 20:48:00,19.732365(GOOD),8.056796(GOOD)
@2026-04-02 20:49:00,19.759262(GOOD),8.080499(GOOD)
@2026-04-02 20:50:00,19.756466(GOOD),8.097199(GOOD)
@2026-04-02 20:51:00,19.763861(GOOD),8.095699(GOOD)
@2026-04-02 20:52:00,19.749056(GOOD),8.098499(GOOD)
@2026-04-02 20:53:00,19.735159(GOOD),8.100699(GOOD)
@2026-04-02 20:54:00,19.757355(GOOD),8.108700(GOOD)
@2026-04-02 20:55:00,19.735161(GOOD),8.084801(GOOD)
@2026-04-02 20:56:00,19.754553(GOOD),8.109502(GOOD)
@2026-04-02 20:57:00,19.749954(GOOD),8.098501(GOOD)
@2026-04-02 20:58:00,19.736958(GOOD),8.098501(GOOD)
@2026-04-02 20:59:00,19.752758(GOOD),8.111702(GOOD)
@2026-04-02 21:00:00,19.713890(GOOD),8.098536(GOOD)
@2026-04-02 21:01:00,19.725887(GOOD),8.100036(GOOD)
@2026-04-02 21:02:00,19.719393(GOOD),8.098536(GOOD)
@2026-04-02 21:03:00,19.739792(GOOD),8.094235(GOOD)
@2026-04-02 21:04:00,19.768496(GOOD),8.097035(GOOD)
@2026-04-02 21:05:00,19.759298(GOOD),8.095736(GOOD)
@2026-04-02 21:06:00,19.761997(GOOD),8.089135(GOOD)
@2026-04-02 21:07:00,19.746300(GOOD),8.091235(GOOD)
@2026-04-02 21:08:00,19.767591(GOOD),8.095736(GOOD)
@2026-04-02 21:09:00,19.751886(GOOD),8.094935(GOOD)
@2026-04-02 21:10:00,19.739788(GOOD),8.094935(GOOD)
@2026-04-02 21:11:00,19.749989(GOOD),8.095736(GOOD)
@2026-04-02 21:12:00,19.743488(GOOD),8.094235(GOOD)
@2026-04-02 21:13:00,19.753698(GOOD),8.094235(GOOD)
@2026-04-02 21:14:00,19.753698(GOOD),8.100036(GOOD)
@2026-04-02 21:15:00,19.739815(GOOD),8.091215(GOOD)
@2026-04-02 21:16:00,19.771318(GOOD),8.092115(GOOD)
@2026-04-02 21:17:00,19.767620(GOOD),8.091215(GOOD)
@2026-04-02 21:18:00,19.767620(GOOD),8.091915(GOOD)
@2026-04-02 21:19:00,19.734320(GOOD),8.089915(GOOD)
@2026-04-02 21:20:00,19.767622(GOOD),8.090615(GOOD)
@2026-04-02 21:21:00,19.736120(GOOD),8.087815(GOOD)
@2026-04-02 21:22:00,19.760220(GOOD),8.095716(GOOD)
@2026-04-02 21:23:00,19.724117(GOOD),8.093415(GOOD)
@2026-04-02 21:24:00,19.776918(GOOD),8.096416(GOOD)
@2026-04-02 21:25:00,19.767618(GOOD),8.097015(GOOD)
@2026-04-02 21:26:00,19.743513(GOOD),8.095716(GOOD)
@2026-04-02 21:27:00,19.759319(GOOD),8.092115(GOOD)
@2026-04-02 21:28:00,19.743517(GOOD),8.096416(GOOD)
@2026-04-02 21:29:00,19.740719(GOOD),8.096416(GOOD)
@2026-04-02 21:30:00,19.751852(GOOD),8.097889(GOOD)
@2026-04-02 21:31:00,19.765551(GOOD),8.096989(GOOD)
@2026-04-02 21:32:00,19.759253(GOOD),8.094889(GOOD)
@2026-04-02 21:33:00,19.725851(GOOD),8.093389(GOOD)
@2026-04-02 21:34:00,19.749846(GOOD),8.099989(GOOD)
@2026-04-02 21:35:00,19.725746(GOOD),8.100689(GOOD)
@2026-04-02 21:36:00,19.757248(GOOD),8.102789(GOOD)
@2026-04-02 21:37:00,19.745354(GOOD),8.110789(GOOD)
@2026-04-02 21:38:00,19.754562(GOOD),8.098489(GOOD)
@2026-04-02 21:39:00,19.777760(GOOD),8.102189(GOOD)
@2026-04-02 21:40:00,19.746260(GOOD),8.099189(GOOD)
@2026-04-02 21:41:00,19.741657(GOOD),8.099389(GOOD)
@2026-04-02 21:42:00,19.755566(GOOD),8.099989(GOOD)
@2026-04-02 21:43:00,19.730562(GOOD),8.099989(GOOD)
@2026-04-02 21:44:00,19.762962(GOOD),8.102789(GOOD)
@2026-04-02 21:45:00,19.780556(GOOD),8.110160(GOOD)
@2026-04-02 21:46:00,19.761953(GOOD),8.106660(GOOD)
@2026-04-02 21:47:00,19.752750(GOOD),8.098459(GOOD)
@2026-04-02 21:48:00,19.723944(GOOD),8.103660(GOOD)
@2026-04-02 21:49:00,19.744234(GOOD),8.090559(GOOD)
@2026-04-02 21:50:00,19.760939(GOOD),8.089860(GOOD)
@2026-04-02 21:51:00,19.754442(GOOD),8.084761(GOOD)
@2026-04-02 21:52:00,19.747038(GOOD),8.096961(GOOD)
@2026-04-02 21:53:00,19.765545(GOOD),8.102161(GOOD)
@2026-04-02 21:54:00,19.758142(GOOD),8.103662(GOOD)
@2026-04-02 21:55:00,19.775747(GOOD),8.099361(GOOD)
@2026-04-02 21:56:00,19.747944(GOOD),8.094861(GOOD)
@2026-04-02 21:57:00,19.765547(GOOD),8.095661(GOOD)
@2026-04-02 21:58:00,19.738747(GOOD),8.094861(GOOD)
@2026-04-02 21:59:00,19.754551(GOOD),8.102161(GOOD)
@2026-04-02 22:00:00,19.751852(GOOD),8.102195(GOOD)
@2026-04-02 22:01:00,19.749054(GOOD),8.102795(GOOD)
@2026-04-02 22:02:00,19.746258(GOOD),8.097895(GOOD)
@2026-04-02 22:03:00,19.749954(GOOD),8.106695(GOOD)
@2026-04-02 22:04:00,19.736952(GOOD),8.103695(GOOD)
@2026-04-02 22:05:00,19.768347(GOOD),8.100695(GOOD)
@2026-04-02 22:06:00,19.746145(GOOD),8.093394(GOOD)
@2026-04-02 22:07:00,19.771145(GOOD),8.105195(GOOD)
@2026-04-02 22:08:00,19.761839(GOOD),8.113195(GOOD)
@2026-04-02 22:09:00,19.772940(GOOD),8.106495(GOOD)
@2026-04-02 22:10:00,19.747042(GOOD),8.107995(GOOD)
@2026-04-02 22:11:00,19.760950(GOOD),8.110195(GOOD)
@2026-04-02 22:12:00,19.777752(GOOD),8.097896(GOOD)
@2026-04-02 22:13:00,19.773050(GOOD),8.100696(GOOD)
@2026-04-02 22:14:00,19.772949(GOOD),8.110996(GOOD)
