$TagName,V4::DPU1005.HW.AI060106.PV,V4::DPU1005.HW.AI040201.PV
$Time,Data(Quality),Data(Quality)
@2026-04-25 00:00:00,19.918518(GOOD),7.026882(GOOD)
@2026-04-25 00:01:00,19.931522(GOOD),7.032682(GOOD)
@2026-04-25 00:02:00,19.947222(GOOD),7.026883(GOOD)
@2026-04-25 00:03:00,19.915726(GOOD),7.025383(GOOD)
@2026-04-25 00:04:00,19.941729(GOOD),7.025383(GOOD)
@2026-04-25 00:05:00,19.935234(GOOD),7.021084(GOOD)
@2026-04-25 00:06:00,19.913933(GOOD),7.023884(GOOD)
@2026-04-25 00:07:00,19.923134(GOOD),7.026883(GOOD)
@2026-04-25 00:08:00,19.953739(GOOD),7.025383(GOOD)
@2026-04-25 00:09:00,19.944441(GOOD),7.017384(GOOD)
@2026-04-25 00:10:00,19.928741(GOOD),7.018883(GOOD)
@2026-04-25 00:11:00,19.930641(GOOD),7.013083(GOOD)
@2026-04-25 00:12:00,19.943544(GOOD),7.033283(GOOD)
@2026-04-25 00:13:00,19.938942(GOOD),7.020382(GOOD)
@2026-04-25 00:14:00,19.919434(GOOD),7.014583(GOOD)
@2026-04-25 00:15:00,19.944445(GOOD),7.021715(GOOD)
@2026-04-25 00:16:00,19.938948(GOOD),7.018915(GOOD)
@2026-04-25 00:17:00,19.925949(GOOD),6.996316(GOOD)
@2026-04-25 00:18:00,19.928854(GOOD),7.021117(GOOD)
@2026-04-25 00:19:00,19.953856(GOOD),7.013117(GOOD)
@2026-04-25 00:20:00,19.921452(GOOD),7.013116(GOOD)
@2026-04-25 00:21:00,19.920551(GOOD),7.017416(GOOD)
@2026-04-25 00:22:00,19.940851(GOOD),7.026917(GOOD)
@2026-04-25 00:23:00,19.924145(GOOD),7.004917(GOOD)
@2026-04-25 00:24:00,19.944443(GOOD),7.007317(GOOD)
@2026-04-25 00:25:00,19.960243(GOOD),7.005118(GOOD)
@2026-04-25 00:26:00,19.962048(GOOD),7.008818(GOOD)
@2026-04-25 00:27:00,19.950947(GOOD),7.008818(GOOD)
@2026-04-25 00:28:00,19.962156(GOOD),7.018319(GOOD)
@2026-04-25 00:29:00,19.936251(GOOD),7.015920(GOOD)
@2026-04-25 00:30:00,19.937037(GOOD),7.010952(GOOD)
@2026-04-25 00:31:00,19.924135(GOOD),7.002051(GOOD)
@2026-04-25 00:32:00,19.948133(GOOD),7.024651(GOOD)
@2026-04-25 00:33:00,19.956535(GOOD),7.014351(GOOD)
@2026-04-25 00:34:00,19.947231(GOOD),7.010051(GOOD)
@2026-04-25 00:35:00,19.916735(GOOD),7.010251(GOOD)
@2026-04-25 00:36:00,19.947231(GOOD),7.007851(GOOD)
@2026-04-25 00:37:00,19.918531(GOOD),7.001451(GOOD)
@2026-04-25 00:38:00,19.943533(GOOD),7.013050(GOOD)
@2026-04-25 00:39:00,19.935232(GOOD),7.007150(GOOD)
@2026-04-25 00:40:00,19.943529(GOOD),7.009949(GOOD)
@2026-04-25 00:41:00,19.907431(GOOD),7.011449(GOOD)
@2026-04-25 00:42:00,19.937033(GOOD),7.024050(GOOD)
@2026-04-25 00:43:00,19.937031(GOOD),7.009351(GOOD)
@2026-04-25 00:44:00,19.950035(GOOD),7.007852(GOOD)
@2026-04-25 00:45:00,19.946297(GOOD),7.007937(GOOD)
@2026-04-25 00:46:00,19.949099(GOOD),7.008637(GOOD)
@2026-04-25 00:47:00,19.945396(GOOD),7.004338(GOOD)
@2026-04-25 00:48:00,19.955603(GOOD),7.012239(GOOD)
@2026-04-25 00:49:00,19.930601(GOOD),7.008639(GOOD)
@2026-04-25 00:50:00,19.932404(GOOD),7.018938(GOOD)
@2026-04-25 00:51:00,19.935202(GOOD),7.013139(GOOD)
@2026-04-25 00:52:00,19.925898(GOOD),7.009440(GOOD)
@2026-04-25 00:53:00,19.916691(GOOD),7.003642(GOOD)
@2026-04-25 00:54:00,19.919397(GOOD),6.997843(GOOD)
@2026-04-25 00:55:00,19.916700(GOOD),6.994843(GOOD)
@2026-04-25 00:56:00,19.919399(GOOD),7.008843(GOOD)
@2026-04-25 00:57:00,19.917603(GOOD),7.012242(GOOD)
@2026-04-25 00:58:00,19.929605(GOOD),7.006444(GOOD)
@2026-04-25 00:59:00,19.953701(GOOD),7.000644(GOOD)
@2026-04-25 01:00:00,19.922222(GOOD),6.997819(GOOD)
@2026-04-25 01:01:00,19.941721(GOOD),7.014620(GOOD)
@2026-04-25 01:02:00,19.938025(GOOD),7.005121(GOOD)
@2026-04-25 01:03:00,19.928732(GOOD),7.012520(GOOD)
@2026-04-25 01:04:00,19.950027(GOOD),7.022621(GOOD)
@2026-04-25 01:05:00,19.923128(GOOD),6.993321(GOOD)
@2026-04-25 01:06:00,19.930630(GOOD),6.991122(GOOD)
@2026-04-25 01:07:00,19.947229(GOOD),6.995722(GOOD)
@2026-04-25 01:08:00,19.947231(GOOD),6.992722(GOOD)
@2026-04-25 01:09:00,19.925041(GOOD),6.995721(GOOD)
@2026-04-25 01:10:00,19.941738(GOOD),6.996321(GOOD)
@2026-04-25 01:11:00,19.927837(GOOD),6.997021(GOOD)
@2026-04-25 01:12:00,19.922239(GOOD),7.000021(GOOD)
@2026-04-25 01:13:00,19.938036(GOOD),6.997021(GOOD)
@2026-04-25 01:14:00,19.931530(GOOD),6.998522(GOOD)
@2026-04-25 01:15:00,19.919445(GOOD),6.999327(GOOD)
@2026-04-25 01:16:00,19.904644(GOOD),6.992027(GOOD)
@2026-04-25 01:17:00,19.913048(GOOD),6.992029(GOOD)
@2026-04-25 01:18:00,19.955648(GOOD),6.989029(GOOD)
@2026-04-25 01:19:00,19.938049(GOOD),6.996328(GOOD)
@2026-04-25 01:20:00,19.922352(GOOD),6.988328(GOOD)
@2026-04-25 01:21:00,19.950163(GOOD),6.976727(GOOD)
@2026-04-25 01:22:00,19.942762(GOOD),6.989928(GOOD)
@2026-04-25 01:23:00,19.920567(GOOD),6.990528(GOOD)
@2026-04-25 01:24:00,19.932566(GOOD),6.992027(GOOD)
@2026-04-25 01:25:00,19.922369(GOOD),6.991127(GOOD)
@2026-04-25 01:26:00,19.937170(GOOD),6.991127(GOOD)
@2026-04-25 01:27:00,19.917772(GOOD),6.989026(GOOD)
@2026-04-25 01:28:00,19.919569(GOOD),6.994226(GOOD)
@2026-04-25 01:29:00,19.952068(GOOD),6.993326(GOOD)
@2026-04-25 01:30:00,19.940741(GOOD),6.992007(GOOD)
@2026-04-25 01:31:00,19.916742(GOOD),6.989008(GOOD)
@2026-04-25 01:32:00,19.950041(GOOD),6.991109(GOOD)
@2026-04-25 01:33:00,19.933346(GOOD),6.989009(GOOD)
@2026-04-25 01:34:00,19.963043(GOOD),6.978210(GOOD)
@2026-04-25 01:35:00,19.952845(GOOD),6.995510(GOOD)
@2026-04-25 01:36:00,19.932550(GOOD),6.995709(GOOD)
@2026-04-25 01:37:00,19.933451(GOOD),6.984710(GOOD)
@2026-04-25 01:38:00,19.944551(GOOD),6.994209(GOOD)
@2026-04-25 01:39:00,19.953747(GOOD),7.002109(GOOD)
@2026-04-25 01:40:00,19.962046(GOOD),6.989009(GOOD)
@2026-04-25 01:41:00,19.931541(GOOD),7.003010(GOOD)
@2026-04-25 01:42:00,19.937042(GOOD),6.991110(GOOD)
@2026-04-25 01:43:00,19.937035(GOOD),6.996310(GOOD)
@2026-04-25 01:44:00,19.958334(GOOD),6.991409(GOOD)
@2026-04-25 01:45:00,19.933334(GOOD),7.010090(GOOD)
@2026-04-25 01:46:00,19.925932(GOOD),7.002091(GOOD)
@2026-04-25 01:47:00,19.944433(GOOD),7.007292(GOOD)
@2026-04-25 01:48:00,19.938030(GOOD),7.001493(GOOD)
@2026-04-25 01:49:00,19.932436(GOOD),7.003593(GOOD)
@2026-04-25 01:50:00,19.927839(GOOD),6.982494(GOOD)
@2026-04-25 01:51:00,19.950045(GOOD),7.004296(GOOD)
@2026-04-25 01:52:00,19.945446(GOOD),6.999996(GOOD)
@2026-04-25 01:53:00,19.938044(GOOD),7.001498(GOOD)
@2026-04-25 01:54:00,19.950043(GOOD),7.010297(GOOD)
@2026-04-25 01:55:00,19.925938(GOOD),7.012198(GOOD)
@2026-04-25 01:56:00,19.939833(GOOD),7.016798(GOOD)
@2026-04-25 01:57:00,19.951935(GOOD),7.013798(GOOD)
@2026-04-25 01:58:00,19.940737(GOOD),7.013799(GOOD)
@2026-04-25 01:59:00,19.936140(GOOD),7.020399(GOOD)
@2026-04-25 02:00:00,19.947222(GOOD),7.018917(GOOD)
@2026-04-25 02:01:00,19.948120(GOOD),7.014618(GOOD)
@2026-04-25 02:02:00,19.943521(GOOD),7.024717(GOOD)
@2026-04-25 02:03:00,19.922218(GOOD),7.032018(GOOD)
@2026-04-25 02:04:00,19.913013(GOOD),7.030517(GOOD)
@2026-04-25 02:05:00,19.929609(GOOD),7.025418(GOOD)
@2026-04-25 02:06:00,19.938007(GOOD),7.022619(GOOD)
@2026-04-25 02:07:00,19.944407(GOOD),7.032018(GOOD)
@2026-04-25 02:08:00,19.930609(GOOD),7.032719(GOOD)
@2026-04-25 02:09:00,19.942612(GOOD),7.029019(GOOD)
@2026-04-25 02:10:00,19.922207(GOOD),7.042218(GOOD)
@2026-04-25 02:11:00,19.943508(GOOD),7.037018(GOOD)
@2026-04-25 02:12:00,19.927818(GOOD),7.031218(GOOD)
@2026-04-25 02:13:00,19.919418(GOOD),7.024719(GOOD)
@2026-04-25 02:14:00,19.929625(GOOD),7.028420(GOOD)
@2026-04-25 02:15:00,19.912964(GOOD),7.030542(GOOD)
@2026-04-25 02:16:00,19.948065(GOOD),7.032742(GOOD)
@2026-04-25 02:17:00,19.943459(GOOD),7.031241(GOOD)
@2026-04-25 02:18:00,19.919359(GOOD),7.027741(GOOD)
@2026-04-25 02:19:00,19.935165(GOOD),7.032042(GOOD)
