$TagName,V4::DPU1005.HW.AI060106.PV,V4::DPU1005.HW.AI040201.PV
$Time,Data(Quality),Data(Quality)
@2026-04-06 00:00:00,19.745371(GOOD),7.845798(GOOD)
@2026-04-06 00:01:00,19.737963(GOOD),7.844299(GOOD)
@2026-04-06 00:02:00,19.732367(GOOD),7.840599(GOOD)
@2026-04-06 00:03:00,19.749056(GOOD),7.844299(GOOD)
@2026-04-06 00:04:00,19.755554(GOOD),7.844298(GOOD)
@2026-04-06 00:05:00,19.752750(GOOD),7.846399(GOOD)
@2026-04-06 00:06:00,19.746147(GOOD),7.838499(GOOD)
@2026-04-06 00:07:00,19.735046(GOOD),7.843599(GOOD)
@2026-04-06 00:08:00,19.770241(GOOD),7.844299(GOOD)
@2026-04-06 00:09:00,19.747038(GOOD),7.840600(GOOD)
@2026-04-06 00:10:00,19.767431(GOOD),7.842098(GOOD)
@2026-04-06 00:11:00,19.754431(GOOD),7.842797(GOOD)
@2026-04-06 00:12:00,19.761835(GOOD),7.844298(GOOD)
@2026-04-06 00:13:00,19.736830(GOOD),7.842097(GOOD)
@2026-04-06 00:14:00,19.765533(GOOD),7.844297(GOOD)
@2026-04-06 00:15:00,19.773148(GOOD),7.836972(GOOD)
@2026-04-06 00:16:00,19.764837(GOOD),7.840573(GOOD)
@2026-04-06 00:17:00,19.744429(GOOD),7.843572(GOOD)
@2026-04-06 00:18:00,19.743532(GOOD),7.842773(GOOD)
@2026-04-06 00:19:00,19.751923(GOOD),7.845773(GOOD)
@2026-04-06 00:20:00,19.772223(GOOD),7.847073(GOOD)
@2026-04-06 00:21:00,19.743526(GOOD),7.842772(GOOD)
@2026-04-06 00:22:00,19.743532(GOOD),7.846372(GOOD)
@2026-04-06 00:23:00,19.772234(GOOD),7.842772(GOOD)
@2026-04-06 00:24:00,19.745432(GOOD),7.843573(GOOD)
@2026-04-06 00:25:00,19.755636(GOOD),7.842072(GOOD)
@2026-04-06 00:26:00,19.725927(GOOD),7.843572(GOOD)
@2026-04-06 00:27:00,19.750027(GOOD),7.838473(GOOD)
@2026-04-06 00:28:00,19.739828(GOOD),7.841473(GOOD)
@2026-04-06 00:29:00,19.761126(GOOD),7.841273(GOOD)
@2026-04-06 00:30:00,19.754629(GOOD),7.844292(GOOD)
@2026-04-06 00:31:00,19.735224(GOOD),7.849492(GOOD)
@2026-04-06 00:32:00,19.772226(GOOD),7.832693(GOOD)
@2026-04-06 00:33:00,19.746330(GOOD),7.861094(GOOD)
@2026-04-06 00:34:00,19.780630(GOOD),7.836295(GOOD)
@2026-04-06 00:35:00,19.769434(GOOD),7.831995(GOOD)
@2026-04-06 00:36:00,19.783327(GOOD),7.843595(GOOD)
@2026-04-06 00:37:00,19.766722(GOOD),7.841494(GOOD)
@2026-04-06 00:38:00,19.744423(GOOD),7.838495(GOOD)
@2026-04-06 00:39:00,19.738031(GOOD),7.837596(GOOD)
@2026-04-06 00:40:00,19.768536(GOOD),7.840596(GOOD)
@2026-04-06 00:41:00,19.746332(GOOD),7.837796(GOOD)
@2026-04-06 00:42:00,19.753729(GOOD),7.836995(GOOD)
@2026-04-06 00:43:00,19.746328(GOOD),7.838496(GOOD)
@2026-04-06 00:44:00,19.741722(GOOD),7.837795(GOOD)
@2026-04-06 00:45:00,19.759258(GOOD),7.825993(GOOD)
@2026-04-06 00:46:00,19.772158(GOOD),7.839092(GOOD)
@2026-04-06 00:47:00,19.760159(GOOD),7.838492(GOOD)
@2026-04-06 00:48:00,19.742554(GOOD),7.839992(GOOD)
@2026-04-06 00:49:00,19.755556(GOOD),7.834792(GOOD)
@2026-04-06 00:50:00,19.753651(GOOD),7.842792(GOOD)
@2026-04-06 00:51:00,19.776743(GOOD),7.841491(GOOD)
@2026-04-06 00:52:00,19.774841(GOOD),7.842092(GOOD)
@2026-04-06 00:53:00,19.764635(GOOD),7.836992(GOOD)
@2026-04-06 00:54:00,19.759136(GOOD),7.836992(GOOD)
@2026-04-06 00:55:00,19.747040(GOOD),7.845793(GOOD)
@2026-04-06 00:56:00,19.783138(GOOD),7.850093(GOOD)
@2026-04-06 00:57:00,19.773932(GOOD),7.839093(GOOD)
@2026-04-06 00:58:00,19.763725(GOOD),7.840593(GOOD)
@2026-04-06 00:59:00,19.751722(GOOD),7.844294(GOOD)
@2026-04-06 01:00:00,19.753704(GOOD),7.833313(GOOD)
@2026-04-06 01:01:00,19.743500(GOOD),7.821714(GOOD)
@2026-04-06 01:02:00,19.771301(GOOD),7.821015(GOOD)
@2026-04-06 01:03:00,19.743504(GOOD),7.837015(GOOD)
@2026-04-06 01:04:00,19.777800(GOOD),7.837016(GOOD)
@2026-04-06 01:05:00,19.749998(GOOD),7.830516(GOOD)
@2026-04-06 01:06:00,19.767603(GOOD),7.837017(GOOD)
@2026-04-06 01:07:00,19.771299(GOOD),7.836317(GOOD)
@2026-04-06 01:08:00,19.747196(GOOD),7.838519(GOOD)
@2026-04-06 01:09:00,19.749090(GOOD),7.837019(GOOD)
@2026-04-06 01:10:00,19.757389(GOOD),7.833518(GOOD)
@2026-04-06 01:11:00,19.747190(GOOD),7.839119(GOOD)
@2026-04-06 01:12:00,19.747190(GOOD),7.829920(GOOD)
@2026-04-06 01:13:00,19.764791(GOOD),7.841920(GOOD)
@2026-04-06 01:14:00,19.751892(GOOD),7.831220(GOOD)
@2026-04-06 01:15:00,19.754629(GOOD),7.833528(GOOD)
@2026-04-06 01:16:00,19.756525(GOOD),7.827529(GOOD)
@2026-04-06 01:17:00,19.783325(GOOD),7.829729(GOOD)
@2026-04-06 01:18:00,19.750031(GOOD),7.818929(GOOD)
@2026-04-06 01:19:00,19.776937(GOOD),7.834228(GOOD)
@2026-04-06 01:20:00,19.743540(GOOD),7.834229(GOOD)
@2026-04-06 01:21:00,19.763048(GOOD),7.827528(GOOD)
@2026-04-06 01:22:00,19.767649(GOOD),7.815928(GOOD)
@2026-04-06 01:23:00,19.750048(GOOD),7.838529(GOOD)
@2026-04-06 01:24:00,19.754749(GOOD),7.832728(GOOD)
@2026-04-06 01:25:00,19.738150(GOOD),7.817428(GOOD)
@2026-04-06 01:26:00,19.783455(GOOD),7.834828(GOOD)
@2026-04-06 01:27:00,19.787155(GOOD),7.828429(GOOD)
@2026-04-06 01:28:00,19.778851(GOOD),7.811627(GOOD)
@2026-04-06 01:29:00,19.760351(GOOD),7.832726(GOOD)
