$TagName,V4::DPU1005.HW.AI060106.PV,V4::DPU1005.HW.AI040201.PV
$Time,Data(Quality),Data(Quality)
@2026-03-15 00:00:00,19.962963(GOOD),7.788966(GOOD)
@2026-03-15 00:01:00,20.009268(GOOD),7.787465(GOOD)
@2026-03-15 00:02:00,19.988861(GOOD),7.787663(GOOD)
@2026-03-15 00:03:00,19.962959(GOOD),7.788962(GOOD)
@2026-03-15 00:04:00,19.974060(GOOD),7.787662(GOOD)
@2026-03-15 00:05:00,19.978664(GOOD),7.787462(GOOD)
@2026-03-15 00:06:00,20.009264(GOOD),7.788061(GOOD)
@2026-03-15 00:07:00,19.944357(GOOD),7.789762(GOOD)
@2026-03-15 00:08:00,20.010162(GOOD),7.794761(GOOD)
@2026-03-15 00:09:00,19.974970(GOOD),7.797561(GOOD)
@2026-03-15 00:10:00,19.988869(GOOD),7.797760(GOOD)
@2026-03-15 00:11:00,19.977774(GOOD),7.797561(GOOD)
@2026-03-15 00:12:00,19.986073(GOOD),7.801161(GOOD)
@2026-03-15 00:13:00,19.992573(GOOD),7.799860(GOOD)
@2026-03-15 00:14:00,19.961983(GOOD),7.802660(GOOD)
@2026-03-15 00:15:00,20.000925(GOOD),7.802743(GOOD)
@2026-03-15 00:16:00,20.028728(GOOD),7.804243(GOOD)
@2026-03-15 00:17:00,20.026932(GOOD),7.806442(GOOD)
@2026-03-15 00:18:00,19.993536(GOOD),7.804242(GOOD)
@2026-03-15 00:19:00,20.019436(GOOD),7.807941(GOOD)
@2026-03-15 00:20:00,19.980633(GOOD),7.807941(GOOD)
@2026-03-15 00:21:00,20.030634(GOOD),7.807341(GOOD)
@2026-03-15 00:22:00,19.994432(GOOD),7.810140(GOOD)
@2026-03-15 00:23:00,19.985233(GOOD),7.809240(GOOD)
@2026-03-15 00:24:00,20.029633(GOOD),7.801241(GOOD)
@2026-03-15 00:25:00,20.007433(GOOD),7.800642(GOOD)
@2026-03-15 00:26:00,20.039833(GOOD),7.800841(GOOD)
@2026-03-15 00:27:00,19.993526(GOOD),7.801241(GOOD)
@2026-03-15 00:28:00,20.004627(GOOD),7.800640(GOOD)
@2026-03-15 00:29:00,19.994421(GOOD),7.800640(GOOD)
@2026-03-15 00:30:00,20.034258(GOOD),7.799084(GOOD)
@2026-03-15 00:31:00,20.011061(GOOD),7.802683(GOOD)
@2026-03-15 00:32:00,20.053658(GOOD),7.801484(GOOD)
@2026-03-15 00:33:00,20.038858(GOOD),7.803384(GOOD)
@2026-03-15 00:34:00,19.995354(GOOD),7.802685(GOOD)
@2026-03-15 00:35:00,20.059252(GOOD),7.799884(GOOD)
@2026-03-15 00:36:00,19.991550(GOOD),7.803584(GOOD)
@2026-03-15 00:37:00,20.037849(GOOD),7.799684(GOOD)
@2026-03-15 00:38:00,20.065651(GOOD),7.796284(GOOD)
@2026-03-15 00:39:00,20.052647(GOOD),7.792586(GOOD)
@2026-03-15 00:40:00,20.001740(GOOD),7.796284(GOOD)
@2026-03-15 00:41:00,20.005444(GOOD),7.798386(GOOD)
@2026-03-15 00:42:00,20.034143(GOOD),7.800586(GOOD)
@2026-03-15 00:43:00,19.991550(GOOD),7.798386(GOOD)
@2026-03-15 00:44:00,20.020250(GOOD),7.799687(GOOD)
@2026-03-15 00:45:00,20.013887(GOOD),7.792625(GOOD)
@2026-03-15 00:46:00,20.040688(GOOD),7.794124(GOOD)
@2026-03-15 00:47:00,20.037987(GOOD),7.794823(GOOD)
@2026-03-15 00:48:00,20.062990(GOOD),7.794823(GOOD)
@2026-03-15 00:49:00,20.023088(GOOD),7.793323(GOOD)
@2026-03-15 00:50:00,20.004587(GOOD),7.793921(GOOD)
@2026-03-15 00:51:00,20.031485(GOOD),7.793322(GOOD)
@2026-03-15 00:52:00,20.042582(GOOD),7.792621(GOOD)
@2026-03-15 00:53:00,20.045380(GOOD),7.792020(GOOD)
@2026-03-15 00:54:00,19.990681(GOOD),7.792622(GOOD)
@2026-03-15 00:55:00,20.036982(GOOD),7.791822(GOOD)
@2026-03-15 00:56:00,19.986977(GOOD),7.791823(GOOD)
@2026-03-15 00:57:00,20.037970(GOOD),7.789022(GOOD)
@2026-03-15 00:58:00,20.006470(GOOD),7.789823(GOOD)
@2026-03-15 00:59:00,19.986063(GOOD),7.792024(GOOD)
@2026-03-15 01:00:00,20.004631(GOOD),7.792410(GOOD)
@2026-03-15 01:01:00,20.006525(GOOD),7.789811(GOOD)
@2026-03-15 01:02:00,19.994427(GOOD),7.790509(GOOD)
@2026-03-15 01:03:00,20.002829(GOOD),7.791109(GOOD)
@2026-03-15 01:04:00,20.026932(GOOD),7.789608(GOOD)
@2026-03-15 01:05:00,19.994438(GOOD),7.787509(GOOD)
@2026-03-15 01:06:00,20.004639(GOOD),7.787508(GOOD)
@2026-03-15 01:07:00,20.003731(GOOD),7.788808(GOOD)
@2026-03-15 01:08:00,20.013035(GOOD),7.786808(GOOD)
@2026-03-15 01:09:00,20.030634(GOOD),7.789608(GOOD)
@2026-03-15 01:10:00,20.046339(GOOD),7.792407(GOOD)
@2026-03-15 01:11:00,19.991743(GOOD),7.791107(GOOD)
@2026-03-15 01:12:00,20.014841(GOOD),7.792408(GOOD)
@2026-03-15 01:13:00,20.055641(GOOD),7.791111(GOOD)
@2026-03-15 01:14:00,20.013042(GOOD),7.780813(GOOD)
@2026-03-15 01:15:00,20.033333(GOOD),7.791764(GOOD)
@2026-03-15 01:16:00,20.015732(GOOD),7.784664(GOOD)
@2026-03-15 01:17:00,20.014832(GOOD),7.778564(GOOD)
@2026-03-15 01:18:00,20.038034(GOOD),7.784664(GOOD)
@2026-03-15 01:19:00,20.047235(GOOD),7.783764(GOOD)
@2026-03-15 01:20:00,20.032434(GOOD),7.781564(GOOD)
@2026-03-15 01:21:00,20.016735(GOOD),7.782264(GOOD)
@2026-03-15 01:22:00,20.050034(GOOD),7.783762(GOOD)
@2026-03-15 01:23:00,19.997225(GOOD),7.780962(GOOD)
@2026-03-15 01:24:00,20.017624(GOOD),7.780763(GOOD)
@2026-03-15 01:25:00,20.030628(GOOD),7.774962(GOOD)
@2026-03-15 01:26:00,20.032425(GOOD),7.785262(GOOD)
@2026-03-15 01:27:00,20.011129(GOOD),7.785962(GOOD)
@2026-03-15 01:28:00,20.046324(GOOD),7.780063(GOOD)
@2026-03-15 01:29:00,20.035219(GOOD),7.777064(GOOD)
@2026-03-15 01:30:00,20.057407(GOOD),7.770667(GOOD)
@2026-03-15 01:31:00,20.031507(GOOD),7.777266(GOOD)
@2026-03-15 01:32:00,20.013010(GOOD),7.775765(GOOD)
@2026-03-15 01:33:00,20.030609(GOOD),7.777967(GOOD)
@2026-03-15 01:34:00,20.027813(GOOD),7.780767(GOOD)
@2026-03-15 01:35:00,20.022209(GOOD),7.776468(GOOD)
@2026-03-15 01:36:00,20.005610(GOOD),7.772769(GOOD)
@2026-03-15 01:37:00,20.023111(GOOD),7.778769(GOOD)
@2026-03-15 01:38:00,20.005606(GOOD),7.779269(GOOD)
@2026-03-15 01:39:00,20.023106(GOOD),7.778770(GOOD)
@2026-03-15 01:40:00,20.058304(GOOD),7.769970(GOOD)
@2026-03-15 01:41:00,20.027802(GOOD),7.766371(GOOD)
@2026-03-15 01:42:00,19.995403(GOOD),7.765671(GOOD)
@2026-03-15 01:43:00,20.056496(GOOD),7.772770(GOOD)
@2026-03-15 01:44:00,20.026897(GOOD),7.771470(GOOD)
@2026-03-15 01:45:00,19.995369(GOOD),7.773681(GOOD)
@2026-03-15 01:46:00,20.036064(GOOD),7.774279(GOOD)
@2026-03-15 01:47:00,20.011971(GOOD),7.770878(GOOD)
@2026-03-15 01:48:00,20.069372(GOOD),7.771478(GOOD)
@2026-03-15 01:49:00,20.017570(GOOD),7.774279(GOOD)
@2026-03-15 01:50:00,20.053675(GOOD),7.782479(GOOD)
@2026-03-15 01:51:00,20.029570(GOOD),7.778579(GOOD)
@2026-03-15 01:52:00,20.008268(GOOD),7.777279(GOOD)
@2026-03-15 01:53:00,20.061962(GOOD),7.782480(GOOD)
@2026-03-15 01:54:00,20.040665(GOOD),7.778782(GOOD)
@2026-03-15 01:55:00,20.047159(GOOD),7.778782(GOOD)
@2026-03-15 01:56:00,20.038858(GOOD),7.780782(GOOD)
@2026-03-15 01:57:00,20.029558(GOOD),7.778782(GOOD)
@2026-03-15 01:58:00,20.006346(GOOD),7.783182(GOOD)
@2026-03-15 01:59:00,20.059139(GOOD),7.785282(GOOD)
@2026-03-15 02:00:00,20.018518(GOOD),7.784444(GOOD)
@2026-03-15 02:01:00,20.071320(GOOD),7.788144(GOOD)
@2026-03-15 02:02:00,20.050022(GOOD),7.788342(GOOD)
@2026-03-15 02:03:00,20.035225(GOOD),7.789643(GOOD)
@2026-03-15 02:04:00,20.032419(GOOD),7.790343(GOOD)
@2026-03-15 02:05:00,20.027821(GOOD),7.786043(GOOD)
@2026-03-15 02:06:00,20.010220(GOOD),7.788345(GOOD)
@2026-03-15 02:07:00,20.068516(GOOD),7.790347(GOOD)
@2026-03-15 02:08:00,20.071318(GOOD),7.786248(GOOD)
@2026-03-15 02:09:00,20.054613(GOOD),7.789646(GOOD)
