$TagName,V4::DPU1005.HW.AI060106.PV,V4::DPU1005.HW.AI040201.PV
$Time,Data(Quality),Data(Quality)
@2026-03-19 10:00:00,19.671295(GOOD),7.932341(GOOD)
@2026-03-19 10:01:00,19.674086(GOOD),7.932639(GOOD)
@2026-03-19 10:02:00,19.673084(GOOD),7.931739(GOOD)
@2026-03-19 10:03:00,19.693483(GOOD),7.933837(GOOD)
@2026-03-19 10:04:00,19.706484(GOOD),7.937539(GOOD)
@2026-03-19 10:05:00,19.702784(GOOD),7.936638(GOOD)
@2026-03-19 10:06:00,19.663893(GOOD),7.936238(GOOD)
@2026-03-19 10:07:00,19.699993(GOOD),7.938239(GOOD)
@2026-03-19 10:08:00,19.683300(GOOD),7.939739(GOOD)
@2026-03-19 10:09:00,19.655592(GOOD),7.939041(GOOD)
@2026-03-19 10:10:00,19.693497(GOOD),7.945540(GOOD)
@2026-03-19 10:11:00,19.693502(GOOD),7.947241(GOOD)
@2026-03-19 10:12:00,19.665697(GOOD),7.946142(GOOD)
@2026-03-19 10:13:00,19.699099(GOOD),7.953742(GOOD)
@2026-03-19 10:14:00,19.664803(GOOD),7.954943(GOOD)
@2026-03-19 10:15:00,19.670370(GOOD),7.955806(GOOD)
@2026-03-19 10:16:00,19.681465(GOOD),7.961405(GOOD)
@2026-03-19 10:17:00,19.682352(GOOD),7.962505(GOOD)
@2026-03-19 10:18:00,19.701857(GOOD),7.966604(GOOD)
@2026-03-19 10:19:00,19.688858(GOOD),7.968306(GOOD)
@2026-03-19 10:20:00,19.678659(GOOD),7.974804(GOOD)
@2026-03-19 10:21:00,19.677763(GOOD),7.978405(GOOD)
@2026-03-19 10:22:00,19.653667(GOOD),7.983605(GOOD)
@2026-03-19 10:23:00,19.674065(GOOD),7.986404(GOOD)
@2026-03-19 10:24:00,19.698063(GOOD),7.986403(GOOD)
@2026-03-19 10:25:00,19.676863(GOOD),7.990003(GOOD)
@2026-03-19 10:26:00,19.681467(GOOD),7.993003(GOOD)
@2026-03-19 10:27:00,19.726871(GOOD),7.998003(GOOD)
@2026-03-19 10:28:00,19.706470(GOOD),8.002304(GOOD)
@2026-03-19 10:29:00,19.678669(GOOD),8.004704(GOOD)
@2026-03-19 10:30:00,19.677776(GOOD),8.007473(GOOD)
@2026-03-19 10:31:00,19.693470(GOOD),8.006173(GOOD)
@2026-03-19 10:32:00,19.698063(GOOD),8.005973(GOOD)
@2026-03-19 10:33:00,19.693462(GOOD),8.006773(GOOD)
@2026-03-19 10:34:00,19.652761(GOOD),8.009573(GOOD)
@2026-03-19 10:35:00,19.714766(GOOD),8.011773(GOOD)
@2026-03-19 10:36:00,19.663860(GOOD),8.015674(GOOD)
@2026-03-19 10:37:00,19.674959(GOOD),8.013873(GOOD)
@2026-03-19 10:38:00,19.663858(GOOD),8.015373(GOOD)
@2026-03-19 10:39:00,19.699059(GOOD),8.016873(GOOD)
@2026-03-19 10:40:00,19.686958(GOOD),8.017573(GOOD)
@2026-03-19 10:41:00,19.653658(GOOD),8.019673(GOOD)
