$TagName,V4::DPU1005.HW.AI060106.PV,V4::DPU1005.HW.AI040201.PV
$Time,Data(Quality),Data(Quality)
@2026-04-04 00:00:00,19.858334(GOOD),8.122000(GOOD)
@2026-04-04 00:01:00,19.838026(GOOD),8.119599(GOOD)
@2026-04-04 00:02:00,19.810221(GOOD),8.114699(GOOD)
@2026-04-04 00:03:00,19.809315(GOOD),8.115999(GOOD)
@2026-04-04 00:04:00,19.819416(GOOD),8.121099(GOOD)
@2026-04-04 00:05:00,19.814823(GOOD),8.120500(GOOD)
@2026-04-04 00:06:00,19.836121(GOOD),8.118999(GOOD)
@2026-04-04 00:07:00,19.812023(GOOD),8.117499(GOOD)
@2026-04-04 00:08:00,19.808327(GOOD),8.116799(GOOD)
@2026-04-04 00:09:00,19.821323(GOOD),8.114699(GOOD)
@2026-04-04 00:10:00,19.816713(GOOD),8.118999(GOOD)
@2026-04-04 00:11:00,19.842613(GOOD),8.117499(GOOD)
@2026-04-04 00:12:00,19.813913(GOOD),8.118999(GOOD)
@2026-04-04 00:13:00,19.819414(GOOD),8.124800(GOOD)
@2026-04-04 00:14:00,19.804617(GOOD),8.122600(GOOD)
@2026-04-04 00:15:00,19.799999(GOOD),8.118986(GOOD)
@2026-04-04 00:16:00,19.809299(GOOD),8.119586(GOOD)
@2026-04-04 00:17:00,19.828693(GOOD),8.122586(GOOD)
@2026-04-04 00:18:00,19.800894(GOOD),8.122586(GOOD)
@2026-04-04 00:19:00,19.840698(GOOD),8.110986(GOOD)
@2026-04-04 00:20:00,19.804604(GOOD),8.118286(GOOD)
@2026-04-04 00:21:00,19.852798(GOOD),8.107985(GOOD)
@2026-04-04 00:22:00,19.823103(GOOD),8.109485(GOOD)
@2026-04-04 00:23:00,19.790710(GOOD),8.099184(GOOD)
@2026-04-04 00:24:00,19.825010(GOOD),8.110785(GOOD)
@2026-04-04 00:25:00,19.819403(GOOD),8.113185(GOOD)
@2026-04-04 00:26:00,19.826902(GOOD),8.111685(GOOD)
@2026-04-04 00:27:00,19.838896(GOOD),8.112285(GOOD)
@2026-04-04 00:28:00,19.840696(GOOD),8.102184(GOOD)
@2026-04-04 00:29:00,19.843500(GOOD),8.120285(GOOD)
@2026-04-04 00:30:00,19.820370(GOOD),8.093369(GOOD)
@2026-04-04 00:31:00,19.835169(GOOD),8.106469(GOOD)
@2026-04-04 00:32:00,19.826868(GOOD),8.110769(GOOD)
@2026-04-04 00:33:00,19.824963(GOOD),8.104269(GOOD)
@2026-04-04 00:34:00,19.818462(GOOD),8.116770(GOOD)
@2026-04-04 00:35:00,19.826859(GOOD),8.115970(GOOD)
@2026-04-04 00:36:00,19.811060(GOOD),8.115970(GOOD)
@2026-04-04 00:37:00,19.811966(GOOD),8.093569(GOOD)
@2026-04-04 00:38:00,19.822165(GOOD),8.096969(GOOD)
@2026-04-04 00:39:00,19.825857(GOOD),8.103669(GOOD)
@2026-04-04 00:40:00,19.832359(GOOD),8.089668(GOOD)
@2026-04-04 00:41:00,19.820362(GOOD),8.113171(GOOD)
@2026-04-04 00:42:00,19.834257(GOOD),8.104270(GOOD)
@2026-04-04 00:43:00,19.805553(GOOD),8.104270(GOOD)
@2026-04-04 00:44:00,19.807352(GOOD),8.102170(GOOD)
@2026-04-04 00:45:00,19.818518(GOOD),8.111021(GOOD)
@2026-04-04 00:46:00,19.806509(GOOD),8.107421(GOOD)
@2026-04-04 00:47:00,19.806515(GOOD),8.103721(GOOD)
@2026-04-04 00:48:00,19.805611(GOOD),8.108921(GOOD)
