$TagName,V4::DPU1005.HW.AI060106.PV,V4::DPU1005.HW.AI040201.PV
$Time,Data(Quality),Data(Quality)
@2026-04-25 20:00:00,19.955555(GOOD),7.124618(GOOD)
@2026-04-25 20:01:00,19.941656(GOOD),7.131118(GOOD)
@2026-04-25 20:02:00,19.944359(GOOD),7.150018(GOOD)
@2026-04-25 20:03:00,19.944363(GOOD),7.134118(GOOD)
@2026-04-25 20:04:00,19.959261(GOOD),7.133919(GOOD)
@2026-04-25 20:05:00,19.956463(GOOD),7.134719(GOOD)
@2026-04-25 20:06:00,19.949955(GOOD),7.133218(GOOD)
@2026-04-25 20:07:00,19.949953(GOOD),7.140518(GOOD)
@2026-04-25 20:08:00,19.922943(GOOD),7.138418(GOOD)
@2026-04-25 20:09:00,19.931341(GOOD),7.135419(GOOD)
@2026-04-25 20:10:00,19.952637(GOOD),7.136220(GOOD)
@2026-04-25 20:11:00,19.930439(GOOD),7.139921(GOOD)
@2026-04-25 20:12:00,19.953537(GOOD),7.133922(GOOD)
@2026-04-25 20:13:00,19.910030(GOOD),7.136222(GOOD)
@2026-04-25 20:14:00,19.948931(GOOD),7.135424(GOOD)
@2026-04-25 20:15:00,19.935184(GOOD),7.139903(GOOD)
@2026-04-25 20:16:00,19.936987(GOOD),7.132603(GOOD)
@2026-04-25 20:17:00,19.925892(GOOD),7.142103(GOOD)
@2026-04-25 20:18:00,19.950884(GOOD),7.134104(GOOD)
@2026-04-25 20:19:00,19.932386(GOOD),7.131103(GOOD)
@2026-04-25 20:20:00,19.961987(GOOD),7.135404(GOOD)
@2026-04-25 20:21:00,19.944380(GOOD),7.148505(GOOD)
@2026-04-25 20:22:00,19.925873(GOOD),7.131106(GOOD)
@2026-04-25 20:23:00,19.933271(GOOD),7.140507(GOOD)
@2026-04-25 20:24:00,19.966677(GOOD),7.146407(GOOD)
@2026-04-25 20:25:00,19.934280(GOOD),7.141206(GOOD)
@2026-04-25 20:26:00,19.936991(GOOD),7.130405(GOOD)
@2026-04-25 20:27:00,19.961992(GOOD),7.130406(GOOD)
@2026-04-25 20:28:00,19.944397(GOOD),7.146406(GOOD)
@2026-04-25 20:29:00,19.972193(GOOD),7.162507(GOOD)
@2026-04-25 20:30:00,19.944445(GOOD),7.144854(GOOD)
