$TagName,V4::DPU1005.HW.AI060106.PV,V4::DPU1005.HW.AI040201.PV
$Time,Data(Quality),Data(Quality)
@2026-03-07 00:00:00,17.477777(GOOD),4.061646(GOOD)
@2026-03-07 00:01:00,17.466675(GOOD),4.053946(GOOD)
@2026-03-07 00:02:00,17.450878(GOOD),4.056745(GOOD)
@2026-03-07 00:03:00,17.466679(GOOD),4.060647(GOOD)
@2026-03-07 00:04:00,17.495380(GOOD),4.061248(GOOD)
@2026-03-07 00:05:00,17.478676(GOOD),4.061949(GOOD)
@2026-03-07 00:06:00,17.486076(GOOD),4.062050(GOOD)
@2026-03-07 00:07:00,17.474072(GOOD),4.062052(GOOD)
@2026-03-07 00:08:00,17.476877(GOOD),4.061154(GOOD)
@2026-03-07 00:09:00,17.465677(GOOD),4.057754(GOOD)
@2026-03-07 00:10:00,17.487984(GOOD),4.064152(GOOD)
@2026-03-07 00:11:00,17.494383(GOOD),4.046052(GOOD)
@2026-03-07 00:12:00,17.491678(GOOD),4.066953(GOOD)
@2026-03-07 00:13:00,17.468470(GOOD),4.057755(GOOD)
@2026-03-07 00:14:00,17.480562(GOOD),4.061756(GOOD)
@2026-03-07 00:15:00,17.458332(GOOD),4.058847(GOOD)
@2026-03-07 00:16:00,17.489834(GOOD),4.060450(GOOD)
@2026-03-07 00:17:00,17.489830(GOOD),4.052450(GOOD)
@2026-03-07 00:18:00,17.487026(GOOD),4.058250(GOOD)
@2026-03-07 00:19:00,17.474134(GOOD),4.060449(GOOD)
@2026-03-07 00:20:00,17.488934(GOOD),4.057050(GOOD)
@2026-03-07 00:21:00,17.454628(GOOD),4.059251(GOOD)
@2026-03-07 00:22:00,17.477833(GOOD),4.054051(GOOD)
@2026-03-07 00:23:00,17.471333(GOOD),4.059150(GOOD)
@2026-03-07 00:24:00,17.485235(GOOD),4.058249(GOOD)
@2026-03-07 00:25:00,17.477829(GOOD),4.061949(GOOD)
@2026-03-07 00:26:00,17.475929(GOOD),4.061949(GOOD)
@2026-03-07 00:27:00,17.463930(GOOD),4.058248(GOOD)
@2026-03-07 00:28:00,17.478729(GOOD),4.058248(GOOD)
@2026-03-07 00:29:00,17.479628(GOOD),4.058248(GOOD)
@2026-03-07 00:30:00,17.485184(GOOD),4.057556(GOOD)
@2026-03-07 00:31:00,17.482384(GOOD),4.062455(GOOD)
@2026-03-07 00:32:00,17.461084(GOOD),4.056655(GOOD)
@2026-03-07 00:33:00,17.474981(GOOD),4.060357(GOOD)
@2026-03-07 00:34:00,17.468477(GOOD),4.066157(GOOD)
@2026-03-07 00:35:00,17.473083(GOOD),4.060957(GOOD)
@2026-03-07 00:36:00,17.462975(GOOD),4.059458(GOOD)
@2026-03-07 00:37:00,17.465672(GOOD),4.056657(GOOD)
@2026-03-07 00:38:00,17.478668(GOOD),4.058755(GOOD)
@2026-03-07 00:39:00,17.499969(GOOD),4.063957(GOOD)
@2026-03-07 00:40:00,17.484272(GOOD),4.059456(GOOD)
@2026-03-07 00:41:00,17.479572(GOOD),4.057555(GOOD)
@2026-03-07 00:42:00,17.474970(GOOD),4.062456(GOOD)
@2026-03-07 00:43:00,17.463869(GOOD),4.061155(GOOD)
@2026-03-07 00:44:00,17.464767(GOOD),4.060355(GOOD)
